dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 8 0 1 0 2 0 4 0 1 0 -9 0 0.0147547 0 0.0212162 0 0.0164421 0 0.0256055 0 -0.2298244 0 -0.4190248 0 0.0537931 0 0.0358077 0 0.5031204 0 NaN 44
1 9 0 0 0 4 0 4 0 1 0 -9 0 0.02849 0 0.0193573 0 0.0316393 0 0.0313382 0 -0.2791907 0 -1.0619586 0 0.0481998 0 0.0242761 0 0.3391137 0 NaN 41
2 10 0 0 0 2 0 6 0 2 0 -9 0 0.023049 0 0.0212829 0 0.0194393 0 0.034526 0 0.5375633 0 -1.1564198 0 0.0395996 0 0.0174336 0 0.272126 0 NaN 58
3 4 0 0 0 1 0 3 0 0 0 -9 0 0.0027586 0 0.0126316 0 0.0101854 0 0.0343337 0 -1.1492308 0 -1.7188032 0 0.0076951 0 0 0 -0.154265 0 NaN 25
4 17 0 0 0 9 0 5 0 3 0 -9 0 0.0296485 0 0.0480519 0 0.0516752 0 0.0487739 0 -1.3398194 0 -0.0612398 0 0.0507756 0 0.0119254 0 -0.0137233 0 NaN 56
5 38 0 0 0 12 0 15 0 11 0 -9 0 0.0297787 0 0.0540556 0 0.0450204 0 0.0496093 0 -1.2873515 0 0.3373675 0 0.0609016 0 0.0189845 0 0.1964022 0 NaN 142
6 7 0 0 0 4 0 3 0 0 0 -9 0 0.0088759 0 0.0050125 0 0.0190135 0 0.0146291 0 -1.4769818 0 -1.7267761 0 0.0070829 0 0.0001387 0 0.022331 0 NaN 57
7 5 0 0 0 2 0 3 0 0 0 -9 0 0.0087719 0 0.0052632 0 0.0174284 0 0.0199279 0 -1.4513829 0 -1.7317826 0 0.0070175 0 0 0 -0.12 0 NaN 38
8 5 0 0 0 4 0 1 0 0 0 -9 0 0.0157995 0 0.0019286 0 0.0175599 0 0.0048491 0 -0.2741781 0 -1.1638728 0 0.024992 0 0.0161279 0 0.5095351 0 NaN 61
9 7 0 0 0 5 0 2 0 0 0 -9 0 0.0090909 0 0.0050909 0 0.0170709 0 0.0068283 0 -1.7910682 0 -0.7781526 0 0.0136364 0 0.0065455 0 0.325926 0 NaN 100
