N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 M1 M2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
19.34589 0.72339 26.08232 0.5 9.00428 7.1718 410 344 17.80526 17.80526 25 48.752 21.197 0 0 8.828 8.29 3.374 4.002 36.55 19.413 -9 0 0.0146087 0.0074358 0.0132956 0.0076263 0.0127907 0.0058249 0.0112534 0.0056515 0.5151166 0.9113277 0.6267398 1.0579615 0.0143331 0.0075511 0.0003809 0.0010495 0.0131654 0.0333731 0.8901218 8.33559444065536e-05 8.33339401933469e-05 8.33574452057591e-05 8.33300212691415e-05 0.00400413461047644 0.000371374869176188 0.0144797588676967 0.0021326170329011 0.684982767732591 0.00606641465421065 0.0335204447066992 0.00175645259431668 0.248277440914038 0.00390848671106754 8.33996746004257e-05 8.33302811505637e-05
24.3333 1.15451 3.52755 0.5 15.64121 23.62592 374 21 20.81117 20.81117 26 9.436 4.23 0 0 2.958 2 1.582 1.609 4.896 3.491 -9 0 0.001968 0.0012782 0.0018554 0.001325 0.0022138 0.0010906 0.001826 0.001105 -0.4200242 0.842684 0.0166202 0.9530173 0.0019529 0.0012727 4.11e-05 0.0001378 0.0117464 0.0324779 0.8626791 0.000105642253894984 0.000106507035310524 0.000105785133664552 0.000863683178985569 0.000106325993578608 0.000332937455177564 0.0145200656134752 0.00873476442222915 0.2363996714581 0.146827174768854 0.00373136698708955 0.00427594129091371 0.176471109023359 0.407206757454389 0.000106622245977656 0.000105645685001621
14.4154 5.33215 24.88138 0.5 19.30088 39.7021 321 216 3.51605 3.51605 27 62.668 30.494 0 0 14.27 9.279 8.424 6.164 39.974 23.856 -9 0 0.0160425 0.0093549 0.0149058 0.0088935 0.0154109 0.0081212 0.0137428 0.0076812 0.0722711 0.7109099 0.2971644 0.7961046 0.0160291 0.0092872 0.0005549 0.0011761 0.0182873 0.0324143 0.9365113 0.00178220939067769 0.000132914588435073 0.0130810698720679 0.000133377211939418 0.152230212141878 0.000133090033161778 0.24405194661972 0.000133452804179391 0.208512371014179 0.000132668122307092 0.199701155537273 0.000133067894702652 0.179441228062785 0.00013378498988577 0.000132561165040978 0.000134890551767295
9.65086 6.83754 23.59796 0.5 19.24864 56.83877 266 303 10.38952 10.38952 28 77.554 23.306 0 0 11.056 7.272 11.066 7.491 55.432 19.35 -9 0 0.0206796 0.0073364 0.0206313 0.0072132 0.0188125 0.006142 0.0188069 0.0060946 0.4045841 0.6512522 0.3940015 0.6309541 0.0208873 0.007105 0.0002318 0.0008988 0.0061169 0.0222764 0.9115796 8.48036327885554e-05 8.48420247269495e-05 0.000400931800251453 8.48308551591051e-05 0.001862811296791 8.47264824502096e-05 0.0879374977019558 9.0998034072402e-05 0.422102906243912 0.00016769369084593 0.142223040927554 0.00114727528538218 0.341389433245024 0.00128635539444036 0.000967000605746804 8.48527788995788e-05
25.99239 12.75227 8.69648 0.5 3.22696 92.99361 421 26 11.2744 11.2744 29 14.794 12.64 0 0 5.028 4.699 1.87 2.867 7.896 9.153 -9 0 0.0034513 0.0037123 0.0029011 0.0034281 0.0036429 0.003175 0.0027527 0.0029931 -0.5101686 1.0969052 0.0283087 1.1061769 0.0033481 0.0036641 0.0001719 0.0005399 0.0251573 0.0506067 0.9103565 0.00170579430601253 0.000151040355151439 0.00629431608970387 0.000150254718844608 0.00914711695449903 0.000152453821402974 0.169431325305674 0.000153134400658126 0.188928911541577 0.00215526256234939 0.295616569554397 0.00150825309752026 0.320354631773516 0.00394429751193762 0.0001531477913682 0.000153490215387144
6.16275 15.02956 6.28944 0.5 6.74167 53.51902 381 33 1.38613 1.38613 30 21.174 9.763 0 0 7.316 5.162 4.64 4.16 9.218 6.694 -9 0 0.0045577 0.0030041 0.0040363 0.002646 0.0046604 0.0025766 0.0039061 0.0022682 -0.187455 0.9800415 0.0549349 0.9883003 0.0049901 0.002987 0.0006931 0.0009462 0.0763766 0.088233 0.7090784 0.0106532527801379 0.000165185422598356 0.070261861338149 0.000353188344617678 0.0399293738387538 0.0007895722733367 0.309285266071003 0.00112708807157979 0.120690586635791 0.000558109507502134 0.334090563546977 0.00201262822687047 0.108744692032067 0.00100786138242459 0.000164430767076774 0.000166339761114629
1.17523 12.03365 14.32882 0.5 8.1342 92.34655 244 373 15.27179 15.27179 31 22.006 19.115 0 0 2.212 3.411 5.946 6.704 13.848 15.732 -9 0 0.0052049 0.0058971 0.0057906 0.0059119 0.0045268 0.0049169 0.0055793 0.00495 0.3262096 1.0440811 -0.233683 1.2029496 0.0056465 0.0058626 0.0001487 0.0004622 0.0240023 0.053814 0.9382339 6.91020184749564e-05 6.92643261608668e-05 0.000513426900034831 6.95575038524667e-05 0.00420744738284741 6.8894264548987e-05 0.182375394932015 6.91781026587911e-05 0.21446597411454 9.90440858249772e-05 0.128111371992455 0.000960482516370132 0.468385241391588 0.000397146643899193 6.95497638682269e-05 6.89240608605719e-05
24.94947 27.73827 0.92307 0.5 8.6383 3.06887 223 237 11.65329 11.65329 32 20.16 4.694 0 0 8.162 2.959 8.136 2.976 3.862 2.226 -9 0 0.0018313 0.0008051 0.0018508 0.000786 0.0033892 0.001014 0.0033819 0.0010227 -1.6472614 0.4914975 -1.6163561 0.4956395 0.001848 0.0007565 6.9e-06 6.39e-05 0.0013775 0.0135961 0.7594402 8.3795201153519e-05 8.21176068057933e-05 0.00095851162730241 0.00869766865836477 0.0028680615870404 0.0140508364291209 0.00970388163795329 0.155699181453179 0.0272172933062313 0.269959172778515 0.00428688512588656 0.258893302376507 0.00965901828866025 0.237673542775271 8.28597765269497e-05 8.38713714815411e-05
8.08864 3.46906 28.66887 0.5 3.2715 169.65081 488 423 9.88852 9.88852 33 16.996 23.015 0 0 5.284 5.21 4.068 4.361 7.644 17.102 -9 0 0.0029241 0.0063828 0.0028114 0.0062079 0.003662 0.0059219 0.0033159 0.0055804 -1.1495522 0.7347714 -0.9141905 0.8158916 0.0029172 0.0063538 4.95e-05 0.0002542 0.0155736 0.0556531 0.9768357 9.09744833048605e-05 9.08122761688963e-05 0.000587803157367956 9.09178637588418e-05 0.00135838794075297 9.0989003929993e-05 0.204304983026764 9.09448684388004e-05 0.576002282841786 9.09500166655318e-05 0.039289231990254 9.09545955596556e-05 0.177548113871603 9.08195529799687e-05 9.0867263891228e-05 9.09672467739612e-05
16.54085 18.92988 11.5163 0.5 15.88153 179.76665 117 151 10.25862 10.25862 34 33.07 16.177 0 0 4.99 4.713 5.876 5.541 22.204 12.389 -9 0 0.0082166 0.0047214 0.0085096 0.0047613 0.0076652 0.0039833 0.0079149 0.0040728 0.2093387 0.9663494 0.2021106 0.9609964 0.00853 0.0046646 0.0001669 0.0005219 0.0124864 0.0326421 0.9088053 0.00043687993330308 5.91347767097838e-05 0.00076264915144938 5.93928756134895e-05 0.000933841224973761 5.92093571476863e-05 0.0333853642121785 5.9310827014196e-05 0.0614801705761778 5.93352005813511e-05 0.12149089529785 0.000174055161883868 0.780646846117612 0.000274321025318506 5.92287370059339e-05 5.93655251810827e-05
23.07528 29.21524 3.31063 0.5 1.25346 82.72119 112 140 10.58275 10.58275 35 6.56 7.41 0.004 0.063 1.876 3.012 2.318 3.36 2.362 3.536 -9 0 0.0010337 0.0013665 0.0011113 0.0014211 0.0011946 0.0015239 0.0013192 0.0015645 -0.1989017 1.0164871 -0.3190897 1.02871 0.0011718 0.0013636 9.93e-05 0.000226 0.0597029 0.1157238 0.8382299 0.000114022225992265 0.000114350268201483 0.00581309762644614 0.000114239551774176 0.00602298502653341 0.000113545889134333 0.150179784780449 0.000112440756910709 0.266813249134414 0.000113880543228762 0.188437806875707 0.000114360643685366 0.381595460260747 0.00011360907598754 0.000113182788630509 0.000113984552158148
