N1 N2 Na Tsplit dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
24.37029 29.53018 13.92017 0.5 10 72.116 13.325 0 0 17.51 5.736 19.924 6.275 34.682 11.083 -9 0 0.0140776 0.0041521 0.0145182 0.0042454 0.0147113 0.0034425 0.0153918 0.003495 -0.1956716 0.5597053 -0.254391 0.5402455 0.0147766 0.0041314 0.0004787 0.0006913 0.0171408 0.0225226 0.851694 9.08651797210504e-05 0.0409583363962894 0.000814086713242279 0.335555873219826 0.00433047967529589 0.533834672030734 0.00112135698599458 0.0240528487961077 0.000324649399196069 0.0130433402071534 0.000704012924011924 0.0132100902064638 0.000349976482860402 0.0314277501681278 9.11649744760539e-05 9.04966404997358e-05 0.0842493300392712 0.0842493300392712 0.00666952797645489
20.61691 12.83004 29.20194 0.5 11 112.592 22.425 0 0 27.758 10.245 23.212 8.935 61.622 16.375 -9 0 0.0297174 0.0085124 0.0282827 0.0069069 0.0288127 0.0066406 0.0267393 0.0056126 0.1013397 0.4763639 0.2316665 0.5000079 0.0306798 0.0077011 0.0016798 0.0016248 0.0292299 0.026998 0.82915 0.000298550907054693 0.220879786525225 0.000687167918134669 0.354008714444698 0.000743627075983243 0.403937764992937 0.000227795052241185 0.00194567957976846 0.000157217539334582 0.00394569408577041 0.000358961455861769 0.00877867968926308 0.000429431890005522 0.00348743803744837 5.66691586837908e-05 5.68216475908468e-05 0.0193330914578307 0.0193330914578307 0.00120266730386522
26.63397 26.68458 1.86271 0.5 12 24.564 5.438 0 0 9.948 3.169 9.726 3.359 4.89 2.797 -9 0 0.0028474 0.0011642 0.0028293 0.0011951 0.0041824 0.0011999 0.0041198 0.0012259 -1.187263 0.6193979 -1.1639211 0.638329 0.0029226 0.0011562 8.42e-05 0.0001844 0.0143215 0.0255474 0.7798726 0.000872254888315157 0.465866474781053 0.00275058275993335 0.228512225572412 0.00466888489816059 0.159831573288861 0.00144908086936688 0.0291311357467438 0.000577355506188158 0.00564588254552453 0.0018847651904043 0.0715371993494464 0.000591073519681857 0.0264691249836886 0.000106263229949428 0.000106122870270977 0.137314781461982 0.137314781461982 0.0728778241545859
10.91417 11.79031 17.66253 0.5 13 78.644 14.517 0 0 19.718 7.399 20.092 7.466 38.834 12.641 -9 0 0.017156 0.0049915 0.0173111 0.0051012 0.016504 0.0039633 0.0166095 0.0039206 0.1425863 0.6077134 0.1462193 0.5886423 0.0187446 0.0051357 0.001511 0.0014331 0.0427734 0.0355249 0.7355459 0.00124589301393372 0.355337514526483 0.000996744935644073 0.183062309186589 0.00668773952824485 0.438925059695127 0.000339309767988125 0.0023052429690468 0.000253580253941556 0.0019305981150375 0.000188111333892144 0.00481214293207572 7.11253243671477e-05 0.00370236669406698 7.11548462304008e-05 7.11068773325666e-05 0.0136044127776258 0.0136044127776258 0.00112600843607026
26.86375 0.02849 8.76526 0.5 14 37.636 9.609 0.972 1.177 36.562 9.576 0.102 0.328 0 0 -8.68 2.384 0.009391 0.0032345 3.19e-05 0.0001166 0.0103057 0.0026992 2.88e-05 9.26e-05 -0.3835664 0.6097001 0.0171137 0.307261 0.0096179 0.0040012 0.0049065 0.0030189 0.3302734 0.1187723 -0.031732 0.0554716485350949 0.663044125619986 0.0118067783409572 0.207174642537592 0.000577273157520076 0.0415821524123864 0.000323793631610239 0.00217332844576216 0.00164266611122573 0.00453296979529718 0.00447790168749681 0.00570836187570113 0.000530005051049405 0.000708622467751513 0.000122789573667459 0.000122940756901313 0.0201025888817054 0.0201025888817054 0.0012140694282465
2.5465 6.90751 17.90508 0.5 15 65.22 14.672 0.026 0.299 12.328 6.299 26.864 10.24 26.002 12.317 -8.968 0.716 0.0129809 0.0054453 0.016116 0.0050392 0.0108041 0.0040287 0.0149013 0.0038587 0.778257 0.9025204 0.3085386 0.6416292 0.0184891 0.0057468 0.0039406 0.0030054 0.1217519 0.0769905 0.5183102 0.00238254425646668 0.326683298011641 0.00184506229096686 0.21018255083555 0.00246494933715736 0.25601371517316 0.000380028095977513 0.00350879314196262 0.00115295087607337 0.00882984847559645 0.000454182915530118 0.0674119059854084 0.000199744972051403 0.118121193114055 0.000181977388722213 0.000187255129681981 0.200132543019528 0.200132543019528 0.189738456623784
10.44125 5.70928 2.22844 0.5 16 20.056 4.889 0 0 9.024 3.316 6.94 2.843 4.092 2.767 -9 0 0.0028691 0.0011866 0.0026706 0.001267 0.003697 0.0011273 0.0031096 0.0011346 -0.824348 0.6819519 -0.5206336 0.7622976 0.0031268 0.0012999 0.0003569 0.0003911 0.0583913 0.0502382 0.6295098 0.00625037685834215 0.499156986756181 0.00247058534122562 0.297982174725457 0.00149412753298374 0.151425347153576 0.000188276839043124 0.0170418318669901 0.000267233550591877 0.003160876274385 0.000946939782092325 0.0154180422574976 0.000197493464284331 0.00387066798014457 6.48208207885941e-05 6.42187964179894e-05 0.0410966651129635 0.0410966651129635 0.00168501501912877
12.17602 0.09285 20.45135 0.5 17 70.174 15.495 2.116 2.539 67.716 15.375 0.342 0.556 0 0 -6.396 7.127 0.0198849 0.0054619 9.45e-05 0.0001916 0.0190871 0.0043336 9.64e-05 0.0001569 0.1547938 0.5468497 -0.0226623 0.5573366 0.0216769 0.0074701 0.0116872 0.0057826 0.3612094 0.100708 0.0226663 0.00363378540761476 0.768100092443745 0.000703152107074965 0.048235988512141 0.000464924369896625 0.174547963779888 8.00876786286102e-05 0.000953988969277934 0.000210996040709607 0.000546019582581793 9.9174153203982e-05 0.0010643645839404 0.000259496770475838 0.000939788499881128 8.00879680984962e-05 8.00891328419518e-05 0.00415458174755924 0.00415458174755924 0.00102487880414825
20.2913 15.07123 21.02579 0.5 18 95.766 16.546 0 0 24.642 7.898 21.7 7.619 49.424 14.019 -9 0 0.0210161 0.0059833 0.0207103 0.005754 0.0209762 0.0046997 0.0201289 0.0044731 -0.0197797 0.5218433 0.0957203 0.5370325 0.0220189 0.0059074 0.0011557 0.0013149 0.0275229 0.0286236 0.8081471 0.0121513501773174 0.581892761127528 0.00289613803134976 0.200592445214282 0.000954351584649138 0.186905060866543 6.29123307890291e-05 0.00452089107105121 6.29890170817238e-05 0.00107801529862098 0.000241868144305475 0.00482100178718452 0.000106028634728258 0.00358893801638297 6.25785111973407e-05 6.26701869899741e-05 0.0144844584597102 0.0144844584597102 0.0011369132975513
11.66383 0.93341 24.20107 0.5 19 83.71 17.442 0.592 1.746 57.748 19.146 6.374 5.008 18.996 15.677 -8.082 4.466 0.0228125 0.0065774 0.0090917 0.0071989 0.0216363 0.0049911 0.0071544 0.0049998 0.1924905 0.560437 0.7891896 1.4710238 0.025111 0.0074558 0.0091589 0.0054039 0.229389 0.1177741 0.2617987 0.00934948210679567 0.0863327980110395 0.0153153790013058 0.364746971557909 0.019033231721603 0.28813661051647 0.000269059741072499 0.00548085593993065 0.000934704670016395 0.00847488541687527 0.000762828247127951 0.118875270731734 0.000720136567915728 0.0810289541930248 0.000268963821466163 0.000269867755714294 0.216663440611119 0.216663440611119 0.2331314255612
