N1 N2 Na Tsplit M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
9.52969 19.13455 8.16695 0.5 19.73203 19.73203 14.63671 154.11467 8.80702 30.58207 202 202 20 44.92 9.097 0 0 10.17 3.903 11.734 4.628 23.016 7.932 -9 0 0.0086005 0.0028205 0.0087289 0.0028848 0.0093541 0.0023745 0.009795 0.0024569 -0.340701 0.6089466 -0.4587672 0.5935183 0.0087728 0.002748 0.0001082 0.0003525 0.0068853 0.020374 0.8589349 0.000116468228547526 0.00376064180903593 0.00011683951067778 0.143450916500065 0.00425305780993374 0.14455652388744 0.00130900673726528 0.281557867069579 0.000843564540701757 0.0500557778041871 0.00405636516145614 0.281951525136551 0.00186958465200195 0.0818677867487069 0.000117337023908955 0.000116737379943116
14.05958 11.57492 3.201 0.5 28.03807 28.03807 0.67588 162.21479 3.71455 157.96426 382 382 21 26.98 6.154 0 0 8.484 3.455 8.306 3.321 10.19 4.668 -9 0 0.0040474 0.0016644 0.0040401 0.001644 0.0052636 0.0015298 0.0052135 0.0015363 -0.895712 0.6636642 -0.8674041 0.6700367 0.004096 0.001615 5.23e-05 0.0002039 0.0064753 0.0228376 0.867321 0.000398115886085204 0.00389244708821173 0.000795415118644326 0.0208054039917158 0.000468776280949298 0.027160747344799 0.0060799291958647 0.481846200439174 0.00149460143786171 0.0228375105177025 0.00559925951834427 0.396984875075261 0.00269496372593192 0.028737711251031 0.000102103084618343 0.000101940043804901
22.94639 12.52564 17.28225 0.5 8.23167 8.23167 17.89103 63.12017 18.36137 95.18516 451 451 22 79.302 14.684 0 0 16.258 5.898 15.004 5.631 48.04 13.218 -9 0 0.0175677 0.0050011 0.0173073 0.0048682 0.0181254 0.0039603 0.0177719 0.0039227 -0.1538587 0.5213038 -0.1299988 0.5176802 0.0175038 0.0048437 6.62e-05 0.00056 0.0018635 0.0153431 0.9133126 7.94436609291259e-05 0.00028164979340806 7.91157784605829e-05 0.01734483224192 7.9654128659038e-05 0.0467118037749241 0.000925409973455361 0.277142380260471 0.00132806182155427 0.238281279540868 0.00055156989674031 0.182476235728598 0.00199594139363956 0.232563383384907 7.93635317091522e-05 7.98750897567285e-05
21.08967 14.30559 10.21913 0.5 27.20104 27.20104 19.54926 90.22476 5.51174 6.22858 244 244 23 55.092 10.612 0 0 12.702 4.733 12.504 4.661 29.886 9.318 -9 0 0.0109596 0.003463 0.0109885 0.0036419 0.0120043 0.0027746 0.0119485 0.002851 -0.3824615 0.5949514 -0.3624321 0.6210515 0.0110318 0.0034821 5.78e-05 0.0004294 0.0025922 0.0167817 0.8828183 9.4597229960305e-05 9.38543733326493e-05 0.000689502384198382 0.0375150806768152 0.000864589432277566 0.0465255307338787 0.000207127791891169 0.220920563322869 0.00816805559931984 0.126566150694415 0.000736528257208736 0.346489472115974 0.00103689501124082 0.209904639713705 9.32927869391167e-05 9.41198759747389e-05
4.20282 18.95796 7.06943 0.5 11.5151 11.5151 8.93066 166.29566 10.64116 66.85023 461 461 24 36.496 8.963 0 0 7.22 3.688 9.288 4.53 19.988 7.51 -9 0 0.0072557 0.002854 0.0075009 0.0028525 0.0076691 0.0023543 0.008252 0.0022992 -0.2491535 0.6873957 -0.4026403 0.6441082 0.0074865 0.0028573 0.0001083 0.0005729 0.0066961 0.0299142 0.8737326 0.000153591151683398 0.00956563235480465 0.000680741699814889 0.0388520368952349 0.000500136098015091 0.00872886753384329 0.00336073852563841 0.342541848930748 0.000398062392997072 0.0239817575245483 0.00373015854185165 0.550964077639689 0.001943226287241 0.0142913437766934 0.000153486577897064 0.000154294069299428
13.78585 29.0352 2.33149 0.5 0.95332 0.95332 6.82974 74.68238 12.92737 69.68267 230 230 25 25.29 5.781 0 0 9.086 3.445 10.038 3.507 6.166 3.519 -9 0 0.0031842 0.0014056 0.0032317 0.0013662 0.0042991 0.0013769 0.0045674 0.0013361 -0.9824861 0.654325 -1.107964 0.6475571 0.0033343 0.0013753 0.0001263 0.0002006 0.0180766 0.0245182 0.7536878 0.00129844806541288 0.0604191358473198 0.0378632404721506 0.296557885230996 0.0167090995963173 0.316543647425317 0.00271174024851034 0.06073151611216 0.0035175911541389 0.0180365339036667 0.00568105694843995 0.11234284575799 0.00204891594113686 0.0652304032413279 0.000156754974724675 0.000151185080391794
22.03096 12.90206 24.40555 0.5 13.10979 13.10979 2.8207 41.6293 12.70792 93.89559 422 422 26 106.294 17.872 0 0 20.23 7.977 18.998 7.342 67.066 15.426 -9 0 0.0252925 0.0067562 0.024757 0.0061899 0.0254483 0.0053791 0.0249708 0.0051805 -0.0445198 0.4925861 -0.0456362 0.5127846 0.025294 0.0063307 0.0002693 0.000944 0.0054641 0.01898 0.8807994 9.4920511103643e-05 0.0287675206411691 0.000253672259804827 0.00684894214335805 9.51728431877593e-05 0.0125161922519477 0.0824138425079798 0.337699718929806 0.000302293945857429 0.0486563346484247 0.0642060349966206 0.393246449864382 0.000543944040117609 0.02416575220774 9.45425509895185e-05 9.46656575107377e-05
3.37038 24.33348 16.96931 0.5 10.37272 10.37272 8.20752 116.92689 11.76802 144.92038 276 276 27 70.192 13.774 0 0 9.766 4.878 18.822 9.556 41.604 13.44 -9 0 0.0153868 0.0049638 0.0167823 0.0048082 0.0144796 0.0040625 0.0170323 0.0037606 0.2572406 0.7250409 -0.087293 0.5651877 0.016816 0.0048143 0.0007315 0.0012666 0.0227516 0.0369972 0.8034359 5.87624661464638e-05 0.000598062953103574 0.000168029654436653 0.00860801422704855 5.8568300102071e-05 0.00060300414383737 0.0012377672257972 0.253847574529644 5.86750364932796e-05 0.00182032692111518 0.00305637669095021 0.727896928392134 5.86292587352119e-05 0.00181110683155294 5.92239969355559e-05 5.89493719674506e-05
16.4243 22.61822 18.62069 0.5 26.04018 26.04018 13.05392 129.01809 5.73236 162.60569 68 68 28 87.494 15.782 0 0 17.272 6.266 18.55 6.776 51.672 14.395 -9 0 0.0188693 0.005459 0.0191036 0.0053967 0.0194332 0.0043665 0.0197935 0.0042229 -0.1452156 0.5377942 -0.1693731 0.5421305 0.0191532 0.0052696 0.0001668 0.0006454 0.0048047 0.0172523 0.8951821 0.000112187025115863 0.00319338678284164 0.000112085237366563 0.055579650327363 0.000420485670407296 0.0951827465763319 0.00228257614661145 0.351586591785058 0.000891704744829993 0.0714845418385461 0.00262161017418409 0.287762508314794 0.00140286357864721 0.127141487458992 0.000113646936706171 0.000111927402205548
25.31756 22.99485 25.07356 0.5 12.62276 12.62276 9.87936 127.98333 8.55772 132.2052 470 470 29 110.516 16.605 0 0 20.682 7.157 20.688 6.978 69.146 14.331 -9 0 0.0256768 0.0066527 0.0256217 0.0060404 0.0262449 0.0050801 0.0261011 0.0048093 -0.1122913 0.4866273 -0.0928667 0.4463849 0.0257044 0.0061506 5.51e-05 0.0007191 0.0011802 0.0138984 0.8933319 8.27842166337462e-05 8.22285704006088e-05 8.23683881724359e-05 0.000788717042418774 8.16542514804747e-05 0.0030349662495394 8.16892388457574e-05 0.0763810422700972 0.00121988545207671 0.295736463989623 8.24220858587293e-05 0.081033266657137 0.00312211417075987 0.538024272305156 8.16687999108504e-05 8.44563118896055e-05
12.00914 15.2291 1.10064 0.5 5.74354 5.74354 7.16898 182.61767 15.99368 96.6028 425 425 30 19.268 4.771 0 0 7.18 2.902 7.646 2.929 4.442 2.494 -9 0 0.0020243 0.0008325 0.0020517 0.0008201 0.0032759 0.001046 0.0034072 0.0010576 -1.3527477 0.5298252 -1.416111 0.5373824 0.0020571 0.0007803 1.91e-05 8.01e-05 0.0047963 0.0168312 0.7569413 0.000105342324640561 0.00133339677823765 0.000860548583975978 0.0406324191910174 0.00432126787317268 0.0569435373687541 0.00630592531628448 0.348430363116664 0.00946963103094669 0.140714837159945 0.00683936541310011 0.226867333797193 0.0069270313226691 0.150039746902959 0.000104370041305429 0.000104883779134432
10.64644 26.53933 6.06469 0.5 2.03699 2.03699 16.1378 9.77721 2.27235 74.92531 21 21 31 37.884 8.422 0 0 9.148 3.646 11.998 4.415 16.738 6.693 -9 0 0.0066082 0.0026741 0.0068982 0.0026547 0.0072965 0.0021028 0.0080998 0.0022032 -0.4182254 0.7120801 -0.6249 0.651841 0.0069022 0.0026366 0.0001491 0.0003643 0.0109277 0.0245415 0.8750121 0.00104444518043908 0.00695838744299811 0.00277749380732219 0.127530438507086 0.00339999361846202 0.0734744155227427 0.0076180953439919 0.358535089075699 0.00116806486873754 0.0779951052891317 0.00395658957661667 0.27510044752897 0.00101766665786079 0.059119526281501 0.000151895272620733 0.000152346025819978
28.91907 2.07681 11.47152 0.5 18.79404 18.79404 11.34283 188.40132 12.98004 17.95881 364 364 32 45.83 11.663 0 0 11.76 8.437 6.21 3.564 27.86 10.54 -9 0 0.0110794 0.0039176 0.0102519 0.0039352 0.0111677 0.0032251 0.0096033 0.0031196 -0.0580241 0.6650321 0.2453738 0.7448189 0.0110227 0.0038644 0.000357 0.000897 0.0168772 0.0379997 0.8176451 5.69845413735421e-05 5.69649827501665e-05 5.69660423584153e-05 0.00141421097756965 5.69805403191401e-05 5.69515496608661e-05 0.00589861243551613 0.388007412487011 5.69612156210533e-05 0.000273832619032733 0.00267859468838318 0.599626271824374 0.000351688796305908 0.00129370004185879 5.69449822450728e-05 5.69222756199652e-05
23.07811 24.3666 19.97897 0.5 20.66277 20.66277 10.63621 189.77202 14.05159 6.71945 47 47 33 94.694 15.81 0 0 20.102 6.886 20.274 6.693 54.318 14.499 -9 0 0.0203518 0.0052367 0.0203483 0.0055655 0.0209767 0.0042099 0.0210252 0.0044089 -0.1385804 0.5078267 -0.1586446 0.5163626 0.0207086 0.0053132 0.0003585 0.0008627 0.0088136 0.0201095 0.857363 0.000313796098593755 0.0057819662677766 0.000297724584239082 0.0528758943415489 0.000967206692009641 0.107201596220665 0.0087196211736567 0.356612345158555 0.000104773016778603 0.0281331060541403 0.000412589972042433 0.408376816721742 0.000168722087840448 0.0298480644368388 9.32795488784829e-05 9.24976246950268e-05
3.93924 2.20893 24.46669 0.5 27.39178 27.39178 2.04467 13.47615 15.58436 171.88855 217 217 34 76.334 17.007 0 0 12.044 8.695 8.462 6.178 55.828 16.032 -9 0 0.0216829 0.0061731 0.020702 0.0063543 0.0191311 0.0046681 0.0181214 0.0047053 0.5373601 0.6431215 0.5649211 0.7011465 0.0221033 0.0063042 0.0009109 0.0018258 0.0208178 0.0387384 0.8035616 0.000137929293021859 0.000137665315004787 0.000353014685647246 0.00728450905262162 0.000702186933007865 0.00483082659316975 0.00190887748256182 0.555723538728666 0.000138061066749427 0.00827453045306533 0.0145132285199452 0.352118971501368 0.00486486914900428 0.0487357528934035 0.000137978143027457 0.000138060189735652
