N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
2.72664 17.92238 7.56245 0.5 6.42529 165.35482 379 249 20 9.658 5.372 0.168 0.502 3.714 2.997 5.546 4.538 0.23 0.643 -8.96 0.894 0.0008456 0.0007836 0.0009679 0.0008135 0.0011117 0.0008842 0.0016281 0.0013285 -0.5586649 0.762997 -0.889741 1.0583613 0.0013595 0.0012371 0.0004528 0.000901 0.1671112 0.2011875 0.001305 0.719652414446853 5.83857090017893e-05 0.121967152485022 0.000621511294712918 0.141592270530356 0.000225405497765807 0.00688573355196075 0.000400946198037199 0.00182579096778252 5.83921588659283e-05 0.00456694077093309 0.000364998298961647 0.00160487278224539 5.8339427160419e-05 5.85068544470164e-05 5.83390258944848e-05
22.41985 18.39748 11.32251 0.5 10.75121 157.36591 145 296 21 38.774 18.53 0.646 2.189 11.134 10.081 17.062 13.557 9.932 10.811 -8.042 4.147 0.0062979 0.004944 0.00756 0.0053619 0.0059379 0.0045343 0.0076088 0.0051164 0.1806566 1.2379298 -0.0445964 1.1561779 0.0104661 0.0059546 0.0035371 0.0039468 0.1973616 0.1821115 0.4363622 0.802199525751923 0.000106186382311346 0.146079010836877 0.000106177678430285 0.0173089042681765 0.000106238696604567 0.0168214691093911 0.000106168119675229 0.000242859938024261 0.000106192466762689 0.0134482731628788 0.000106231042403572 0.00294412906297776 0.000106235023159371 0.00010618115340474 0.000106217306999411
17.52932 14.81796 5.75421 0.5 19.04004 45.08302 0 144 22 18.196 5.923 0 0 7.064 3.04 7.762 3.323 3.37 3.304 -9 0 0.0025227 0.0014939 0.0025636 0.0014783 0.002941 0.0013149 0.0031378 0.0014116 -0.5494128 0.7945714 -0.664642 0.795942 0.0029861 0.0016939 0.0004429 0.0005424 0.075303 0.0626972 0.720037 0.455395970946379 0.0399477459138713 0.121396346512358 0.0268070419751615 0.297966585468454 0.0188678108941739 0.00628677272034301 0.00454000790158672 0.00459812796569349 0.00287284835904139 0.0076078492669153 0.00459374090974416 0.00550933092655254 0.00331355451368069 0.000148134484036253 0.000148131242009087
11.99831 10.71124 1.98639 0.5 2.8363 117.84932 248 115 23 8.694 6.17 0.748 1.364 5.028 5.068 2.624 3.798 0.294 1.305 -8.956 0.984 0.0009947 0.0011295 0.0006053 0.0009385 0.0015001 0.0015324 0.0008225 0.0012018 -0.6656067 0.9808714 -0.3086346 0.9321498 0.001885 0.0016104 0.001085 0.001457 0.3552372 0.345232 0.1950237 0.717583425749711 7.91392362391858e-05 0.105619636172921 7.91427346311809e-05 0.0943368270022557 7.9119500811093e-05 0.0339283380201639 7.9167842979099e-05 0.000457321863273299 7.90224604923555e-05 0.0470890800796673 7.90258527294529e-05 0.000273449270568721 7.90918737597476e-05 7.91028075194944e-05 7.91095322775398e-05
11.98325 6.61059 22.51864 0.5 11.16347 111.78533 2 343 24 47.2 30.217 1.906 5.321 9.292 10.893 26.438 23.738 9.564 12.984 -6.714 6.746 0.0066423 0.0068641 0.0112484 0.0101418 0.0053149 0.0048759 0.0101479 0.0086143 0.5363111 1.3897885 0.1563759 1.0070069 0.0166033 0.0116214 0.0076579 0.0076949 0.3014647 0.2116895 0.3971963 0.38234459401975 7.01626939421135e-05 0.396333627323783 7.01459205139242e-05 0.215035147626207 7.02136866312662e-05 0.00282179546664997 7.01784480613547e-05 0.000544627281356569 7.01321123385476e-05 0.00149211304778251 7.01174568703635e-05 0.000796561238750499 7.02152205490149e-05 7.01944090767369e-05 7.0174047736775e-05
4.74484 26.22085 10.45468 0.5 16.35528 19.95771 336 425 25 48.6 11.954 0.016 0.358 8.526 4.297 21.954 7.817 18.104 9.346 -8.962 0.85 0.0083837 0.004064 0.0105469 0.0038122 0.0075062 0.0030448 0.0112911 0.003106 0.3980951 0.8850814 -0.3035054 0.622299 0.0110571 0.0042159 0.0015918 0.0017223 0.0786816 0.0705303 0.7047433 0.0156437761335737 0.0184409177637784 0.413422257321306 0.164827645004397 0.236087093493089 0.122146022959478 0.00212202313939897 0.00730143930963619 0.00172876186242687 0.00678054073948852 0.0030760103167429 0.00335402939701948 0.000855755540884018 0.00347885399823554 0.000366636761454748 0.000368236259091205
3.32105 7.05525 12.51627 0.5 19.31015 69.91076 103 387 26 37.184 16.978 0.63 1.693 5.772 5.704 23.286 14.446 7.496 9.567 -8.236 3.624 0.0044464 0.0047124 0.0092836 0.0054458 0.0037398 0.0037031 0.0086765 0.0045808 0.4268721 1.2481716 0.1761169 0.9458128 0.0115326 0.00643 0.0046676 0.0041798 0.2574193 0.168396 0.3479661 0.138678531384146 0.000199442961651862 0.585424705247496 0.0012812920443291 0.22314305809765 0.000894338779012425 0.00639076486451833 0.000459545110773117 0.00239574200462062 0.000199839869899648 0.0295682319858824 0.000476144514846171 0.0101133221194561 0.000376425060541907 0.000199268909520664 0.000199347045655598
10.50569 16.03438 5.85146 0.5 4.99219 124.27976 205 141 27 11.296 9.074 0.662 1.833 5.322 6.44 4.69 5.969 0.622 2.378 -8.804 1.791 0.0013046 0.0019107 0.0012249 0.0018341 0.0016754 0.0020835 0.0014973 0.0019385 -0.5484818 0.9598837 -0.3623679 1.0618834 0.0026548 0.0029524 0.00139 0.002259 0.2962626 0.28232 0.2087252 0.273613969595966 0.000120448620299726 0.503110198710632 0.000120413156024529 0.176081405688154 0.000120423356146846 0.017420839968218 0.000120579782526603 0.00244318685226567 0.000120547334710419 0.0230502492886819 0.000120658674934247 0.00319580818660179 0.000120367983019988 0.00012042992738027 0.00012047287443891
29.60807 8.2972 24.34024 0.5 10.82437 119.02423 232 9 28 51.964 35.592 1.414 3.263 37.762 29.864 4.904 6.521 7.884 12.838 -6.836 6.825 0.0134556 0.0105672 0.0044712 0.0063186 0.0128662 0.0096336 0.0036045 0.0046549 -0.0086319 1.0947785 0.3816274 1.3303872 0.0168226 0.0128048 0.0078592 0.0077122 0.2840633 0.1769686 0.4156352 0.786784828595454 6.86941671209864e-05 0.048207618189843 0.000606950471161034 0.0237071106616297 6.86977232314272e-05 0.00172952135218049 0.000184149687908773 0.000192663402803415 6.87292705733848e-05 0.137835198994133 0.000214675122841754 0.000124975613149077 6.87411197744353e-05 6.87440254575509e-05 6.87016027376881e-05
3.46955 10.12155 4.94133 0.5 8.96811 117.51952 216 442 29 22.986 8.481 0.47 0.922 3.99 4.749 15.148 7.697 3.378 5.188 -8.964 0.805 0.0021929 0.0026901 0.0048541 0.002565 0.0020768 0.0023413 0.0052219 0.0023244 0.0775755 0.8790746 -0.2959741 0.8220482 0.0056827 0.0027719 0.0021592 0.0019865 0.2489618 0.1902802 0.1984381 0.229306927756321 0.000273128435523921 0.518786352927287 0.00206197790375448 0.115016200431782 0.00149201114774523 0.0628399609584892 0.00101245195634027 0.012605482360716 0.000579160293319272 0.0348234183737095 0.000273025091758123 0.0201117205571342 0.000272979849536207 0.000272650027783044 0.000272551928799786
25.43432 21.91142 24.24282 0.5 6.44995 67.96455 144 313 30 68.752 36.738 0.368 1.752 16.956 16.264 26.7 21.156 24.728 21.941 -8.45 3.443 0.0131666 0.0099038 0.0151406 0.0103525 0.011958 0.0088527 0.0146578 0.0097229 0.3022656 1.1206498 0.049449 1.0330274 0.0185305 0.011201 0.0043769 0.0053212 0.1399252 0.1375937 0.6582332 0.701205135563966 0.000104587985883954 0.175097492124157 0.00010452111495723 0.102932800063766 0.000104567834365832 0.0117258936630113 0.000104509917980994 0.000546450902407051 0.000104544289515572 0.00611143484202539 0.000104516570098182 0.00143998389245575 0.000104532991357317 0.000104527595667447 0.000104500648385418
23.36684 20.74236 25.65512 0.5 13.14733 128.51258 162 292 31 43.964 38.725 0.076 0.468 12.172 12.724 16.58 16.085 15.136 20.903 -8.936 1.019 0.0081685 0.0096181 0.0090552 0.01043 0.0078382 0.0085748 0.0090587 0.0094046 -0.0982966 1.0740623 -0.3004985 1.0391572 0.0110515 0.012034 0.0024396 0.004027 0.1275448 0.1169523 0.8434204 0.338361427907657 9.84609913355276e-05 0.508845264060256 9.84141688855269e-05 0.0903467572164313 9.86889613141217e-05 0.0180708015774709 9.86368523300042e-05 0.00432607453536089 9.88842606271569e-05 0.0265238391039585 9.87662430867264e-05 0.012637743062626 9.88669316687643e-05 9.87098184541246e-05 9.86643085369813e-05
25.34476 25.36846 27.13525 0.5 17.08075 19.62375 447 106 32 96.028 28.52 0 0 25.072 9.408 20.65 8.688 50.306 20.738 -9 0 0.0230443 0.0097836 0.022174 0.0087617 0.022708 0.0083864 0.0211543 0.0076911 -0.0093602 0.526167 0.1613059 0.5689954 0.0239167 0.0094808 0.0013076 0.0015081 0.0295933 0.0307574 0.9174057 0.0162784699466084 6.01965813166144e-05 0.484144031422965 6.01667243984794e-05 0.410978800936018 6.01825503525612e-05 0.0472677588058878 6.02198229201656e-05 0.00752926213717933 6.02111080929314e-05 0.0298477886792683 6.00675939749752e-05 0.00341174617077237 6.01688672208957e-05 6.07735674139864e-05 6.01550856097048e-05
24.68949 17.38704 10.6336 0.5 5.328 90.78593 56 370 33 30.474 18.742 0.438 1.906 6.576 6.948 16.972 13.552 6.488 8.865 -8.476 3.136 0.0040022 0.0041252 0.0061454 0.005393 0.0036823 0.0034801 0.0066127 0.0051061 0.1194865 1.1930046 -0.4727084 1.0640059 0.0077422 0.0061457 0.0026684 0.0036093 0.186373 0.1800963 0.5399976 0.606508681122021 0.000114583999507257 0.180599730650084 0.000116010308422865 0.179377891965843 0.000115559114897792 0.0230764264411287 0.000113861031986533 0.000113805839842541 0.000114425209064126 0.00694619251616281 0.000113965154192376 0.0023466300647345 0.000114213088423635 0.000114250341174713 0.000113773152514255
10.49389 18.42885 8.2373 0.5 9.8836 81.76841 164 247 34 17.218 10.849 0.112 0.607 5.4 4.43 8.994 6.404 2.712 5.247 -8.924 1.202 0.0020959 0.0024788 0.0027377 0.0028067 0.0022865 0.002232 0.0032996 0.0026763 -0.338401 1.1206499 -0.6556281 0.9959915 0.0034226 0.0035372 0.0010059 0.0016727 0.154648 0.1468775 0.7251836 0.528053619664541 7.45498867192713e-05 0.263825619091494 7.45611543548839e-05 0.160471712041599 7.46244886163702e-05 0.024306534857665 7.44565050155024e-05 0.000652674253036688 7.47182104362029e-05 0.0191102084877399 0.000121103811574398 0.00286228068962543 7.44824142167431e-05 7.44298282018451e-05 7.44246151638486e-05
14.7809 13.46936 17.32741 0.5 5.10927 147.55338 352 450 35 25.644 24.636 0.216 1.095 8.898 10.049 10.922 11.214 5.608 13.417 -8.794 2.094 0.0035049 0.0059821 0.0039268 0.0063804 0.0040888 0.0054929 0.0046593 0.005699 -0.8368394 1.037559 -1.0947795 0.8374028 0.0046936 0.0071176 0.0009778 0.0026078 0.1033467 0.1645616 0.765595 0.660501079244954 9.92443187084506e-05 0.0496835955813825 9.79631335978873e-05 0.274715538512541 9.62624931972497e-05 0.00735693579344657 9.92469595110614e-05 0.000207066796078797 9.83085574104941e-05 0.00563021372404294 0.000101180273150373 0.00102240117113521 9.55302193592645e-05 9.77887382066052e-05 9.76444832780786e-05
2.16222 21.04319 14.86157 0.5 12.04906 75.03015 293 135 36 27.778 20.025 0.626 1.963 5.274 6.256 16.65 14.759 5.228 8.644 -8.338 3.7 0.0034237 0.00462 0.0062168 0.0057945 0.0029602 0.0036273 0.0061667 0.0050976 0.1598172 0.9588511 -0.1403563 0.9991249 0.008189 0.0075909 0.0033687 0.0045923 0.2350487 0.184413 0.4982983 0.723338546691986 9.79332673503491e-05 0.209699686350901 0.000279599281267266 0.0533706826291448 9.79429909093548e-05 0.00745449317421527 9.79381896937388e-05 0.000332239485050153 9.79438521729863e-05 0.00353748707279373 9.79489151547311e-05 0.00120373343872668 9.79475555568538e-05 9.79456137837167e-05 9.79314912938662e-05
