N1 N2 Na Tsplit Tsc M1 M2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
7.45018 14.90755 24.98533 0.5 0.39107 7.43231 7.43231 0 100.286 22.069 0 0 15.35 7.068 17.338 7.489 67.598 18.824 -9 0 0.0250139 0.007135 0.0252174 0.0066277 0.0243766 0.0056128 0.0247994 0.0051364 0.0838511 0.5296118 0.0482131 0.5212162 0.0252419 0.0067164 0.0001263 0.0007757 0.002581 0.0155696 0.8853596 8.23945698121258e-05 0.000112908980726008 8.21414299336935e-05 0.00246077376895248 8.27519217171447e-05 0.00406709297727863 8.27981100976495e-05 0.181626911546621 0.00046786770121333 0.090503984329237 0.00038644882332099 0.150933180761631 0.00162562157791781 0.565497735950505 0.00190533309306317 8.20544579732891e-05 0.993098219839609 0.993098219839609 0.998948445060394
2.16358 15.4799 6.25699 0.5 0.39106 11.16248 11.16248 1 29.766 7.63 0 0 4.838 2.784 7.612 3.885 17.316 6.485 -9 0 0.0062396 0.0025125 0.0065167 0.0025161 0.0062445 0.0019894 0.0070264 0.0020341 -0.0466996 0.7142572 -0.3218074 0.6909608 0.006456 0.002449 7.79e-05 0.0002954 0.0063905 0.0210983 0.8684092 5.40225006249213e-05 5.38918408002331e-05 5.3644782382405e-05 0.000259470487326755 5.36963126862111e-05 0.00240417735432623 0.000713058242371052 0.0352540504205907 0.00368247327979086 0.82254653500618 0.000317293716023863 0.0095861208775712 0.000209627692142153 0.124704989609154 5.33422006173452e-05 5.3605677412119e-05 0.997120788796325 0.997120788796325 0.998986851652706
7.82134 16.71509 2.75652 0.5 0.39284 27.37171 27.37171 2 23.942 5.626 0 0 7.168 2.898 7.37 3.092 9.404 4.091 -9 0 0.0034625 0.0014565 0.0034853 0.0013948 0.0046711 0.0013978 0.0047281 0.0013619 -0.9933099 0.6349173 -0.9956124 0.6244276 0.0034753 0.0013766 1.4e-06 0.0001302 0.0003674 0.0151465 0.8675107 4.46011579907378e-05 4.4764580848586e-05 4.46547854999089e-05 0.00129509775095034 4.49060910904052e-05 0.00714538203576387 0.000702396537223115 0.0406273398129686 0.0120331400521021 0.369391820264902 0.00143286184888046 0.0545144079245636 0.00621440258292357 0.506375341788927 4.44425509146463e-05 4.44402344512614e-05 0.991379827412906 0.991379827412906 0.998930703261513
18.34618 13.03969 11.23134 0.5 0.18068 17.58372 17.58372 3 57.904 11.415 0 0 12.534 4.665 12.396 5.031 32.974 9.991 -9 0 0.011959 0.003863 0.011954 0.0038466 0.0128273 0.0030471 0.0127884 0.0030294 -0.305041 0.6123215 -0.294194 0.6140752 0.0119679 0.0037764 1.14e-05 0.0004124 0.0004598 0.0159758 0.9047135 6.0183044810994e-05 6.01168193178192e-05 6.01655997406934e-05 0.00234489848813525 6.00278007438037e-05 0.0126630096570607 6.00841432343423e-05 0.0877658715607164 0.00109846168001928 0.336685335811991 0.000377684153158101 0.0698886997940364 0.00127872640783268 0.487476285566446 6.01781326424274e-05 6.02713401134933e-05 0.984749761707029 0.984749761707029 0.998853344528473
26.06477 2.51493 21.54988 0.5 0.09861 27.22757 27.22757 4 84.792 16.753 0 0 14.71 7.118 12.592 6.472 57.49 15.588 -9 0 0.020912 0.0059117 0.020755 0.0059315 0.0203865 0.0047676 0.019785 0.0045654 0.0870675 0.5605093 0.1760078 0.5887203 0.0209046 0.0057625 7.11e-05 0.0006628 0.0016977 0.0155664 0.8795794 7.41987459402382e-05 0.00014453410923639 7.41438847935151e-05 7.4111763948987e-05 7.42702096802251e-05 0.000638335408907345 0.00125050711350232 0.0445820671709333 0.00274552607013157 0.396703278466201 0.000434199806667123 0.0734076445018814 0.00556259542931756 0.468028798851205 0.000648443874607656 0.00555734459304726 0.998913664307984 0.998913664307984 0.999002691972091
6.16381 26.5231 6.64278 0.5 0.39068 28.67598 28.67598 5 38.078 8.637 0 0 8.812 4.074 9.006 3.756 20.26 7.352 -9 0 0.0073157 0.0026765 0.0073578 0.0026965 0.0081945 0.0022767 0.0082492 0.0022227 -0.4499602 0.6428201 -0.4670106 0.6330978 0.0073468 0.002623 1.01e-05 0.000286 0.0005429 0.0174798 0.9016767 6.22064566251859e-05 0.000227191373907683 6.15369037924916e-05 0.00399735215843775 6.16971294269326e-05 0.0081995807845682 0.000747632221381229 0.0531877591301401 0.00497389671826226 0.380221005452374 0.00486059707938153 0.109276041263898 0.00821485792648501 0.425784873156007 6.18699703281972e-05 6.19022749835635e-05 0.987388874285896 0.987388874285896 0.998885963360943
0.16298 14.54112 8.69136 0.5 0.29825 22.35042 22.35042 6 14.424 8.072 0 0 0.856 1.898 5.478 5.988 8.09 6.949 -9 0 0.0029051 0.0026735 0.0037745 0.0028016 0.0025216 0.0020127 0.0038244 0.0022642 0.3564863 1.3231447 -0.1499137 1.2887375 0.0035712 0.0027585 0.0002315 0.000527 0.0294971 0.0524626 0.7667883 0.000145351285163518 0.000144991859542564 0.000145314173644145 0.000227769164423222 0.000145891221956838 0.00212638708970543 0.00573036726456929 0.129661028065635 0.00413479769431004 0.108007957359498 0.0141056847083077 0.210145839412161 0.0715569717777824 0.453430685338209 0.000145681182073533 0.000145282403017958 0.997063440773764 0.997063440773764 0.998986331601912
2.74861 13.93058 19.33904 0.5 0.1721 17.73313 17.73313 7 73.782 16.01 0 0 10.156 5.707 12.85 7.083 50.776 14.785 -9 0 0.0180269 0.0055303 0.0184895 0.0056091 0.0171749 0.0043027 0.0179342 0.0044588 0.1759868 0.5894415 0.1076831 0.5960702 0.0184145 0.0054142 0.0001563 0.0007611 0.0044089 0.0202334 0.8653917 9.82988483846701e-05 9.8206952954995e-05 9.80473551273779e-05 0.00110385667886683 9.82806998628764e-05 0.00184183391457553 0.00308444784411749 0.12818003619993 0.00137215345003011 0.211726303905283 0.000569189759533921 0.2148078857844 0.00584767582093841 0.430877497337859 9.81453008581121e-05 9.81401472773882e-05 0.996660820117808 0.996660820117808 0.998982669979335
8.89528 10.40133 12.11496 0.5 0.37017 2.94913 2.94913 8 56.598 12.174 0 0 11.488 4.911 12.042 4.841 33.068 10.535 -9 0 0.0123633 0.0041286 0.0122259 0.0041044 0.012559 0.0032336 0.0127151 0.0032574 -0.1009486 0.618845 -0.1915587 0.6270322 0.0125375 0.004075 0.0002429 0.0006452 0.0097296 0.0233971 0.8679808 0.000123376225603355 0.15038542355032 0.00194703227908471 0.26957838402879 0.00356584579668059 0.155774873188578 0.00218630409251013 0.164918086975913 0.00177562564587624 0.0283957735809261 0.00474773804127519 0.148445904568205 0.00120517182649677 0.0667017463176179 0.000124500896455532 0.000124212985665676 0.41848043294189 0.41848043294189 0.0553281469522646
17.29482 19.13033 3.32279 0.5 0.40802 2.06776 2.06776 9 28.634 6.231 0 0 9.158 3.35 9.52 3.268 9.956 4.456 -9 0 0.0042227 0.0017466 0.0042623 0.0016709 0.0053876 0.0015692 0.0054897 0.0015306 -0.8554666 0.6553189 -0.8721057 0.646568 0.0043078 0.001666 6.53e-05 0.0002087 0.0073329 0.0205793 0.8180413 0.00101385371114638 0.00825304026645446 0.00287801217280948 0.257259959456559 0.00690551594646569 0.317634573298051 0.00247006511118977 0.138212745620227 0.00088881050089947 0.0624847586083202 0.0015398516279351 0.109559244747328 0.00196221858211785 0.088711496598108 0.000112048168499598 0.000113805583889862 0.405920870147821 0.405920870147821 0.0554501738477679
18.45615 11.37193 18.68452 0.5 0.27539 11.99037 11.99037 10 85.332 15.65 0 0 16.348 6.274 15.394 5.922 53.59 13.819 -9 0 0.0192419 0.0052048 0.0191469 0.0052568 0.0197388 0.0042741 0.0194637 0.0041577 -0.1202406 0.5087016 -0.0901962 0.5158632 0.0192951 0.0051578 0.0001007 0.0006466 0.0024506 0.0159818 0.8905615 0.000107013097848376 0.00381455004795989 0.000108070418806249 0.00816305019413451 0.00010678170597318 0.0390871250613246 0.000937563717053703 0.191367856084722 0.00496692607825803 0.408396337017779 0.0027280581784059 0.143531351314644 0.00508954909634306 0.191381738309126 0.000107214155903647 0.00010681552171848 0.948602408864092 0.948602408864092 0.99788558555511
18.70683 6.07627 29.20824 0.5 0.03299 24.14175 24.14175 11 111.354 19.725 0 0 19.716 8.353 16.238 7.665 75.4 16.598 -9 0 0.0298973 0.0081489 0.0287853 0.0069552 0.0291459 0.0059931 0.0278154 0.0053948 0.0767727 0.5091985 0.1252435 0.4904872 0.0295281 0.0074426 0.0001868 0.0009996 0.0029546 0.0156227 0.8754605 8.04651984430307e-05 0.000389573780649289 8.03960928344884e-05 0.00103769637356571 8.04232028547738e-05 0.0159826249056719 8.02048786030207e-05 0.044080530841768 0.000150152018864961 0.165997357803963 0.000579900641132838 0.273397906039902 0.00247083179850414 0.493361405381913 8.03751414684663e-05 0.00215015589986126 0.982309360926386 0.982309360926386 0.998820737379879
25.6389 14.41641 20.11128 0.5 0.40512 11.37581 11.37581 12 92.02 16.389 0 0 17.768 6.423 17.572 6.251 56.68 14.51 -9 0 0.0202196 0.0054616 0.0201836 0.0054657 0.0209846 0.0043287 0.0209294 0.0043824 -0.1745561 0.5052493 -0.1709983 0.5147637 0.0202256 0.0052743 2.4e-05 0.0005732 0.0008871 0.013961 0.8957211 6.72678927678162e-05 6.76087491838515e-05 6.75983038671906e-05 0.00129185266277408 6.7338133860355e-05 0.0235032406221316 0.00089368317346443 0.134458446343058 0.00114006386052859 0.273143995409297 0.000823239796662174 0.109183048092702 0.0019703056776506 0.45318915884223 6.6737425601993e-05 6.64150142198535e-05 0.974931755737529 0.974931755737529 0.998704873659438
9.77278 16.36918 9.37779 0.5 0.03585 12.56195 12.56195 13 50.282 10.508 0 0 10.916 4.493 12.194 4.652 27.172 8.984 -9 0 0.0100392 0.0034556 0.0100809 0.0033912 0.0107359 0.002781 0.0110961 0.0028186 -0.2904638 0.6298299 -0.3941265 0.6084634 0.0101919 0.0033071 0.0001319 0.0003828 0.0068771 0.0185514 0.8567396 0.000121995915667413 0.00362906771218473 0.000557522183982509 0.140941033650929 0.000536979238274784 0.0765368774415163 0.00300112974813125 0.242956183724442 0.00192861691920697 0.225079799146674 0.00208017487630879 0.0838426207090497 0.00186396412065848 0.216688537671498 0.0001214952174773 0.000114001723998573 0.777624155026096 0.777624155026096 0.747179092233172
18.22512 1.50028 16.21234 0.5 0.21284 6.51616 6.51616 14 60.21 14.38 0 0 14.954 7.54 6.766 4.993 38.49 13.319 -9 0 0.0151234 0.0051187 0.0138878 0.0051832 0.0150642 0.0039603 0.0127563 0.0039805 -0.0229419 0.633658 0.3315513 0.7380844 0.0149058 0.0050397 0.0004002 0.0008044 0.0139563 0.026469 0.8212818 0.000297379807233302 9.659464779698e-05 9.91944346657236e-05 0.0036456943453681 9.62255534601424e-05 0.00601163496696512 0.00182188272750182 0.0274364128575624 0.000664628337136346 0.261327082564581 0.000980573611471312 0.0573174549339222 0.00244683804326933 0.637561110208079 9.87155396485542e-05 9.85774213378813e-05 0.989751254239113 0.989751254239113 0.998913070842988
