N dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
9.09251 10 37.876 9.525 0 0 6.27 3.711 6.438 3.814 25.168 8.582 -9 0 0.0087247 0.0030809 0.0087843 0.0032682 0.0088614 0.0024896 0.0089088 0.0026354 -0.0883994 0.7015036 -0.0876463 0.6829498 0.0087595 0.0031056 5.1e-06 0.0003657 -5.93e-05 0.0182376 0.8897831 4.34905530063791e-05 0.000610092097272454 4.34403351126228e-05 0.000815929043459501 4.34228287794705e-05 0.000436519204142011 4.34603477604057e-05 4.34837950624966e-05 4.34103419433019e-05 0.00230678750784752 4.34569052719069e-05 4.33816486963583e-05 4.34593751560495e-05 4.34197332266337e-05 0.0082802715083208 0.987115974774942 0.00199289406177244 0.998007105938227 0.993181201015898
13.27033 11 56.316 13.142 0 0 9.882 4.867 9.146 5.064 37.288 11.911 -9 0 0.0130618 0.004515 0.0130553 0.0044288 0.0132958 0.0035781 0.0130883 0.0035086 -0.1104189 0.6269062 -0.0436758 0.6192548 0.0130849 0.0044 2.63e-05 0.0005047 0.0007841 0.0177616 0.9181472 0.000136145730292221 0.000971754737655082 0.000135294793517784 0.000677768801404166 0.000138149031732022 0.000592691932087184 0.000281270009226231 0.0164794562156146 0.00322693454645663 0.33134985606351 0.000134226992782343 0.00620729340850307 0.00284003409939693 0.128164982756533 0.0724901991587764 0.436173941722512 0.00265180502668846 0.997348194973311 0.993144578618633
1.23688 12 5.222 2.649 0 0 0.832 0.997 0.95 1.024 3.44 2.333 -9 0 0.0012109 0.0008568 0.0012356 0.0008778 0.0012041 0.0007013 0.0012374 0.0007063 -0.0290337 0.9379727 -0.0379403 0.9314122 0.0012268 0.0008536 3.6e-06 7.45e-05 0.0003605 0.0225467 0.8935175 2.34775280986362e-05 2.32685895239477e-05 2.31383797702216e-05 2.33575170874391e-05 2.31182282626478e-05 2.32456395942076e-05 2.33022704523852e-05 2.33733894027536e-05 2.32297184638741e-05 2.32776854111678e-05 2.2943902385908e-05 0.000332933530150517 2.31288475553873e-05 2.31771209328898e-05 0.0579433786622964 0.941421648990612 0.0001396058823371 0.999860394117663 0.993281282259288
26.64015 13 106.558 19.187 0 0 17.98 7.736 17.65 7.304 70.928 17.175 -9 0 0.0264977 0.0075894 0.0260362 0.0068347 0.0264174 0.0058312 0.0260927 0.0053989 -0.015695 0.5139578 -0.030729 0.5068921 0.0262793 0.0070761 1.24e-05 0.0007275 0.0001606 0.0134198 0.9055994 8.01409973766109e-05 8.03884957666034e-05 7.98906211877525e-05 0.000332281631520251 7.98144886983102e-05 0.000432694159545267 7.98282034179697e-05 0.00878574096739687 0.000127689713798808 0.0808728333859648 7.99330507325328e-05 0.00186205456324995 0.000605361277991208 0.024602577123579 0.0154582398665202 0.866440531453254 0.0010852103940948 0.998914789605905 0.993230769965243
25.27731 14 106.026 17.12 0 0 17.38 6.662 17.408 6.948 71.238 15.595 -9 0 0.0256443 0.006965 0.0253967 0.0063656 0.0255926 0.0053688 0.0255216 0.0050394 -0.0170376 0.5062035 -0.0387007 0.4977643 0.0255521 0.0064783 3.16e-05 0.0006835 0.0007827 0.0135332 0.9057285 4.68878536380141e-05 4.68957938105795e-05 4.6927102472412e-05 4.69363573507247e-05 4.69532897656672e-05 4.69161623121567e-05 4.69449776118661e-05 0.000950774140415653 4.68791178902442e-05 0.013308166293257 4.68833924362384e-05 0.00148686173826361 4.69401068823895e-05 0.00279964160358117 0.000793659039981255 0.980191733030331 0.000281516559349554 0.99971848344065 0.99327376985356
6.99851 15 30.238 8.217 0 0 5.026 3.231 5.014 3.163 20.198 7.539 -9 0 0.0070822 0.0027753 0.0070919 0.002861 0.0071099 0.0022231 0.0071065 0.0022289 -0.0547032 0.7318445 -0.0543635 0.7480396 0.0070828 0.0027327 -4.3e-06 0.0002617 3.59e-05 0.0177928 0.9052614 2.9313299479206e-05 0.000258291909864676 2.9193497132187e-05 2.9352677430617e-05 2.91876786022502e-05 2.92361292916819e-05 2.91913115581669e-05 2.92803110214322e-05 2.91881786059975e-05 0.00122088125698944 2.92739458693224e-05 2.92113251322138e-05 2.92607967136093e-05 2.92846430959501e-05 0.0139612808212716 0.984208572217942 0.000404575191800618 0.9995954248082 0.993267247733575
18.94216 16 80.024 14.83 0 0 13.44 6.431 13.402 6.074 53.182 14.003 -9 0 0.0186994 0.005274 0.0187475 0.0053267 0.0187787 0.0040758 0.018768 0.0041104 -0.041622 0.5560166 -0.0312234 0.5496876 0.0187357 0.0051261 1.22e-05 0.0005947 0.0007026 0.016531 0.8987886 4.82223422104699e-05 4.82343890881769e-05 4.82067140273953e-05 4.82080282565691e-05 4.82415562576551e-05 0.000264760105405304 4.82004784060523e-05 0.000516438694012743 4.82226563125811e-05 0.00901323171700156 4.82217409218147e-05 0.00117419003814293 4.82126660384372e-05 0.00635865624405419 0.00271949672838622 0.979519255901478 0.00050587313524557 0.999494126864755 0.993261854356152
24.48123 17 102.758 17.369 0 0 17.042 7.074 17.288 7.12 68.428 15.528 -9 0 0.0244019 0.0063033 0.0244052 0.006042 0.0243964 0.004973 0.0244279 0.0048803 -0.0182007 0.5203497 -0.0185235 0.4959682 0.0244326 0.0060717 2.9e-05 0.0006969 0.0004706 0.0140415 0.9051587 5.45832302012219e-05 5.4532221765447e-05 5.46323723201802e-05 5.45215710329094e-05 5.44986408439091e-05 5.45328965690869e-05 5.46163038116854e-05 0.00250292146568597 0.000292228894257605 0.0131153752167121 5.45939974919072e-05 0.00221088399960992 5.45079053450213e-05 0.0122985837116449 0.00751931476427279 0.961569672808435 0.000327300932732755 0.999672699067267 0.993271345504598
27.74001 18 110.14 18.598 0 0 18.052 7.341 18.53 7.906 73.558 16.338 -9 0 0.0278739 0.0077994 0.0276297 0.0067067 0.0277162 0.0060513 0.0275736 0.0052985 -0.0062291 0.4920436 -0.008233 0.5009739 0.0277467 0.0070051 -5.1e-06 0.0007047 4.47e-05 0.0127252 0.8913351 4.94338739464207e-05 4.95652760661359e-05 4.94731461791997e-05 4.95908263359452e-05 4.9555027029255e-05 4.92331792913743e-05 4.97356393357272e-05 0.00208072148212672 4.96612820441611e-05 0.00864933144616292 4.95333618608366e-05 0.000662847498841011 4.95632591169043e-05 0.00586287593003169 0.00462147880619437 0.977627399965437 0.000296851328848331 0.999703148671151 0.99327295799386
11.52449 19 48.86 10.806 0 0 8.162 4.331 8.286 4.378 32.412 10.131 -9 0 0.0115595 0.0038882 0.011512 0.0038756 0.0114366 0.0029719 0.0114715 0.0029404 0.0022881 0.6552799 -0.0316104 0.6370703 0.0115321 0.0037911 -3.7e-06 0.0004124 -0.0001966 0.0169812 0.9017544 4.75079376730779e-05 0.00102008602348139 4.74680771403948e-05 4.74291720286534e-05 4.74816294778423e-05 0.00119224675057922 0.000146606626044706 0.000751340144431463 4.74338894162243e-05 0.00160148131074286 4.74995752972746e-05 0.00041534912797985 4.74709347326633e-05 0.00190254156954509 0.00138634961279582 0.991251707618633 0.00240221959038058 0.997597780409619 0.993158520759145
