N1 N2 Na Tsplit Tsc M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
26.10882 18.04093 2.44007 0.5 0.43104 11.02199 11.02199 19.79664 115.24836 7.93877 189.02331 272 272 0 26.132 5.985 0 0 9.362 3.381 9.162 3.022 7.608 3.89 -9 0 0.0032763 0.0014005 0.0033144 0.0014415 0.0047833 0.0014155 0.0047269 0.0013854 -1.1983922 0.6037336 -1.1543294 0.5972332 0.003318 0.0013968 2.27e-05 0.0001436 0.0033058 0.0176596 0.8903418 0.000116184730299299 0.000603941580325598 0.000114062749502258 0.0144825407721394 0.00167383376958036 0.0741906495936741 0.0162038560674542 0.296022370000409 0.00623696261158814 0.0813376849754117 0.00505275713578048 0.294981170398691 0.00418421160841603 0.204570760439851 0.000114392904570472 0.000114620662307784
11.57412 29.68901 12.22033 0.5 0.36414 24.41048 24.41048 0.20504 8.41611 2.2104 51.18055 305 305 1 62.284 11.705 0 0 13.072 4.877 15.412 5.876 33.8 10.521 -9 0 0.012775 0.0039331 0.01304 0.0040039 0.0132118 0.0031062 0.0138714 0.0031672 -0.1569437 0.6148326 -0.2689386 0.5842553 0.0131961 0.0040072 0.0002886 0.000751 0.0107715 0.0246793 0.8822061 8.672994414376e-05 0.00924793780536631 0.000163168107742888 0.182436074148113 0.000581076627272918 0.0248132739337302 0.00132546112923073 0.315455937416527 0.00035562698583154 0.00729988095424881 0.000376111776215745 0.442670430794349 8.64346792613221e-05 0.0149285126821859 8.66662130072322e-05 8.66768027746596e-05
15.57826 5.99778 6.86084 0.5 0.00174 18.24251 18.24251 11.78638 54.28966 1.28039 75.48045 490 490 2 37.708 8.569 0 0 14.13 5.157 9.16 3.972 14.418 6.454 -9 0 0.0071606 0.0026713 0.006619 0.0027413 0.0080468 0.0022008 0.0066459 0.002201 -0.4704985 0.6417962 -0.0546151 0.7572688 0.0075525 0.0027869 0.0006627 0.0007631 0.0457767 0.0438768 0.7003107 0.00369257678826154 0.285954512429176 0.0323945158771802 0.258863334326168 0.0116350734171568 0.127425416408505 0.00229283249911123 0.062717615877636 0.00110455718722159 0.0228989671625409 0.00843758033707237 0.11520238971 0.00232550813756307 0.0646320809854261 0.000187118433624562 0.000235920423356127
23.4914 8.11855 4.31047 0.5 0.35499 28.79042 28.79042 5.82331 66.00779 16.54784 47.24533 117 117 3 30.36 6.585 0 0 9.502 3.581 8.272 3.22 12.586 5.292 -9 0 0.0050012 0.001937 0.00492 0.0019751 0.0062259 0.0017299 0.0058792 0.0017098 -0.7832257 0.6351629 -0.6664709 0.6315026 0.0050214 0.0018969 6.08e-05 0.0002243 0.0066257 0.0202177 0.8596444 0.000101603276184029 0.00322942713940946 0.00119829567384427 0.0631683273978326 0.00197106496338406 0.143961450251161 0.0012219020627906 0.382632282107702 0.00295925149321708 0.0743536217500443 0.000927004758426172 0.25326528416891 0.00146627542553723 0.0693420930468741 0.00010116510211964 0.00010095138256344
15.85657 20.0256 14.63189 0.5 0.32442 2.89762 2.89762 2.57471 192.25897 4.2094 182.24804 412 412 4 71.7 13.144 0 0 15.162 5.616 16.486 5.984 40.052 12.441 -9 0 0.0151702 0.0046038 0.0152378 0.0047428 0.0155632 0.0036103 0.0159364 0.0036735 -0.1271611 0.6077667 -0.2122365 0.5903037 0.0154609 0.0045429 0.0002569 0.0007326 0.0090181 0.0230846 0.8734945 8.25565074782092e-05 0.00625005686937757 0.000690750745249595 0.0975376353002049 0.00031087889333618 0.0740942282476494 0.000872273912801141 0.357482833484841 0.000210118944142439 0.00727301761374539 0.000535442658063077 0.439414852289465 8.32221846176396e-05 0.0149999820040069 8.10066694080896e-05 8.1143675612575e-05
28.17311 28.4884 7.46009 0.5 0.41644 15.67708 15.67708 13.45899 149.05654 6.12022 104.54184 484 484 5 46.172 9.524 0 0 12.098 3.883 12.186 4.062 21.888 7.707 -9 0 0.0081294 0.0028961 0.0081268 0.0028733 0.0095796 0.0024813 0.0096044 0.0024063 -0.6370031 0.5852827 -0.6477166 0.5964178 0.0081219 0.0028014 -6.2e-06 0.0002553 -0.0004127 0.0146357 0.8886501 5.48797265792658e-05 5.48558034364103e-05 5.53625936084765e-05 0.000418649744995892 5.5275935238424e-05 0.0075704209005642 0.000647449315993909 0.154416107582656 0.0104674960538768 0.439950935730635 0.00063153606924691 0.0700659502494494 0.00460162974167248 0.310899464628231 5.49264571261096e-05 5.50594666894259e-05
3.53513 13.54029 26.80462 0.5 0.3817 17.73694 17.73694 12.40268 164.92194 1.91487 180.31972 120 120 6 100.05 17.236 0 0 12.134 6.807 25.62 12.775 62.296 16.358 -9 0 0.0233488 0.0067751 0.0258427 0.0061858 0.0211194 0.0052568 0.0249127 0.0048971 0.4208559 0.6300986 0.1435487 0.507662 0.0259495 0.0063279 0.0013537 0.0016682 0.0277718 0.0335156 0.7632836 7.70540116780725e-05 0.000842656524282837 0.000323518883625615 0.0425579831724136 0.000236818468281555 0.00186015829289499 0.00898631379635928 0.445531193025188 7.7029647655568e-05 0.00295492391427805 0.0062515800728173 0.485759691072689 0.000618322836708926 0.00376869546323375 7.70353485432179e-05 7.70254693502988e-05
4.36238 4.96198 5.54424 0.5 0.13844 27.12887 27.12887 15.32578 172.24926 6.52039 123.34084 41 41 7 27.686 7.34 0 0 6.74 3.306 7.038 3.727 13.908 6.153 -9 0 0.0055903 0.0023895 0.0056397 0.0023603 0.00582 0.0019342 0.005904 0.0019001 -0.1971049 0.7585621 -0.2134899 0.7284493 0.0060272 0.002432 0.0004123 0.0006016 0.0352675 0.0449433 0.7583976 0.0040345771804181 0.0172083541519696 0.00222658576852602 0.0384698666754052 0.00343723476470427 0.0262907378179695 0.00913154752781976 0.44434273596463 0.00293196838956345 0.143565534066386 0.00608869380131231 0.263742744831067 0.00268897243182514 0.0354417118359535 0.000199367920303311 0.00019936687214659
5.91302 10.90166 25.31432 0.5 0.22297 6.3764 6.3764 19.65699 68.4184 13.44154 183.55291 161 161 8 99.21 17.603 0 0 15.344 7.131 20.618 8.944 63.248 16.192 -9 0 0.0238051 0.0066392 0.0246978 0.0061237 0.0223776 0.0052716 0.0238399 0.0048391 0.2466019 0.5623685 0.1354783 0.5247227 0.0251512 0.0061313 0.0008997 0.0013649 0.0194031 0.0279243 0.8264488 0.000151239483118794 0.00586881444127098 0.00112920911111112 0.0345795315413758 0.000602527217536139 0.0229681100072534 0.00394813057060557 0.109677504813817 0.000155770812244677 0.153460499617758 0.0081568201236084 0.451460708076564 0.000837422157703446 0.206702362774986 0.000149865469890939 0.000151483781156418
22.97149 29.7917 19.82998 0.5 0.23651 2.12412 2.12412 13.97744 114.53632 7.40959 82.25075 19 19 9 94.668 16.31 0 0 20.924 6.771 22.96 7.586 50.784 14.123 -9 0 0.0200814 0.005594 0.0203027 0.0055855 0.0202597 0.0043827 0.0208251 0.004491 -0.0679693 0.5146598 -0.1269444 0.5144259 0.020766 0.0054706 0.0005739 0.0008443 0.0147766 0.0201562 0.8567737 0.000176647759308512 0.101630340214795 0.000572194421881055 0.391822497292394 0.000918901586075626 0.436700873378216 0.000544425079253987 0.0286090698511504 0.000869712212147532 0.0112371138327048 0.000290353028505503 0.0120565037988187 0.000507219630169924 0.013912638592538 7.5699454569018e-05 7.58098674717738e-05
2.72441 6.96098 27.65391 0.5 0.14963 26.80215 26.80215 15.25492 22.0195 1.62241 11.77944 119 119 10 94.106 17.664 0 0 11.472 7.125 13.744 8.068 68.89 16.386 -9 0 0.0248287 0.0061548 0.0252627 0.0062283 0.0226984 0.0050872 0.0233264 0.0048616 0.3956565 0.5555121 0.3334066 0.5342903 0.0252382 0.0059346 0.0001926 0.0008717 0.0041485 0.0178524 0.8399068 0.00010458809917205 0.000106462020138304 0.000104651785073901 0.000939880400031961 0.00117171126057596 0.00833194429460493 0.00010641483995712 0.0977383234086308 0.000662105089951961 0.390468358171029 0.00276515193505194 0.083675846695123 0.00717808874061999 0.40643876723904 0.0001039693699222 0.000103736651076708
23.4759 24.48825 24.28599 0.5 0.36046 25.35558 25.35558 0.60132 63.24357 17.21305 113.17438 269 269 11 107.514 17.714 0 0 22.238 7.838 22.42 7.839 62.856 15.471 -9 0 0.0245731 0.0069928 0.0242868 0.006208 0.0249195 0.0054263 0.0248124 0.0050884 -0.0866843 0.5125359 -0.1027848 0.4998932 0.0249326 0.0064025 0.0005026 0.001083 0.0106653 0.022495 0.8459908 0.000730939475189737 0.00653192974399485 0.000210304546267045 0.0458268821590532 0.000762595250491578 0.0245129429889963 0.00543599442822478 0.307265384387192 0.00076655967880533 0.0070830259096909 0.00329006424214604 0.584907155801149 8.94764494180029e-05 0.012408917823048 8.92554716101025e-05 8.85716447226573e-05
6.2489 23.56126 9.28075 0.5 0.43335 3.02384 3.02384 1.39914 121.81011 19.44886 143.09002 86 86 12 47.914 10.012 0 0 9.894 4.082 17.234 6.383 20.786 8.234 -9 0 0.0088871 0.0032196 0.0098635 0.0032622 0.0086478 0.0026194 0.0107167 0.0026015 0.0865341 0.6971064 -0.3567126 0.6108881 0.0101434 0.0033087 0.0007681 0.0009194 0.0400022 0.0433022 0.7739576 0.000886776058770516 0.081616189677344 0.00991256468065562 0.594075611367842 0.00426750135028196 0.0303123186166771 0.00320443021570772 0.116877630590243 0.00140042941831108 0.0072761299349328 0.00166888911209054 0.139513569693294 0.00140696186305768 0.00725142263246921 0.000165037275111138 0.000164537513211637
26.43717 0.38244 11.10936 0.5 0.38718 4.45097 4.45097 8.84245 105.73007 4.09965 139.75101 253 253 13 39.852 12.049 0.06 0.375 27.476 14.471 1.764 1.944 10.552 10.007 -9 0 0.0099961 0.0040346 0.0037395 0.0038042 0.0107189 0.0033633 0.0034715 0.0029887 -0.318784 0.7465132 0.18555 1.3411801 0.0093637 0.0043504 0.002496 0.0027198 0.1446414 0.1253854 0.1800857 8.04720680694338e-05 4.16960033644394e-05 0.000219301818095119 0.00305327574908724 0.000168374814496322 0.000281818545134972 0.00956432583731607 0.13555252522741 0.000193610849398294 0.000372494998738742 0.0120699059048992 0.837178107691113 0.000671744172744384 0.000468955323315813 4.16948886080662e-05 4.16961082094416e-05
6.81996 1.19346 21.60913 0.5 0.46836 6.00137 6.00137 5.63064 180.77265 11.40217 113.60718 281 281 14 67.656 17.049 0.038 0.317 26.104 18.028 6.068 5.521 35.446 17.928 -9 0 0.0189482 0.0059372 0.0136497 0.0067654 0.0173491 0.0047131 0.0117015 0.0051931 0.3674753 0.6602092 0.6434182 1.1159048 0.0196124 0.0066559 0.0033135 0.0042826 0.0914067 0.1095846 0.477439 7.30529074808336e-05 7.30424201615787e-05 0.000885274308256566 0.011448511010306 0.000119427193952894 0.000140567875441189 0.00602541930328163 0.807823969758987 7.30803201456524e-05 0.000279911168163677 0.015362869886443 0.155942969928946 0.00113697172981888 0.000468753624026403 7.30615522803986e-05 7.31170123084232e-05
12.77259 3.6134 21.95055 0.5 0.2129 25.17197 25.17197 5.97131 159.44239 11.40729 64.05826 133 133 15 85.582 16.548 0 0 23.482 11.693 11.858 6.536 50.242 15.87 -9 0 0.0214017 0.005767 0.0191725 0.0057913 0.0208104 0.0046547 0.0175284 0.0047911 0.0979928 0.5358407 0.3913575 0.6964302 0.0218932 0.0057012 0.0016061 0.001852 0.039112 0.0438075 0.7088578 0.000169278052238344 0.00057888323082591 0.000238456715124755 0.0192018587718126 7.6425366384285e-05 0.00108226400935988 0.00203114109236508 0.642231705472417 8.00574873071707e-05 0.00154655254986627 0.00141946568206405 0.328006023218337 0.00041528771193133 0.00276980020324174 7.63818066930629e-05 7.64186300307451e-05
24.32192 17.09862 19.2376 0.5 0.03048 21.70113 21.70113 15.45768 46.45214 16.3788 80.22135 337 337 16 90.224 15.191 0 0 19.09 6.629 17.912 6.67 53.222 14.106 -9 0 0.0196746 0.0051901 0.0194332 0.0051768 0.0203826 0.0040661 0.0200505 0.0042474 -0.1685429 0.5117907 -0.140827 0.5327736 0.0197558 0.0050789 0.0002019 0.0007449 0.0051773 0.0175741 0.8773295 7.94501189836516e-05 0.00107941889871801 7.98415622331478e-05 0.0121510106607664 9.51734891322329e-05 0.0346619891200211 0.00130044125260447 0.640725542190912 0.00020777344435563 0.0263483446914023 0.00177536509938358 0.251249886927419 0.000805035701357435 0.0292813441564979 7.97291510622259e-05 7.96535351507359e-05
9.16031 8.34623 16.75783 0.5 0.05345 20.08569 20.08569 16.28059 30.84365 1.69822 122.54111 127 127 17 71.582 14.456 0 0 13.694 6.205 13.708 6.233 44.18 12.922 -9 0 0.0163589 0.0047933 0.0163076 0.0048048 0.0163129 0.0038965 0.0163169 0.0038742 -0.008859 0.564535 -0.0227405 0.5978938 0.0167932 0.0048486 0.00046 0.001201 0.0133826 0.0293931 0.8426925 4.61659628593308e-05 0.00069377578227235 0.000200329379333809 0.00404156650813516 4.60501380416453e-05 0.000782530006523214 0.00602314848870299 0.580048165252257 0.000241950938688915 0.00217584107944605 0.00552010085430572 0.397647124573467 0.000285287752915594 0.00215509261850329 4.64285819423127e-05 4.64420826051231e-05
20.54231 6.74053 29.15526 0.5 0.07334 27.50318 27.50318 14.63691 189.74366 6.79272 164.66603 436 436 18 110.764 21.738 0 0 19.932 9.538 16.678 7.786 74.154 18.019 -9 0 0.0297803 0.0083379 0.028607 0.007065 0.0292112 0.0062619 0.0278696 0.0056442 0.0503399 0.4854426 0.0982082 0.4878194 0.0294013 0.0074477 0.0002076 0.0011059 0.0038554 0.0188495 0.8834795 6.3983312372039e-05 0.000117405403786113 6.39249574376954e-05 0.00100498549594326 6.50698561224758e-05 0.00225875110747908 0.000307136383260826 0.213187091727809 0.000228231307691728 0.0056298263594246 0.0060720419789122 0.559607006265022 0.00110143744722665 0.209146829303449 6.39753233094896e-05 0.00108230377075315
4.6026 14.64237 7.62553 0.5 0.11112 18.65653 18.65653 11.46506 53.78415 5.39722 135.54546 267 267 19 38.886 8.608 0 0 7.67 3.773 10.178 4.261 21.038 7.651 -9 0 0.0076473 0.0028832 0.0078759 0.0027552 0.0080919 0.0023231 0.0087988 0.0023005 -0.2588059 0.6761553 -0.4437801 0.6326954 0.0079453 0.0028159 0.0001837 0.0005152 0.0110307 0.0283158 0.847758 0.000216581982714731 0.00716270024113431 0.000741729747233914 0.0170737196808963 0.000300013938345731 0.0242827783471203 0.000565266880885936 0.532655542086105 0.000820724112542512 0.111252887430586 0.00236293300955416 0.238737503701269 0.000827972960662228 0.0627950095912213 0.000102342730640025 0.00010229355908838
21.1756 17.5156 19.47475 0.5 0.34843 7.34106 7.34106 0.39412 137.39343 14.93294 140.89866 35 35 20 90.028 15.405 0 0 22.048 7.269 20.658 7.244 47.322 13.659 -9 0 0.0195995 0.0055952 0.0194054 0.0052294 0.0195888 0.0043505 0.0191902 0.004046 -0.0247216 0.5484236 0.0266942 0.5541474 0.0203795 0.0054084 0.0008771 0.0010498 0.022579 0.0259754 0.8323002 0.000675687186241968 0.369262700949298 0.000497914453043864 0.276240352907945 0.00106850267802806 0.209290938544998 7.1027277889295e-05 0.0688451147978291 7.1071222379846e-05 0.00313511162436409 0.000902782434919057 0.0623692710461284 7.09602300191576e-05 0.00735674010364566 7.09109118931686e-05 7.09136313779795e-05
