N1 N2 Na Tsplit M1 M2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
19.89108 15.51099 14.87105 0.5 4.03191 4.03191 0 72.684 13.174 0 0 15.28 5.671 14.906 5.45 42.498 11.635 -9 0 0.0155897 0.0044815 0.0155332 0.0045305 0.0162859 0.0035172 0.0161805 0.0035675 -0.1999513 0.5551822 -0.1901947 0.5602987 0.015665 0.0043727 0.0001036 0.000531 0.0036672 0.0169747 0.8817074 9.30079323707852e-05 9.4007632912486e-05 9.17692210029932e-05 0.0409161396087537 9.28938232397009e-05 0.150385291893581 0.00112824058512808 0.254639560315237 0.000587043636533535 0.204991812397117 0.000346969304690142 0.199217573673761 0.00153003995607492 0.145703694960239 9.04224598359252e-05 9.15325995236387e-05
16.12689 11.9608 21.2361 0.5 9.27848 9.27848 1 94.04 15.151 0 0 17.614 6.999 16.866 6.051 59.56 13.615 -9 0 0.0215835 0.0053735 0.0213538 0.0051874 0.0217739 0.0042047 0.0215602 0.0040536 -0.0552888 0.5037828 -0.0568324 0.5022734 0.021549 0.0051287 8.04e-05 0.0006649 0.0019285 0.0155071 0.8750197 8.4066076427173e-05 8.43238139031775e-05 8.46670890312429e-05 8.4359227107716e-05 8.43384386146978e-05 0.00893571718215845 0.0010617456871594 0.185493679901285 0.0018447844400353 0.162866658363091 8.41159834761801e-05 0.325179809525468 8.42815273229316e-05 0.313858586244782 8.44493449793126e-05 8.44171551584319e-05
28.32212 1.96584 7.17709 0.5 28.8988 28.8988 2 30.882 8.064 0 0 6.032 3.503 5.454 3.472 19.396 7.084 -9 0 0.0070812 0.0028054 0.0070425 0.0027156 0.0071674 0.0021522 0.0070045 0.0021692 -0.0916473 0.7290905 -0.0047689 0.7335146 0.0071205 0.0027164 5.86e-05 0.0003331 0.0037808 0.0214957 0.8811721 8.28765166872047e-05 0.00845955846257121 8.29706728377359e-05 0.0149338762435715 8.34600848942427e-05 0.0149000957183682 0.00191726403234727 0.0760566448289278 0.00553389034008049 0.678728465273521 8.33852688579406e-05 0.0475528551142213 0.00312023401142458 0.139099981270941 8.33639421818621e-05 0.00928107821856635
4.45272 3.00005 10.01372 0.5 26.26261 26.26261 3 39.168 10.119 0 0 6.22 4.131 5.92 3.687 27.028 8.98 -9 0 0.0097511 0.0035578 0.0096692 0.0035627 0.0093716 0.0027121 0.009287 0.0027073 0.1225796 0.7195508 0.1165137 0.7155789 0.0097607 0.0034758 5.05e-05 0.0004189 0.0024684 0.0195907 0.8859485 0.000157708614189968 0.00050941812263451 0.000157872443478588 0.000157851073966748 0.000157944750354507 0.000157843901797227 0.000157820126759081 0.00215035924155708 0.001349410488268 0.107301206065528 0.000801126847509793 0.00593276023158357 0.000157846227570849 0.779562466912143 0.010918271408949 0.0903700935437096
9.80276 29.80455 24.15664 0.5 20.14018 20.14018 4 103.152 17.14 0 0 17.66 6.98 18.94 7.61 66.552 15.266 -9 0 0.024308 0.0066255 0.0244627 0.0062336 0.0243846 0.0053102 0.0246506 0.0049917 -0.0312325 0.4856109 -0.0498229 0.4764085 0.0244065 0.0062121 2.11e-05 0.0006867 0.0007685 0.0146529 0.9019828 0.000136083889878214 0.000877930367078804 0.000135685323300888 0.00251265341843554 0.000135216639521028 0.00266882954750185 0.00013564271938437 0.208966384630022 0.0100962803996445 0.480372212223277 0.000134865337703752 0.0277471695654993 0.00685592151837569 0.246796036892942 0.00159476618813892 0.0108343213392958
28.60925 1.5935 29.29927 0.5 2.64471 2.64471 5 101.56 19.274 0 0 32.642 12.786 8.038 6.123 60.88 17.949 -9 0 0.0280083 0.0076676 0.0226983 0.0074839 0.0270132 0.0057869 0.0199028 0.0057013 0.1270538 0.5121711 0.5673187 0.8113334 0.0269482 0.0073982 0.0015949 0.0018965 0.0319594 0.0359357 0.7342569 0.000546590243176503 0.0021958564690506 0.000479674425066082 0.00328308931097901 0.000523461389662932 0.00814744027650698 0.000474965294667209 0.0259636683579084 0.000388057977415567 0.256373341346917 0.00249262261113079 0.0195723917129331 0.00314478526010653 0.676202856131463 0.000105678224777578 0.000105520968238196
9.44746 1.09328 0.53608 0.5 13.30763 13.30763 6 9.242 3.273 0 0 3.586 2.084 2.318 1.652 3.338 2.033 -9 0 0.0012943 0.0006625 0.0012485 0.0007087 0.0019517 0.0008017 0.0015943 0.0007494 -1.0743852 0.6455262 -0.6665541 0.7380087 0.0012972 0.0006578 2.59e-05 7.49e-05 0.0094212 0.0254078 0.7747887 0.00171787596265738 0.00860028927248868 0.00249431144364022 0.0106976202784928 0.00409910001928952 0.0374181380829097 0.00571590963234125 0.089875207018155 0.166320762956896 0.153602453035549 0.0103881473697278 0.144941591710637 0.0355707020497996 0.328315968135842 0.000121014959970148 0.000120908071604599
11.80139 9.8341 14.1709 0.5 12.90574 12.90574 7 64.522 12.774 0 0 11.828 5.174 11.832 5.247 40.862 11.44 -9 0 0.0144341 0.0043904 0.0144025 0.0043004 0.0148517 0.0034869 0.0148528 0.0033741 -0.1448391 0.5648004 -0.1478248 0.6116804 0.014471 0.0042577 5.27e-05 0.0005155 0.0014924 0.0167788 0.8775867 7.58287313193483e-05 0.000212987551729711 7.59689579846944e-05 0.00674787480813964 7.59300229323801e-05 0.00538129580455353 0.000207851963995856 0.0821579088151249 0.00316026471067903 0.444958413553549 7.58871692005443e-05 0.0178571065495053 0.000743744620432822 0.436161376150028 7.55971995861166e-05 0.00203196339123893
8.74246 17.8413 26.78949 0.5 23.37741 23.37741 8 107 17.897 0 0 17.282 7.276 18.182 7.739 71.536 15.934 -9 0 0.0262405 0.007026 0.0260928 0.0065867 0.0259551 0.0055058 0.026091 0.0051731 0.0229663 0.4915072 -0.0174521 0.5122225 0.0262137 0.0065911 4.7e-05 0.0007274 0.0011402 0.0144249 0.8904516 0.000136956910686292 0.00278840562171162 0.000137159503416982 0.000136194314009085 0.000137356186444523 0.00474422125779522 0.000136817730427634 0.0327029914637194 0.00148865251326074 0.135135148483933 0.000135797381201625 0.0191310115956439 0.00340179299064232 0.133973108042806 0.0131024676206498 0.652711918383651
27.15842 0.20865 28.3387 0.5 4.9738 4.9738 9 65.448 20.279 0 0 39.082 21.614 2.318 4.413 24.048 20.257 -9 0 0.0165493 0.0074345 0.0083252 0.0079034 0.0177944 0.0056793 0.0074318 0.0060059 -0.3425378 1.0935869 0.3234013 1.6257299 0.0142866 0.0075053 0.0018493 0.002399 0.0671797 0.0714321 0.4920665 7.98561903577708e-05 8.05949340798578e-05 0.000185303762899534 0.000268032427115986 0.000170057926590443 0.00585532081345081 0.000345098437594117 0.0124499461014436 0.000751828836628038 0.193877298661238 0.00318078204512092 0.111675585683877 0.18088587985877 0.49003501443012 7.96653103606343e-05 7.97345803532694e-05
18.21509 22.08443 9.93821 0.5 27.85988 27.85988 10 55.792 10.677 0 0 12.634 4.322 12.77 4.591 30.388 9.621 -9 0 0.0110268 0.0037327 0.0110336 0.0035568 0.0121266 0.0029347 0.0121649 0.0027862 -0.4056814 0.6192501 -0.4100741 0.5967488 0.0110198 0.0035402 -1.04e-05 0.0002893 -0.0004127 0.0124331 0.9092458 5.29694382800332e-05 5.28945768271375e-05 5.29718273497834e-05 0.00157672432821134 0.000222003075873818 0.0820103741533187 0.000250195790457815 0.0668703191224784 0.00361100457057701 0.385094412019983 5.68422487474097e-05 0.0191927324982591 0.000670400969593232 0.440180915590101 5.25811019673041e-05 5.26586879755555e-05
15.63496 15.20379 7.80328 0.5 29.06231 29.06231 11 45.032 10.076 0 0 11.03 4.211 10.714 4.175 23.288 8.416 -9 0 0.0085719 0.0032267 0.0085517 0.0031397 0.0096732 0.0026504 0.0095841 0.0025975 -0.5041906 0.6249046 -0.4631158 0.6402923 0.0085899 0.0031023 2.81e-05 0.0003141 0.0017864 0.0162023 0.8916791 0.000136866801679215 0.000548017992569993 0.000135557634193616 0.00663154282732656 0.00290738659665508 0.021413054240344 0.0061029279495404 0.213043614051309 0.00898701010885783 0.403670326431356 0.00372881867149779 0.122704471998174 0.0158026115018553 0.193913303030522 0.000137520726183204 0.000136969437936158
3.26977 3.0457 20.20007 0.5 1.79785 1.79785 12 67.906 15.473 0 0 11.846 7.505 11.374 6.979 44.686 14.282 -9 0 0.018107 0.005831 0.0179152 0.0057235 0.0159347 0.0042656 0.0158016 0.0042907 0.5273483 0.6992198 0.5285246 0.7146156 0.0194419 0.0057051 0.0014308 0.0015097 0.0401003 0.0398676 0.7633398 0.000187690554141484 0.00101641658968827 0.000199696327448496 0.140438802422164 0.000646661204731599 0.284227877810965 0.000470653691243452 0.0233068510583114 0.00080274204474765 0.131505975435776 0.000410383170963352 0.027280552395659 0.000950787930004767 0.388405460751354 7.47502928890298e-05 7.46983199116013e-05
0.00219 23.72971 26.75509 0.5 1.86991 1.86991 13 73.762 18.585 0.102 1.007 0.016 0.141 73.472 18.777 0.172 1.814 -8.91 1.439 7.89e-05 0.0008959 0.018989 0.0067513 0.0001156 0.0017659 0.0208206 0.0053499 -0.0042043 0.2647918 -0.4001617 0.7231002 0.0139858 0.007385 0.0044518 0.0049872 0.162438 0.1057972 0.1548681 0.000130454962963109 0.000130479144693822 0.00024825936373898 0.0163657863313334 0.000216416128571009 0.198000448181476 0.0001919884102761 0.0230302747086978 0.000134608286554949 0.0450104831713136 0.00116252587635985 0.0111585784101155 0.00345714363073729 0.700501720216368 0.000130421665933377 0.000130411510866568
26.21171 8.55615 9.52103 0.5 0.95423 0.95423 14 51.078 9.635 0 0 15.39 5.225 10.958 3.88 24.73 8.165 -9 0 0.0103046 0.0032279 0.0097789 0.0031705 0.0113086 0.0026177 0.0100594 0.0024713 -0.3837207 0.5995876 -0.1393018 0.6145132 0.0103604 0.0031576 0.0003187 0.000524 0.0160722 0.0232364 0.8367811 0.000108552098396505 0.00649681828296223 0.000473773242998371 0.124914706989346 0.00106402155885538 0.363292624543164 0.000404840777021484 0.060334943710977 0.00091312430227597 0.166681359790886 0.000325466171181947 0.0268062011367352 0.000633693612681381 0.247332819274339 0.000108490148819454 0.000108564359359665
3.97567 9.09743 8.91501 0.5 3.95544 3.95544 15 40.924 10.41 0 0 7.188 3.865 9.532 4.596 24.204 9.042 -9 0 0.0089758 0.0034811 0.0092445 0.003556 0.0088484 0.0026717 0.0095092 0.0028857 0.0075766 0.7178998 -0.152353 0.6735304 0.0093034 0.0034932 0.0001932 0.0004493 0.0104201 0.0215036 0.8746909 0.000120448262359115 0.512711125253975 0.000126072773071511 0.034057880105759 0.00214806995648119 0.0272073059735785 0.00212317349197663 0.034723638478452 0.0607112348849714 0.229525856189389 0.000890485446147403 0.0115162617528181 0.00502107694614679 0.0788759337648134 0.000121828487046765 0.000119608233014507
3.0965 4.78701 21.5006 0.5 27.00083 27.00083 16 73.448 16.489 0 0 8.646 5.713 9.392 5.709 55.41 15.584 -9 0 0.0197723 0.0059645 0.0199096 0.0059601 0.0180555 0.0045567 0.0182657 0.0045279 0.3645926 0.6197301 0.3436897 0.6191484 0.0198829 0.0058361 4.19e-05 0.000665 0.0008983 0.0161367 0.8964881 6.23980015034248e-05 6.23029981307568e-05 6.23665918673241e-05 0.000202667672520067 6.23220836169725e-05 0.00311138799594122 6.23815313137672e-05 0.0113770857654272 0.0143513292132302 0.618455686777563 0.000676629401016168 0.0282084758668486 0.00281109609260112 0.320369171554465 6.23280577270505e-05 6.23703962280224e-05
29.66323 19.99787 25.29214 0.5 1.26529 1.26529 17 110.2 17.134 0 0 23.962 8.374 20.794 7.428 65.444 15.162 -9 0 0.0262715 0.0070182 0.025315 0.0061987 0.02675 0.0054479 0.0255661 0.0049809 -0.1022469 0.4915962 -0.054574 0.4931202 0.0261492 0.0064386 0.000356 0.0008105 0.0072227 0.0153298 0.8706965 0.000144638305338008 0.00639566023199417 0.000144003821063618 0.279585132906609 0.00424768304850463 0.277694978214853 0.00123688902007489 0.129627460615989 0.00197047999111886 0.150951446568971 0.00111814382216869 0.106371908380888 0.000143428772508137 0.0400727778840708 0.000150161333964758 0.000145207081883392
7.65362 14.53045 14.51785 0.5 13.64713 13.64713 18 65.184 12.479 0 0 12.158 5.162 12.178 5.365 40.848 11.127 -9 0 0.014581 0.0041245 0.0147966 0.0043166 0.0149408 0.0033072 0.0149464 0.0033691 -0.1204723 0.5404608 -0.0683877 0.558426 0.0147689 0.0041251 8.01e-05 0.0005492 0.0027261 0.0182778 0.8899742 0.000113871061263233 0.00876895964875206 0.000602205344368982 0.00906602911338813 0.000112822844888583 0.0204810529314143 0.000112710268315177 0.336182434506253 0.00381095554982887 0.359065076295133 0.000112356599605378 0.144023667141416 0.00125425811282099 0.116065448788532 0.000115718829848318 0.00011243296417248
14.74084 12.17427 26.00166 0.5 0.37511 0.37511 19 107.882 17.685 0 0 24.678 8.602 22.23 8.58 60.974 15.501 -9 0 0.0256666 0.0072697 0.024855 0.0066568 0.025096 0.005588 0.0242149 0.0052043 0.0639247 0.5180728 0.0873201 0.5196089 0.026566 0.0069523 0.0013052 0.0015302 0.0258843 0.0283863 0.8092023 0.00169438943598321 0.0684329648984382 0.00174482410184458 0.4333313801299 0.00364615800230639 0.0978558307868077 0.00147715205927606 0.0894923936585245 0.000197336117791239 0.175552032209828 0.00145221626747215 0.0913828307937946 0.00212586163727911 0.0312188953613346 0.000198070709933131 0.000197663829486245
28.49155 7.11643 4.3938 0.5 4.05156 4.05156 20 31.084 6.712 0 0 9.888 3.644 7.928 3.191 13.268 5.344 -9 0 0.0052564 0.0020026 0.0051173 0.0019377 0.006527 0.0017344 0.0059745 0.0017021 -0.7907072 0.6347476 -0.580263 0.6475856 0.0052415 0.0019185 5.47e-05 0.0002119 0.0053458 0.0186658 0.8492219 8.91328071557492e-05 0.000755661517467671 0.000249924603090855 0.0288868073820112 0.00097786724242016 0.240244355951448 0.000766481564050537 0.361244200400179 0.00349283345233019 0.106556431550965 0.000480218713002727 0.137221866645239 0.00209507195075366 0.116760859183747 8.9863539688888e-05 8.84234964501433e-05
20.72907 26.48992 23.81175 0.5 0.55659 0.55659 21 107.504 16.818 0 0 22.714 7.504 23.814 7.828 60.976 14.787 -9 0 0.023824 0.006201 0.0238386 0.0059498 0.0240959 0.0051166 0.0243034 0.0047332 -0.0635822 0.4681488 -0.0997154 0.4845376 0.0244257 0.0059801 0.0005945 0.0009555 0.0127218 0.019739 0.847554 9.16779900339321e-05 0.0313231839741233 9.14426131885565e-05 0.32131548500999 0.00124307883974113 0.473257793941211 0.000787963863957306 0.0649078597489171 0.000453024891383716 0.0290251041458246 0.000191735506467648 0.052869139993404 9.15437079178833e-05 0.024168150416179 9.13334233129018e-05 9.14819343479088e-05
10.99707 14.67265 6.48702 0.5 0.0504 0.0504 22 38.51 8.137 0 0 11.258 4.18 12.44 4.37 14.812 6.509 -9 0 0.0070168 0.0026053 0.0070358 0.0024959 0.0073483 0.0021062 0.0076815 0.0020901 -0.2126293 0.6851269 -0.3546356 0.65039 0.0075417 0.0026199 0.0005154 0.0007459 0.0350567 0.0400315 0.771816 0.00444045165056246 0.396098522501883 0.00276540400544109 0.354855678404713 0.0024279351123206 0.141079395796667 0.00164828680879473 0.0418717941271016 0.000396123410043461 0.00510300065038475 0.00102287883226598 0.041660709858778 0.00101841658234226 0.00535862963724719 0.000126397870394157 0.000126374751061207
20.81992 26.10361 4.03466 0.5 21.4111 21.4111 23 32.476 6.305 0 0 9.896 3.459 9.932 3.38 12.648 4.855 -9 0 0.0048879 0.0018383 0.0048662 0.0018596 0.0063545 0.0015803 0.0063646 0.0016306 -0.9203657 0.6195197 -0.9355896 0.6408634 0.0048831 0.0017987 6e-06 0.0001662 0.0004934 0.0153186 0.8724237 5.85248979487913e-05 5.85040024291173e-05 0.000248530548613937 0.00124901377121844 0.00155316982242987 0.0506028968128896 0.000619541676839015 0.103569369411061 0.00258228022672599 0.389963010860206 0.000654170946850263 0.0648894020668788 0.00168799907733125 0.382146303158533 5.85613792344603e-05 5.87213408111111e-05
25.83892 19.52943 16.8862 0.5 4.10426 4.10426 24 80.928 14.744 0 0 17.128 6.02 16.886 6.065 46.914 12.806 -9 0 0.0172227 0.0050758 0.0172297 0.0050523 0.0180515 0.0038204 0.0179833 0.0039545 -0.2265362 0.5508007 -0.2036672 0.5363321 0.017339 0.0049552 0.0001128 0.0005547 0.0034578 0.0156242 0.9022468 9.95898809753709e-05 0.00116253439228191 9.97641039679453e-05 0.134222031719863 9.95721218765976e-05 0.206489427623379 0.00135520161127063 0.233592556050134 0.004907816743435 0.0992359953559179 0.000129321080409685 0.181300198993657 0.00177434719058152 0.135332041416545 9.97883527349024e-05 9.98133629705458e-05
