N1 N2 Na Tsplit shape1Ne shape2Ne propNtrlNe1 propNtrlNe2 M1 M2 shape1M1 shape2M1 shape1M2 shape2M2 propNtrlM1 propNtrlM2 dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo
29.45303 12.60084 18.216 0.5 13.08587 81.17062 401 203 19.21962 19.21962 7.8679 53.48829 14.14111 15.36884 498 498 11 25.804 18.658 0 0 6.802 4.509 5.92 4.501 13.082 14 -9 0 0.0049111 0.0051092 0.0048683 0.0051254 0.0056047 0.0045977 0.0053561 0.004552 -0.6824507 0.80116 -0.5507989 0.8307815 0.0049152 0.0050993 2.55e-05 0.0002926 0.0029364 0.0193655 0.9771022 0.000259522720557691 7.66494865484839e-05 0.00169374513999035 7.68187674325137e-05 0.00432134568754879 7.62619266951428e-05 0.0173257109754093 7.62505601112252e-05 0.414209220387131 7.63536536082464e-05 0.0411520327423671 7.6197125698387e-05 0.517191932847119 7.61478220018266e-05 0.00323559207544385 7.62180823375171e-05
4.83474 22.34383 10.12322 0.5 13.79387 71.5844 352 392 25.29607 25.29607 14.09415 183.80398 14.71078 89.41511 301 301 12 31.982 16.53 0 0 5.958 4.397 8.704 6.466 17.32 12.344 -9 0 0.0064438 0.0045456 0.0068477 0.0046108 0.0065614 0.0040518 0.0073354 0.0041383 -0.2032809 0.9373823 -0.4210627 0.8663159 0.0068873 0.0046221 0.0002415 0.0006619 0.0184166 0.0430637 0.904961 0.00130541293270051 5.21021725814907e-05 0.00414653389196738 5.23099621404528e-05 0.00738442312033253 5.22936236523122e-05 0.527312173745534 5.22209910664685e-05 0.00965086644132847 5.3113334747778e-05 0.43810497707479 5.25303260746912e-05 0.0116238628921516 5.21869113374496e-05 5.23735102876383e-05 5.26190693066466e-05
24.99951 15.27595 24.43946 0.5 18.50277 135.76948 149 242 2.11647 2.11647 14.86378 3.78592 12.66858 189.32771 73 73 13 74.56 32.936 0 0 15.142 11.251 14.366 11.45 45.052 24.463 -9 0 0.0184536 0.0094 0.0181622 0.0097863 0.0169905 0.0080492 0.0167684 0.0085636 0.2398689 0.8308481 0.2375801 0.9060354 0.0197112 0.0098931 0.0014033 0.0019418 0.0386212 0.047137 0.8781092 0.0195556674226576 0.00015553685438016 0.0922974312674915 0.000154260394396909 0.287182932364379 0.000155993564670639 0.072657530058392 0.000154491780210246 0.129421967646794 0.000153852567684615 0.231969045261201 0.000154839595615559 0.16552286126288 0.000154238610956121 0.000154689333946014 0.000154662014344096
6.66998 25.43923 9.69559 0.5 10.25386 112.64397 332 330 26.40693 26.40693 7.15333 1.09271 13.10782 104.01725 1 1 14 34.568 16.349 0 0 6.644 5.001 6.998 5.141 20.926 11.282 -9 0 0.007666 0.0041973 0.0077532 0.004116 0.0077711 0.0038822 0.0078709 0.0038508 -0.085885 0.9730675 -0.0826514 0.9223143 0.0077709 0.0040828 6.12e-05 0.0003417 0.0050072 0.0237285 0.9285664 6.24153804516744e-05 6.24502963907545e-05 6.25051425755503e-05 6.24443267307703e-05 0.000913448221692081 6.24616992725687e-05 0.261126740622306 6.25607188541373e-05 0.309693349665427 6.24773026028634e-05 0.0853487297934217 6.24191180869866e-05 0.34203963639513 6.24015001360971e-05 0.000253553372151807 6.24064447697369e-05
2.34344 28.34612 1.68294 0.5 12.60286 28.85949 295 318 24.06375 24.06375 1.30057 198.95512 17.34488 34.93454 158 158 15 14.448 4.95 0.016 0.126 3.302 2.175 8.272 4.411 2.858 2.871 -9 0 0.0015178 0.0010843 0.0021141 0.0011155 0.0017363 0.0010538 0.0031372 0.0012082 -0.3933546 0.9183413 -1.1567481 0.703747 0.0021853 0.001192 0.0003694 0.0005982 0.0845966 0.1097224 0.4613429 0.00970680623510691 0.000371040588847091 0.0256397926536389 0.00195871915297867 0.00717658843650192 0.00115278943405751 0.360860888427316 0.0290869420186838 0.0052433712703856 0.00129804132754511 0.506873246818776 0.0433328947237453 0.00527607271711401 0.00164116880538621 0.00019092835559379 0.000190709034323074
2.88756 11.52741 4.65078 0.5 14.42509 160.45355 371 64 9.68321 9.68321 1.31886 7.36141 4.06563 198.37182 496 496 16 7.162 3.998 0 0 2.43 2.169 2.052 1.855 2.68 2.498 -9 0 0.0010735 0.0008509 0.0010705 0.0009029 0.0014404 0.0009615 0.0013338 0.0009073 -0.6571836 0.8942305 -0.5366942 0.8517091 0.0011378 0.0008886 6.58e-05 0.0001541 0.0295554 0.0487946 0.7805381 0.0114065703421572 0.000249004784384289 0.0180314157064633 0.000655077094679802 0.018972379075502 0.000250420827415825 0.0984806523259188 0.00266377545804868 0.473611817804304 0.00372837766328063 0.043811997308082 0.00282349505939832 0.321109565590376 0.0038740179253756 0.000165346266811951 0.000166086767802196
3.66964 27.37808 13.28456 0.5 15.82353 36.31941 288 382 9.04241 9.04241 19.08463 124.86595 14.87703 62.04001 3 3 17 28.666 13.012 0 0 4.898 3.051 12.51 6.095 11.258 9.221 -9 0 0.0046293 0.0034404 0.0057532 0.003768 0.0045539 0.00296 0.0066995 0.0034064 -0.0062369 0.8669022 -0.6506265 0.7041284 0.0056567 0.0037431 0.0004655 0.0007447 0.0465952 0.0555975 0.8827987 0.00477746153812067 0.000201380164577664 0.0762340921810009 0.000827656778032104 0.189721681862163 0.00020431218753592 0.138682664929223 0.00147539466101078 0.183899652021741 0.00218996784386658 0.0689143455210812 0.00156581248715657 0.327832919508905 0.0030618372290803 0.000206832117925531 0.00020398896857855
24.57471 24.52653 27.10665 0.5 14.35555 127.06495 113 158 11.28078 11.28078 12.39827 120.01015 3.62087 64.63227 452 452 18 53.726 38.735 0 0 8.106 7.391 8.622 7.803 36.998 31.285 -9 0 0.0137716 0.0117416 0.0138526 0.0116732 0.0128606 0.0100373 0.0129745 0.0100375 -0.0433916 0.9266995 -0.0304291 0.8954703 0.0139836 0.0116972 0.0001715 0.0008509 0.0082899 0.0284074 0.9724883 7.96495018676643e-05 7.96506064701769e-05 7.97294424036253e-05 7.95603992331498e-05 0.00254681741567557 7.96693697973815e-05 0.0490168402658619 7.96343646502811e-05 0.322255817959026 7.95680137119371e-05 0.0591877124797399 7.97003148728723e-05 0.566116498744455 7.96834689780286e-05 7.97277282467215e-05 7.9739925009587e-05
21.315 16.26124 7.63711 0.5 3.35665 177.86654 257 288 17.76733 17.76733 9.45835 8.86648 10.59332 84.31445 451 451 19 10.09 10.119 0 0 3.436 3.92 3.488 3.738 3.166 5.27 -9 0 0.0013509 0.0020761 0.0013377 0.0019978 0.0018609 0.0021533 0.0018756 0.0020874 -0.7532136 1.1257939 -0.7683358 1.1618111 0.001389 0.0020398 4.47e-05 0.0001834 0.0186266 0.0430827 0.9128661 0.000227736652792457 9.04928695131326e-05 0.00152023218515568 9.02723657266574e-05 0.0448051073998674 9.60698927127812e-05 0.0486642213607294 8.84302654280541e-05 0.25373367167407 8.81443442986129e-05 0.0205280766727827 8.58392356820493e-05 0.629704104153915 9.89013984106391e-05 9.09249938542577e-05 8.777453506124e-05
0.96938 21.36836 18.23394 0.5 2.1607 38.87567 359 35 20.25825 20.25825 8.7234 24.33842 3.77268 40.47204 165 165 20 25.416 19.577 0.002 0.045 3.324 5.531 4.754 7.235 17.336 16.784 -9 0 0.0071033 0.0068967 0.0074135 0.0067225 0.0058234 0.005231 0.0062265 0.0050954 0.4721181 1.1850922 0.3723304 1.304442 0.0080308 0.006965 0.0007723 0.0015536 0.0640751 0.104509 0.8328311 0.000126210399875819 6.59661732616371e-05 0.0148335765782253 6.57957927588422e-05 0.00292428674215151 6.45868764336453e-05 0.00931017629276556 0.000372134944340541 0.0803453275863943 0.000899025633122844 0.264705951127786 0.000946574841218056 0.625015939446439 0.000191696645767299 6.68440097956371e-05 6.59069096645449e-05
