N shape1Ne shape2Ne propNtrlNe dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi pSI_NHetero pSI_NHomo pAM_MHetero_NHetero pAM_MHetero_NHomo pAM_MHomo_NHetero pAM_MHomo_NHomo pIM_MHetero_NHetero pIM_MHetero_NHomo pIM_MHomo_NHetero pIM_MHomo_NHomo pSC_MHetero_NHetero pSC_MHetero_NHomo pSC_MHomo_NHetero pSC_MHomo_NHomo pPAN_NHetero pPAN_NHomo pNoMigration pMigration robustness
1.04297 13.93885 86.97734 222 10 2.23 2.51 0 0 0.344 0.668 0.382 0.736 1.504 1.984 -9 0 0.0005208 0.0007062 0.0005305 0.000717 0.0005209 0.0006322 0.0005316 0.0006352 -0.0253549 0.7823073 -0.0317315 0.8222201 0.0005235 0.0006947 -2.1e-06 3.8e-05 0.000451 0.0321551 0.955134 1.23037293016563e-05 1.2303689668107e-05 1.23035800357297e-05 1.23038707707828e-05 1.23039422273794e-05 1.2303781889272e-05 1.23034827469022e-05 1.23036618626185e-05 1.23036469815032e-05 1.23036010552882e-05 1.2303841254819e-05 1.23024864103086e-05 1.23036983742866e-05 1.23038008948182e-05 0.999815445192587 1.23039939393367e-05 7.38225938929272e-05 0.999926177406107 1
0.43006 16.86147 34.25285 85 11 0.818 1.065 0 0 0.122 0.389 0.122 0.34 0.574 0.866 -9 0 0.0001859 0.0002938 0.0001893 0.0003048 0.0001962 0.0002694 0.0001962 0.0002735 -0.0496316 0.6787091 -0.038856 0.6359718 0.0001882 0.0002961 6e-07 2.27e-05 0.0001807 0.0310448 0.9216942 1.93842788187331e-05 1.93206969419731e-05 1.94441171129387e-05 1.9249084294685e-05 1.92463314870172e-05 1.93105088344658e-05 1.93488991534474e-05 1.9313652781302e-05 1.92716133016517e-05 1.92940213351921e-05 1.94100214929621e-05 1.93077260112576e-05 1.92759123871367e-05 1.92128721132462e-05 0.91584723547275 0.0838823747911841 0.000115955017489813 0.99988404498251 1
28.25169 6.08135 19.40771 58 12 38.186 30.59 0 0 6.712 6.564 6.398 6.286 25.076 20.42 -9 0 0.0093097 0.0084077 0.0091825 0.0080793 0.0092222 0.0079317 0.009092 0.0076624 -0.0291445 0.7295573 -0.0164041 0.6960561 0.0092627 0.0082289 1.65e-05 0.0004256 0.000586 0.0217313 0.9815619 8.40957302489548e-05 8.4119063740023e-05 8.40913583061731e-05 8.43289167171969e-05 0.000395128794767817 8.42166452972968e-05 0.00280573459803035 8.42101370629255e-05 0.0479890462493565 8.40246341131653e-05 0.00702448080039555 8.42718842895804e-05 0.0639661560017988 8.41199512441357e-05 0.876977808241805 8.41669928270255e-05 0.000815980509077462 0.999184019490923 1
5.35611 7.04808 162.81353 412 13 19.344 10.535 0 0 3.22 3.009 3.24 2.924 12.884 7.98 -9 0 0.0044935 0.0028465 0.0045272 0.0028989 0.0045392 0.0025858 0.0045449 0.002623 -0.0526552 0.7957777 -0.0568623 0.7747477 0.0045077 0.0028262 -2.6e-06 0.000184 0.0001159 0.0210119 0.9411678 0.00116272424011667 2.32794945008918e-05 2.32804982471474e-05 2.32825809439309e-05 2.32877116517063e-05 2.32840399563656e-05 2.32825353455834e-05 2.32868356645699e-05 0.00157782823633385 2.32862953431925e-05 0.000112690204190866 2.32864733869615e-05 0.000586005330882635 2.32880136299457e-05 0.996304623706401 2.32838034041684e-05 0.00127913856541671 0.998720861434583 1
27.55062 6.78308 194.51315 84 14 21.77 41.08 0 0 3.808 7.65 3.666 7.512 14.296 27.246 -9 0 0.0054435 0.0106078 0.005313 0.0101995 0.0054356 0.0104694 0.0053392 0.0101797 -0.0130483 0.8503098 -0.0249485 0.8585515 0.0053756 0.0103514 -2.7e-06 0.0002646 0.0008585 0.0260987 0.9879572 0.000658003633300002 1.89978526808775e-05 1.90030696746844e-05 1.89967309537853e-05 1.89989691669594e-05 1.90005603144066e-05 1.89992469472891e-05 1.89990332800662e-05 0.000477950541941999 1.89989604542543e-05 1.90011707556737e-05 1.8998527993708e-05 8.29272267299227e-05 1.89937969373496e-05 0.99855313269976 1.89979791093371e-05 0.000753000816090715 0.99924699918391 1
7.64847 13.18355 10.87006 437 15 30.844 9.567 0 0 4.932 3.267 5.2 3.348 20.712 8.217 -9 0 0.0072892 0.0030637 0.0073885 0.0030709 0.0072283 0.0025181 0.0073038 0.0025036 -0.005654 0.7056024 0.0018405 0.6994833 0.0073615 0.0030077 2.26e-05 0.0002886 0.0015389 0.0188074 0.9068567 4.74675965093473e-05 4.74728851035243e-05 4.72760581702221e-05 4.75351073048936e-05 4.7457740113129e-05 4.76691966745988e-05 0.00069814250265308 0.000230370466133708 0.00366687475523023 0.00354431434801211 0.000186465261052237 4.77104835460709e-05 0.000652457660460839 0.00393049284280039 0.972698968271251 0.0140593248249847 0.000284878583875715 0.999715121416124 1
0.32993 4.50827 26.77526 3 16 0.188 0.444 0 0 0.03 0.171 0.044 0.233 0.114 0.336 -9 0 4.43e-05 0.0001274 4.61e-05 0.0001352 4.06e-05 0.0001038 4.45e-05 0.0001187 0.0239817 0.3853427 0.0138138 0.3882304 4.52e-05 0.0001282 0 7.9e-06 0.0004575 0.0308296 0.909828 1.64459485414027e-05 1.64751233063441e-05 1.64611944490274e-05 1.64233172675345e-05 1.65385651423669e-05 1.64468619167506e-05 1.64890582934419e-05 1.65171363608815e-05 1.65131809558329e-05 1.65185383094589e-05 1.65287487386777e-05 1.65242830450137e-05 1.64900597659709e-05 1.65203624248236e-05 0.470346085144794 0.529423022476689 9.87910106234262e-05 0.999901208989377 1
1.38166 11.78094 72.84235 485 17 5.818 2.903 0 0 0.886 0.995 0.994 1.175 3.938 2.565 -9 0 0.0013767 0.0009885 0.0014046 0.0010267 0.0013597 0.0007605 0.0013902 0.0007845 -0.0156847 0.9625302 -0.0159272 0.9717054 0.0013866 0.0010044 -4e-06 9.46e-05 -0.0029003 0.0207231 0.9276224 2.91480161639525e-05 2.9108370740957e-05 2.91252628886019e-05 2.90833674785456e-05 2.90755046231976e-05 2.91362707815176e-05 2.91149973865056e-05 2.90543701786149e-05 2.90889368170036e-05 0.000182259335592183 2.90834950086413e-05 0.000222334956249453 2.91660789639322e-05 2.91024265220413e-05 0.0434566884511895 0.955789430159415 0.000174676792676772 0.999825323207323 1
14.8465 11.22592 68.55865 48 18 13.622 16.15 0 0 2.47 3.539 2.132 2.984 9.02 11.169 -9 0 0.0031879 0.0040728 0.003135 0.0039555 0.0032387 0.0039318 0.0031434 0.0037742 -0.1255562 0.8563204 -0.0859637 0.8594598 0.0031632 0.0040012 1.7e-06 0.0002049 -0.0006996 0.0225928 0.9815573 1.34014178650782e-05 1.34019378027906e-05 6.64360021292937e-05 1.34023984090861e-05 1.34018525992706e-05 1.34019860794488e-05 1.34009647470844e-05 1.34025350992389e-05 1.34027690043533e-05 1.34027791881806e-05 1.34019074409747e-05 1.34026349169239e-05 1.34021801228449e-05 1.34008823357112e-05 0.999745935715971 1.34020362888317e-05 0.000133445594884968 0.999866554405115 1
13.89706 6.12629 24.80652 96 19 20.722 20.507 0 0 3.458 4.153 3.426 4.189 13.838 14.471 -9 0 0.0048537 0.0050341 0.0047945 0.0049709 0.0048752 0.0049094 0.0048662 0.0049405 -0.0328999 0.8085821 -0.0497705 0.7854501 0.0048274 0.0049771 3.3e-06 0.000244 -0.000156 0.0208899 0.9770051 1.78548661699679e-05 1.78513662716869e-05 1.78524038852707e-05 1.78529112350861e-05 1.78510951030148e-05 1.78550773018212e-05 1.78518779860834e-05 1.78536293269872e-05 0.000367914059037187 1.78520097318245e-05 1.78503244476929e-05 1.78523362470857e-05 0.00150429798183732 1.78538468501317e-05 0.99789570230543 1.7853909139207e-05 0.000107117719966848 0.999892882280033 1
23.47985 16.26516 177.30908 8 20 9.374 10.871 0 0 1.5 2.111 1.708 2.819 6.166 7.124 -9 0 0.0021625 0.0025829 0.0021821 0.0026389 0.0021608 0.0024432 0.0022194 0.0026267 -0.0163537 0.9111821 -0.0770015 0.8973578 0.0021783 0.0026296 5.9e-06 0.0001377 0.0002531 0.0240107 0.9704373 0.000379611705036712 2.05140944043501e-05 2.05139285044056e-05 2.05173236311855e-05 2.05169160830267e-05 2.05124419090248e-05 2.05169729670491e-05 2.05183471561706e-05 2.0515928392451e-05 2.0518239335115e-05 2.05140916162865e-05 2.05129513295954e-05 0.000123050976745407 2.05156152481237e-05 0.999230631484394 2.0518983247232e-05 0.000482186409568705 0.999517813590431 1
16.27428 3.10405 40.37894 266 21 38.312 33.246 0 0 6.572 6.881 6.528 6.815 25.212 22.848 -9 0 0.0087896 0.0081264 0.0088589 0.0081445 0.0089589 0.0079215 0.0089465 0.0078854 -0.1068064 0.7294514 -0.0748746 0.7274637 0.0088259 0.0080993 1.7e-06 0.0003962 9.25e-05 0.0195047 0.9808451 2.97920839047466e-05 2.98013630048604e-05 2.97953120137293e-05 2.97992782988631e-05 2.97813002839685e-05 2.97768525448768e-05 0.000186946044684674 2.97673401241385e-05 0.00391136866123828 2.97834832743458e-05 0.000618122184507144 2.97760617802095e-05 0.00326324561931393 2.97912313952862e-05 0.991692675249569 2.97779340617984e-05 0.000178746190051045 0.999821253809949 1
2.35276 6.62365 40.28469 164 22 4.154 4.657 0 0 0.728 1.209 0.722 1.384 2.704 3.284 -9 0 0.0009451 0.0011666 0.0009461 0.0011876 0.0009674 0.0011102 0.0009657 0.0011198 -0.0587146 0.7911032 -0.0772569 0.8027527 0.0009458 0.0011634 2e-07 9.4e-05 1.44e-05 0.0274668 0.9490879 1.48793050979834e-05 1.48789064544442e-05 1.48789930670864e-05 1.48792311748009e-05 1.48793525457706e-05 1.48791731721886e-05 1.48789949969475e-05 1.48787004290108e-05 1.4879228969109e-05 1.48788049752752e-05 0.000124472813522117 1.48788714270575e-05 1.48789474101356e-05 1.48797377672626e-05 0.999667219539672 1.48793993193019e-05 8.92749615122741e-05 0.999910725038488 1
2.62981 18.33196 147.80444 25 23 1.79 2.626 0 0 0.292 0.754 0.246 0.608 1.252 1.984 -9 0 0.0004405 0.0007444 0.0004341 0.0007342 0.0004352 0.0006748 0.0004222 0.0006216 -0.0087853 0.7778597 -0.0032001 0.8120287 0.0004349 0.0007217 -2.4e-06 3.45e-05 -0.0025007 0.026859 0.9609124 1.35812572977532e-05 1.3580889328067e-05 1.35808410318832e-05 1.35807257037695e-05 1.35808482680859e-05 1.35810547855909e-05 1.35810023318845e-05 1.358105494445e-05 1.35810564539384e-05 1.35812301413753e-05 1.35811855618357e-05 1.35806385055655e-05 1.35813954643689e-05 1.35811128729624e-05 0.999796284449697 1.3581257611458e-05 8.14856164151497e-05 0.999918514383585 1
7.17348 9.05261 83.76391 91 24 8.054 10.942 0 0 1.302 2.244 1.352 2.149 5.4 7.732 -9 0 0.0018987 0.0027369 0.0018821 0.0027203 0.0018891 0.0026402 0.0019032 0.002624 0.0043396 0.8990878 -0.0333263 0.8732705 0.0018813 0.0026938 -9.1e-06 9.13e-05 0.001034 0.0248854 0.9826322 1.22059887759823e-05 1.22061556884108e-05 1.22055949795342e-05 1.22058656951139e-05 1.22060363719946e-05 1.22055280796958e-05 1.22059099955037e-05 1.22055478423266e-05 1.22057909245365e-05 1.2205948277655e-05 1.2205645876793e-05 1.22061912946311e-05 1.22060212290982e-05 1.22060700938557e-05 0.999816911787987 1.2205916887643e-05 7.32351695907316e-05 0.999926764830409 1
24.64932 12.0209 199.75221 398 25 83.624 41.999 0 0 14.048 9.104 13.47 8.798 56.106 29.53 -9 0 0.0202003 0.011129 0.0200444 0.0109825 0.0200488 0.0104101 0.0198447 0.0102282 -0.0103117 0.5720978 -0.0206113 0.6294951 0.0201346 0.0109973 1.23e-05 0.0007335 0.0002997 0.0169993 0.9722202 2.00867254768896e-05 2.00856689618652e-05 2.00847951505235e-05 2.00827986843846e-05 2.00806665275726e-05 2.00818262018798e-05 0.000180560993618973 2.00811197872759e-05 0.00100285963944742 2.00833577447879e-05 0.000172203186222073 2.0082538426331e-05 0.00205566317803315 2.00815054056963e-05 0.996367804215814 2.00777844974133e-05 0.000120502481003115 0.999879497518997 1
