dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
859	40.205	34.232	4.826	14.772	13.525	15.140	9.240	9.762	12.614	15.177	-3.630	15.506	0.1759491	0.1081512	0.1470666	0.1067248	0.1752395	0.1060337	0.1474632	0.1067017	0.0149162	0.7416227	-0.0294411	0.7537800	0.2288173	0.1776019	0.0673094	0.1735304	0.1013563	0.2623629	0.5906827
860	41.089	33.857	2.146	11.195	14.449	13.621	10.932	12.681	13.562	15.447	-6.750	11.003	0.1878142	0.0990330	0.1631545	0.1097035	0.1887366	0.0981836	0.1634316	0.1083575	-0.0633303	0.6765459	-0.0736834	0.7385873	0.2086830	0.1350498	0.0331986	0.1252057	0.0727480	0.1932930	0.5897186
861	33.884	25.280	0.102	0.900	10.401	10.196	10.009	10.531	13.372	12.919	-8.926	1.239	0.1611624	0.0869749	0.1565386	0.0845865	0.1608157	0.0860466	0.1570062	0.0843258	0.0207068	0.7495719	-0.0349198	0.7602861	0.1595965	0.0765243	0.0007460	0.0374296	0.0012310	0.1046449	0.5659261
862	54.527	44.950	20.482	27.267	10.937	10.038	17.647	17.808	5.460	11.081	13.420	24.756	0.1096881	0.0773660	0.1543602	0.0868880	0.1100561	0.0766841	0.1535444	0.0848744	-0.0412508	0.7773653	0.0387433	0.8035256	0.4206531	0.2565095	0.2886291	0.2662007	0.4053108	0.3556356	0.2178593
863	69.484	46.993	7.887	8.833	28.680	22.189	29.421	22.263	3.495	9.300	7.573	17.446	0.2148790	0.0727795	0.2211272	0.0717665	0.2155360	0.0725157	0.2218162	0.0709495	-0.0299289	0.6155253	-0.0302978	0.6589347	0.3887953	0.0937635	0.1707919	0.1030090	0.2927796	0.1757143	-0.0663636
864	62.640	51.421	23.612	25.253	12.590	12.641	22.904	22.223	3.534	8.323	20.765	28.164	0.1068809	0.0635786	0.1736445	0.0881810	0.1066316	0.0627227	0.1738893	0.0866442	0.0133802	0.8085629	-0.0329558	0.7379835	0.4799705	0.2539311	0.3397081	0.2513949	0.4490235	0.3238578	-0.0023218
865	26.499	27.517	4.290	6.408	1.405	3.769	19.671	22.054	1.133	5.527	-1.405	11.605	0.0148514	0.0408467	0.1372541	0.1107900	0.0148802	0.0409351	0.1377308	0.1099345	0.0499917	0.7498966	-0.0904528	0.6504285	0.1596648	0.1277763	0.0836121	0.0896131	0.3002023	0.2355928	0.1300031
866	59.932	41.768	0.201	1.229	18.603	17.238	17.595	16.518	23.532	20.425	-8.762	2.106	0.2818859	0.1152690	0.2777436	0.1101465	0.2828270	0.1144789	0.2765947	0.1074387	-0.0357494	0.6583363	0.0390029	0.7138244	0.2867809	0.0967002	0.0069660	0.0570849	0.0123363	0.1054301	0.3930750
867	14.124	24.985	1.725	9.436	5.573	14.050	3.294	4.266	3.532	4.500	-6.547	12.572	0.0599728	0.0654250	0.0460107	0.0329754	0.0601828	0.0657606	0.0458849	0.0323680	-0.0385486	0.8576663	-0.0056197	0.8840362	0.0766655	0.1276785	0.0236738	0.0997668	0.0378548	0.1857319	0.2369831
868	46.281	44.207	16.756	26.688	11.163	11.794	12.686	13.205	5.677	9.266	9.671	26.434	0.1132166	0.0658501	0.1249840	0.0711534	0.1134653	0.0643034	0.1253016	0.0706776	-0.0586520	0.7571564	-0.0205761	0.7560858	0.3413160	0.2666984	0.2222157	0.2639877	0.3072306	0.3639841	0.2831964
869	64.954	47.866	8.957	13.647	26.514	24.650	19.120	16.865	10.362	16.032	6.220	20.496	0.2490759	0.1023875	0.1974449	0.1084199	0.2478989	0.1006386	0.1975715	0.1073327	0.0423688	0.6816980	-0.0245000	0.7182492	0.3803943	0.1659763	0.1571339	0.1782265	0.2329269	0.2593129	0.2977443
870	38.985	40.422	26.948	30.817	2.728	3.180	8.621	10.652	0.688	1.878	9.386	19.962	0.0232442	0.0197896	0.0616057	0.0547729	0.0233901	0.0197639	0.0612231	0.0533617	-0.0415306	0.8809866	0.0021019	0.8418665	0.3838637	0.2970404	0.3414388	0.2847514	0.5492109	0.4212288	0.1233021
871	42.017	33.141	3.299	12.737	11.858	12.853	12.233	12.266	14.627	15.320	-5.355	13.145	0.1804845	0.1028186	0.1823385	0.1023033	0.1813209	0.1020965	0.1827054	0.1011060	-0.0565466	0.7509099	-0.0533666	0.6974427	0.2267927	0.1629635	0.0453812	0.1627566	0.0580587	0.2236795	0.5942266
872	27.301	28.458	6.392	20.122	6.880	8.025	6.536	7.222	7.494	10.352	-4.519	13.246	0.0939603	0.0643806	0.0922089	0.0656477	0.0938178	0.0629168	0.0926233	0.0648804	-0.0171809	0.8063356	-0.0531171	0.7631802	0.1782945	0.2255539	0.0852097	0.2284861	0.1105222	0.2976761	0.5594791
873	21.166	22.322	3.591	5.489	2.144	4.769	14.013	15.930	1.418	3.912	-2.085	11.522	0.0227305	0.0452442	0.1024503	0.0833422	0.0226462	0.0452027	0.1045943	0.0849887	0.0471456	0.7623072	-0.1940738	0.5966255	0.1237726	0.1043137	0.0611823	0.0758843	0.2494883	0.2468919	0.1899543
