dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
0	28.741	25.223	1.359	4.391	11.116	12.623	7.628	8.593	8.638	10.966	-6.360	8.534	0.1324193	0.0774800	0.1103448	0.0794477	0.1339594	0.0788020	0.1111236	0.0800500	-0.0660427	0.7001658	-0.0447665	0.7520815	0.1428258	0.0839506	0.0214439	0.0615064	0.0624898	0.1906583	0.5413862
1	64.213	44.511	4.466	9.659	20.858	18.385	22.133	19.235	16.756	18.467	-0.608	16.729	0.2505820	0.0949665	0.2622463	0.0885638	0.2515419	0.0947049	0.2630318	0.0875115	-0.0355681	0.6266210	-0.0363562	0.6028824	0.3355365	0.1312487	0.0791226	0.1479115	0.1155523	0.2201251	0.3777941
2	58.240	41.603	4.543	10.451	18.961	17.752	18.009	16.482	16.726	19.752	-1.756	15.257	0.2382989	0.1036397	0.2329235	0.1070511	0.2384609	0.1027332	0.2318219	0.1053827	-0.0038541	0.6935710	0.0380308	0.6948760	0.3145645	0.1526453	0.0789533	0.1613975	0.1133671	0.2373717	0.4097135
3	33.346	25.915	1.758	6.309	13.440	13.421	9.372	10.361	8.776	10.969	-6.131	9.188	0.1501567	0.0843369	0.1237286	0.0858168	0.1508448	0.0828211	0.1231052	0.0829717	-0.0514967	0.7464719	0.0110022	0.8094695	0.1739348	0.1031238	0.0369922	0.0849995	0.1003287	0.1960332	0.4331002
4	31.322	29.063	8.466	13.715	13.490	15.511	4.551	6.364	4.815	9.154	3.100	17.469	0.1271474	0.0884331	0.0643590	0.0781879	0.1274419	0.0879441	0.0641647	0.0775563	-0.0397255	0.7551023	0.0421112	0.8396717	0.2201597	0.1681233	0.1244064	0.1594326	0.2732147	0.3429131	0.3955494
5	53.157	36.217	3.244	9.781	13.582	13.194	20.126	18.924	16.205	15.621	-3.880	14.214	0.2049555	0.1100115	0.2452340	0.0816658	0.2041194	0.1095603	0.2469085	0.0814399	0.0456983	0.7007104	-0.0647564	0.5936577	0.2737461	0.0995192	0.0486515	0.1195323	0.0927134	0.2206456	0.2795944
6	43.584	31.123	0.148	1.008	12.797	12.646	13.394	13.550	17.246	15.488	-8.800	2.117	0.2034916	0.1009192	0.2062053	0.0990128	0.2039343	0.0986287	0.2060076	0.0975258	-0.0523869	0.6968749	0.0138995	0.7494373	0.2087130	0.0861123	0.0038647	0.0442628	0.0107114	0.1127345	0.4940025
7	29.248	26.752	1.357	7.353	8.991	10.790	9.351	11.534	9.549	9.323	-6.980	10.123	0.1272947	0.0746295	0.1305293	0.0742610	0.1265559	0.0726153	0.1301590	0.0720945	0.0286721	0.8161157	-0.0081375	0.7664353	0.1487154	0.1097007	0.0198034	0.0855284	0.0328371	0.1624499	0.4518762
8	26.444	20.701	1.150	5.319	9.133	9.912	6.778	7.578	9.383	10.681	-7.224	7.016	0.1230542	0.0705763	0.1102848	0.0738416	0.1231881	0.0689712	0.1101795	0.0720254	-0.0328477	0.7629592	-0.0409985	0.7833562	0.1342418	0.0755867	0.0175724	0.0643868	0.0537524	0.1985190	0.4395508
9	21.658	29.741	9.447	19.585	6.577	11.406	3.052	3.645	2.582	4.573	-0.713	16.677	0.0620022	0.0585013	0.0394831	0.0405727	0.0625001	0.0587387	0.0392297	0.0398496	-0.0980937	0.7865691	0.0217036	0.8953676	0.1791534	0.2321112	0.1284108	0.2194598	0.2248513	0.3739281	0.2775446
10	60.506	44.652	8.244	16.864	17.377	15.116	20.111	19.559	14.774	17.504	3.257	22.743	0.2191200	0.1026300	0.2337959	0.0990766	0.2197686	0.1023239	0.2344168	0.0977155	-0.0265880	0.6904112	-0.0425750	0.6975278	0.3468763	0.1805097	0.1204184	0.2039830	0.1641576	0.2782396	0.4308966
11	37.780	28.029	0.902	2.883	13.621	13.299	11.943	10.636	11.314	11.693	-7.044	6.569	0.1670756	0.0704845	0.1570414	0.0702783	0.1683888	0.0710402	0.1578833	0.0709112	-0.0652753	0.6493410	-0.0377527	0.6901709	0.1847285	0.0826033	0.0226699	0.0641174	0.0527628	0.1573394	0.4360800
12	67.630	45.574	2.900	8.373	21.821	17.831	20.872	16.535	22.037	22.132	-4.061	13.489	0.2931675	0.1009868	0.2883278	0.0992845	0.2935610	0.1001577	0.2894037	0.0990869	-0.0151949	0.6322588	-0.0421723	0.6148913	0.3398238	0.1151717	0.0490762	0.1324183	0.0706004	0.1894500	0.4465418
13	8.421	6.494	0.022	0.235	3.148	2.926	3.418	3.391	1.834	2.323	-9.000	0.000	0.0330781	0.0220628	0.0343085	0.0205828	0.0338575	0.0218691	0.0354586	0.0214559	-0.2437124	0.6553068	-0.2469962	0.6985261	0.0347150	0.0182153	0.0010217	0.0073702	0.0154620	0.1034661	0.4076536
14	34.094	27.033	5.728	8.934	4.993	7.387	18.697	19.126	4.677	11.083	-1.139	12.159	0.0638760	0.0859409	0.1571719	0.0969088	0.0635627	0.0843489	0.1567205	0.0949216	-0.0268885	0.8618953	-0.0117251	0.8307113	0.2126810	0.1184669	0.1021570	0.1134706	0.3134668	0.2854460	0.1399817
15	49.518	35.329	4.229	7.946	18.287	17.571	17.015	17.123	9.987	14.198	-2.466	12.113	0.1929661	0.1091658	0.1858926	0.1038804	0.1923280	0.1060926	0.1842538	0.1005269	-0.0185430	0.7932922	0.0503139	0.8121158	0.2816043	0.1306902	0.0921751	0.1232625	0.1832144	0.2299702	0.2483684
16	34.904	27.855	2.738	8.045	9.440	10.158	11.994	13.090	10.732	12.062	-4.407	12.303	0.1366020	0.0817949	0.1557380	0.0810128	0.1368935	0.0812933	0.1552467	0.0795098	-0.0266154	0.7431818	0.0087686	0.7375078	0.1857087	0.1078656	0.0395387	0.1032746	0.0875587	0.2293191	0.4651458
17	69.165	47.596	18.599	24.584	16.590	13.528	23.486	20.100	10.490	17.863	14.318	26.531	0.1819667	0.1215763	0.2260240	0.1013315	0.1816131	0.1198933	0.2269430	0.1006235	0.0063305	0.7302831	-0.0438273	0.6911171	0.4777323	0.2156170	0.2737369	0.2661574	0.3516980	0.3346774	0.3702365
18	4.771	3.550	0.002	0.043	2.150	1.962	2.150	2.019	0.470	0.804	-9.000	0.000	0.0172394	0.0120147	0.0170540	0.0123255	0.0179938	0.0124373	0.0179153	0.0127795	-0.3136751	0.6286956	-0.3613536	0.5788910	0.0180337	0.0100645	0.0008870	0.0034481	0.0228674	0.0878524	0.1513403
19	46.656	37.594	2.677	9.442	13.460	13.919	15.242	16.545	15.277	17.581	-5.129	12.272	0.1906132	0.1038761	0.2067896	0.1103656	0.1910516	0.1020223	0.2050986	0.1069886	-0.0476533	0.7409109	0.0614833	0.7641599	0.2435001	0.1468590	0.0447987	0.1287819	0.0659772	0.1999885	0.4205871
20	28.824	19.866	0.137	0.867	9.957	9.037	9.736	8.539	8.994	7.556	-8.771	2.196	0.1267283	0.0498871	0.1276449	0.0507769	0.1287714	0.0506408	0.1293989	0.0508748	-0.1424803	0.5984481	-0.1328952	0.6192628	0.1303149	0.0437645	0.0031281	0.0246829	0.0124835	0.1005549	0.4101695
21	33.793	25.006	0.054	0.554	9.943	9.532	9.839	9.424	13.957	13.423	-8.922	1.277	0.1605277	0.0830892	0.1572036	0.0812414	0.1602078	0.0813023	0.1583257	0.0814754	-0.0081691	0.7410884	-0.0737312	0.6930528	0.1564339	0.0695356	-0.0024318	0.0323094	-0.0078617	0.0987477	0.5542841
22	58.518	42.461	3.884	11.026	16.677	15.182	19.782	18.284	18.176	20.163	-3.242	15.038	0.2341329	0.1173286	0.2560568	0.1130444	0.2342711	0.1161109	0.2565894	0.1109682	-0.0044800	0.7403962	-0.0395870	0.6591638	0.3084438	0.1512373	0.0633491	0.1533994	0.0909034	0.2157900	0.5039580
23	42.442	30.382	1.002	7.061	12.373	11.299	13.091	12.587	15.976	14.528	-7.760	8.090	0.1929899	0.0969466	0.1976539	0.0940735	0.1927796	0.0958216	0.1980440	0.0934680	0.0072117	0.7402323	-0.0201420	0.7161045	0.2081417	0.1046466	0.0128197	0.0855384	0.0186129	0.1467932	0.5306939
24	49.274	39.244	4.495	13.390	14.780	14.827	13.819	13.406	16.179	19.041	-3.052	16.220	0.2068068	0.1052616	0.1984880	0.1068389	0.2066097	0.1037883	0.1992871	0.1060515	0.0068459	0.7250569	-0.0636510	0.6919567	0.2664087	0.1664954	0.0637614	0.1663922	0.0889634	0.2373442	0.5452777
25	50.732	40.723	0.375	1.833	14.811	15.330	15.943	17.059	19.603	19.638	-8.329	3.890	0.2276555	0.1168765	0.2339683	0.1199220	0.2270914	0.1147934	0.2335814	0.1182562	0.0045863	0.7312700	0.0110769	0.7028112	0.2392375	0.1101130	0.0084255	0.0604772	0.0160495	0.1229036	0.5885229
26	36.028	33.017	8.196	17.067	13.677	15.630	6.229	8.091	7.926	11.706	0.834	18.877	0.1448558	0.0922948	0.0974614	0.0919093	0.1453840	0.0919011	0.0971806	0.0911258	-0.0385324	0.7314960	-0.0238248	0.8245206	0.2302442	0.1925391	0.1090856	0.1927484	0.1840743	0.3271578	0.4424632
27	42.113	32.719	2.468	6.065	16.344	16.737	12.869	15.288	10.433	13.584	-5.625	8.528	0.1820321	0.1109773	0.1586675	0.1111029	0.1797293	0.1062368	0.1572505	0.1092592	0.0752087	0.8944749	0.0543948	0.9578758	0.2402724	0.1199630	0.0699226	0.1005068	0.1719009	0.2150428	0.2464857
28	52.081	36.332	6.697	9.970	19.492	17.128	19.662	15.848	6.231	9.796	3.767	17.091	0.1746340	0.0752022	0.1772531	0.0776921	0.1748124	0.0734015	0.1770239	0.0760558	-0.0301143	0.6755548	0.0050779	0.6971003	0.3016932	0.1235724	0.1257496	0.1275894	0.2472073	0.2351841	0.1725635
29	54.237	37.344	0.359	2.268	15.994	13.622	18.109	15.893	19.774	17.678	-8.473	3.617	0.2438668	0.1078798	0.2575778	0.1086811	0.2444547	0.1070562	0.2577638	0.1060129	-0.0262872	0.6670246	-0.0363828	0.6418575	0.2598294	0.0986797	0.0091070	0.0614306	0.0179582	0.1126606	0.5024374
30	67.471	50.468	20.336	19.602	34.774	29.853	10.296	10.030	2.065	6.276	21.279	23.662	0.2471030	0.1022036	0.0876536	0.0766188	0.2470925	0.0991915	0.0872596	0.0769220	-0.0265548	0.6739931	0.0071769	0.8463725	0.4761248	0.1769052	0.3087465	0.1782431	0.4573289	0.2429693	0.0084777
31	8.773	13.978	2.344	10.968	2.026	4.856	2.065	3.284	2.338	5.249	-8.135	4.540	0.0288867	0.0472486	0.0309248	0.0427698	0.0288237	0.0464642	0.0310050	0.0431054	-0.0064265	0.8688890	-0.0533812	0.8504904	0.0587497	0.1172335	0.0288439	0.1140233	0.0959143	0.2774615	0.5640039
32	35.645	36.977	6.963	16.040	7.614	9.174	13.214	17.938	7.854	12.056	-0.015	19.041	0.1007815	0.0864627	0.1406489	0.0962165	0.1011851	0.0865503	0.1409666	0.0956890	-0.0388509	0.7849502	-0.0278805	0.7322313	0.2226165	0.2032761	0.1019013	0.1892392	0.1619771	0.2987282	0.4740897
33	45.641	37.680	7.957	16.989	12.534	11.298	15.314	16.188	9.835	12.417	1.665	21.499	0.1514943	0.0803030	0.1705862	0.0838780	0.1514204	0.0796958	0.1698096	0.0820322	0.0091548	0.7447732	0.0377766	0.7317021	0.2819095	0.2137726	0.1208692	0.2125096	0.1663516	0.2878758	0.3685988
34	30.277	32.771	0.501	3.491	9.453	12.095	8.473	11.471	11.850	15.593	-8.270	4.549	0.1417361	0.1223366	0.1351461	0.1170425	0.1417576	0.1211601	0.1344040	0.1155474	-0.0476329	0.7615515	0.0312797	0.8049757	0.1468425	0.1257182	0.0084015	0.0687576	0.0116235	0.1435346	0.7550206
35	65.017	44.930	6.044	13.162	29.094	23.858	19.874	16.591	10.004	12.698	0.020	18.299	0.2597921	0.1073502	0.1991175	0.0874877	0.2599966	0.1066025	0.1994188	0.0848947	0.0012710	0.6620762	-0.0362308	0.7344133	0.3665913	0.1533814	0.1371365	0.1716232	0.2102133	0.2297548	0.0941252
36	41.445	33.254	1.952	9.937	12.002	12.729	13.608	14.991	13.884	14.819	-6.473	10.648	0.1747697	0.1028284	0.1878800	0.1035307	0.1750561	0.1005130	0.1863947	0.0991604	-0.0538003	0.7539109	0.0195808	0.8030606	0.2129509	0.1214873	0.0316260	0.1039374	0.0593661	0.1854449	0.4719096
37	52.804	36.468	0.882	3.656	16.713	14.922	16.495	14.453	18.713	16.304	-7.307	7.149	0.2349573	0.0878669	0.2401935	0.0817265	0.2363851	0.0876084	0.2399715	0.0798658	-0.0598283	0.6050045	0.0026522	0.6497458	0.2528090	0.0878634	0.0152336	0.0775903	0.0236582	0.1407012	0.4107608
38	39.329	36.648	7.174	19.765	8.510	9.291	12.928	15.925	10.717	12.669	-1.377	19.629	0.1336896	0.0977022	0.1600165	0.0940472	0.1334341	0.0969251	0.1599817	0.0933233	0.0023360	0.7860847	0.0136638	0.7708681	0.2361970	0.1969521	0.0893440	0.2036955	0.1306020	0.3007429	0.5163449
39	58.826	41.261	2.176	6.473	19.238	16.247	19.675	16.728	17.738	19.632	-5.105	10.469	0.2467713	0.0958142	0.2507759	0.1008760	0.2481961	0.0952203	0.2510912	0.0995796	-0.0661174	0.6542699	-0.0088596	0.6662387	0.2923760	0.1095372	0.0436025	0.1018887	0.0743306	0.1746509	0.4473977
40	54.595	39.226	0.340	1.429	17.564	16.688	16.018	15.001	20.673	21.392	-8.425	3.404	0.2560215	0.1200995	0.2462174	0.1198996	0.2543080	0.1172137	0.2438538	0.1164231	0.0575263	0.7625906	0.0852368	0.8340696	0.2687771	0.1031123	0.0176577	0.0595549	0.0394332	0.1235220	0.4259433
41	56.662	44.590	2.915	11.601	17.529	16.994	16.641	15.889	19.577	19.024	-5.288	14.000	0.2497402	0.1138894	0.2398913	0.1152458	0.2495906	0.1107047	0.2406285	0.1145155	-0.0377812	0.6685113	-0.0399619	0.6579390	0.2858250	0.1485523	0.0410093	0.1480470	0.0539998	0.2020196	0.6292935
42	20.000	15.200	1.865	3.954	6.176	6.820	7.296	8.031	4.664	6.740	-5.915	7.698	0.0735035	0.0501925	0.0810130	0.0496637	0.0736365	0.0492792	0.0811338	0.0493480	-0.0190762	0.8138334	-0.0107032	0.8047621	0.1124211	0.0687303	0.0351629	0.0639917	0.1507599	0.2599400	0.4077980
43	61.458	42.267	8.072	16.081	20.423	17.101	21.799	18.749	11.165	16.526	3.543	19.360	0.2133654	0.0990456	0.2257252	0.0982120	0.2136406	0.0970132	0.2241771	0.0959898	-0.0408529	0.6773407	0.0687852	0.7217302	0.3604172	0.1574981	0.1408719	0.1731927	0.2157822	0.2580646	0.1905448
44	31.011	25.886	3.758	9.378	10.307	12.304	9.593	12.545	7.353	11.448	-4.579	10.123	0.1188403	0.1010253	0.1158360	0.0923727	0.1181330	0.0980060	0.1160504	0.0908474	-0.0141806	0.8595986	-0.0318551	0.8634557	0.1873698	0.1439126	0.0700317	0.1289289	0.1675935	0.2795633	0.3362823
45	49.494	43.374	16.682	28.884	14.950	15.471	9.630	9.683	8.231	13.367	6.902	25.007	0.1540362	0.0860232	0.1182828	0.0844226	0.1542757	0.0847954	0.1187246	0.0838403	-0.0321962	0.7274510	-0.0499126	0.7640900	0.3650098	0.2796080	0.2288504	0.3008713	0.2970912	0.3784819	0.4292766
46	39.950	28.483	1.311	3.789	13.505	11.714	16.593	15.153	8.542	9.762	-6.970	6.649	0.1540735	0.0786390	0.1695175	0.0738636	0.1535516	0.0767235	0.1705655	0.0735831	0.0090467	0.7488211	-0.0511277	0.6664795	0.1984445	0.0745107	0.0366490	0.0585839	0.1080100	0.1645081	0.3679026
47	7.270	17.010	1.294	10.084	1.490	3.362	2.667	6.511	1.819	3.501	-8.007	7.000	0.0239197	0.0378013	0.0299593	0.0486992	0.0237764	0.0370196	0.0303195	0.0490876	-0.0078314	0.8163224	-0.1016460	0.7766621	0.0425346	0.0997209	0.0155951	0.0854092	0.0424578	0.2024079	0.7185952
48	48.872	37.264	2.159	6.536	15.985	18.143	14.462	17.208	16.266	20.205	-6.072	8.170	0.2207763	0.1326468	0.2129812	0.1346141	0.2179492	0.1283459	0.2090895	0.1285404	0.0833269	0.9302458	0.1531928	1.0076070	0.2744617	0.1327458	0.0575829	0.1158585	0.1216694	0.2140521	0.3663059
49	61.194	49.888	36.534	37.384	12.769	11.713	9.229	9.036	2.662	6.743	19.540	26.319	0.1034667	0.0566106	0.0797059	0.0524077	0.1037683	0.0555629	0.0796731	0.0518482	-0.0511791	0.7920429	0.0236975	0.8143110	0.5689915	0.3129393	0.4774054	0.3266053	0.5756696	0.3813263	0.2288666
50	23.930	27.456	19.791	25.461	1.303	1.719	2.447	2.975	0.388	1.280	-3.429	10.404	0.0113547	0.0135341	0.0188750	0.0181200	0.0114048	0.0135302	0.0189082	0.0178787	-0.0191929	0.7538323	-0.0090015	0.8551276	0.2599381	0.2451097	0.2448233	0.2443813	0.6036943	0.4393000	0.1920286
51	25.298	20.513	0.157	1.150	7.848	7.999	7.240	9.185	10.052	11.054	-8.745	2.441	0.1211401	0.0693484	0.1134671	0.0740348	0.1211837	0.0678305	0.1134638	0.0730290	-0.0241701	0.7881061	-0.0062732	0.8247398	0.1205523	0.0646162	0.0032487	0.0333624	0.0156263	0.1297905	0.5744842
52	17.370	13.042	0.037	0.342	5.144	5.064	5.458	5.728	6.730	7.323	-8.974	0.602	0.0797224	0.0490597	0.0812995	0.0506082	0.0802228	0.0481329	0.0821773	0.0505684	-0.0974415	0.7331607	-0.1110124	0.7626218	0.0816206	0.0439042	0.0011096	0.0208907	0.0057219	0.1131710	0.5067990
53	42.667	37.805	9.521	14.175	20.000	21.496	8.660	9.841	4.486	9.897	5.538	18.443	0.1625636	0.1023340	0.0889217	0.0835035	0.1632032	0.1013338	0.0883541	0.0802602	-0.0667458	0.7171333	-0.0154909	0.8577917	0.2762583	0.1787190	0.1505158	0.1608277	0.2993094	0.2936996	0.2235419
54	45.606	35.328	4.508	10.150	13.582	12.463	16.410	15.848	11.105	13.926	-1.067	16.035	0.1650547	0.0858797	0.1825330	0.0879493	0.1658600	0.0855997	0.1838543	0.0875786	-0.0317725	0.7048523	-0.0952186	0.6624083	0.2521119	0.1411843	0.0783181	0.1368192	0.1398191	0.2481325	0.4161523
55	59.311	44.028	5.181	10.741	20.610	19.678	19.686	18.910	13.834	17.824	-0.238	15.886	0.2327162	0.1080086	0.2210112	0.0993929	0.2307109	0.1044265	0.2213343	0.0973096	0.0648737	0.7502354	-0.0447617	0.7083873	0.3308250	0.1597223	0.1039616	0.1597066	0.1528518	0.2349056	0.1930493
56	40.647	34.910	5.009	16.668	11.789	12.650	10.858	11.191	12.991	14.819	-3.911	15.736	0.1681630	0.0991349	0.1626120	0.1037668	0.1687538	0.0973933	0.1626092	0.1019767	-0.0917488	0.6846378	-0.0191078	0.7544747	0.2368632	0.1926912	0.0714757	0.1964135	0.0930265	0.2671608	0.6172531
57	64.640	47.295	0.292	1.354	20.527	18.284	19.057	18.411	24.763	23.383	-8.490	3.063	0.3003186	0.1125259	0.2843453	0.1142424	0.2990703	0.1094064	0.2851168	0.1136884	0.0284958	0.7102410	-0.0167821	0.7089484	0.3081990	0.0958664	0.0158669	0.0670335	0.0274574	0.1150833	0.2343693
58	26.926	21.407	1.226	4.791	8.895	9.527	7.632	8.105	9.174	10.223	-6.895	7.711	0.1216819	0.0676558	0.1131873	0.0652377	0.1217255	0.0664226	0.1130517	0.0642515	-0.0323265	0.7580038	0.0020540	0.7871079	0.1405563	0.0956675	0.0231216	0.0802852	0.0530912	0.1863519	0.4766689
59	39.120	31.294	1.530	5.437	14.028	15.050	10.732	10.743	12.830	14.803	-6.396	9.073	0.1792000	0.0975930	0.1576768	0.0943075	0.1802101	0.0965967	0.1583826	0.0950246	-0.0761898	0.6897139	-0.0238595	0.7607775	0.1974627	0.1122077	0.0290242	0.0860180	0.0547662	0.1803763	0.4277965
60	43.906	33.653	1.449	5.305	13.678	14.083	13.488	13.244	15.290	16.241	-6.691	7.778	0.1945697	0.1095564	0.1937487	0.1090984	0.1928118	0.1065402	0.1934672	0.1064430	0.0678753	0.8098796	-0.0316758	0.7504506	0.2239507	0.1250716	0.0297915	0.1017080	0.0533493	0.1807324	0.5448769
61	31.856	31.846	2.475	7.798	6.983	9.889	12.401	16.382	9.996	15.604	-5.616	9.722	0.1144903	0.1177721	0.1520501	0.1199045	0.1135985	0.1149866	0.1516573	0.1175030	0.0261978	0.8427005	-0.0208601	0.8014929	0.1786342	0.1410152	0.0453640	0.1094614	0.1053977	0.2420050	0.5533970
62	63.787	45.402	6.662	13.454	21.460	19.283	20.793	18.655	14.872	17.950	1.603	19.460	0.2465606	0.1007120	0.2398096	0.1041888	0.2464005	0.0997284	0.2409240	0.1024024	-0.0028339	0.6979453	-0.0741972	0.6438855	0.3538091	0.1597768	0.1106239	0.1800160	0.1554956	0.2512402	0.3149642
63	44.007	42.000	10.682	24.706	11.547	12.639	11.965	12.758	9.813	12.157	2.065	23.326	0.1430004	0.0774972	0.1477250	0.0824557	0.1422229	0.0747170	0.1470806	0.0801590	0.0208545	0.8034582	0.0244059	0.7897767	0.2826638	0.2416748	0.1373013	0.2529960	0.1752871	0.3304738	0.4614468
64	51.978	43.039	10.610	18.560	9.921	10.812	20.856	22.510	10.591	15.785	5.322	23.510	0.1388483	0.1193687	0.2128355	0.1076908	0.1395969	0.1199351	0.2133041	0.1070421	-0.0233073	0.7559626	-0.0290758	0.6887723	0.3334474	0.2102401	0.1576055	0.2212566	0.2302489	0.3217337	0.3788867
65	52.516	42.130	2.471	6.186	19.118	19.762	16.089	15.972	14.837	17.805	-4.244	11.593	0.2269292	0.1078566	0.2039192	0.1117763	0.2270196	0.1061866	0.2038804	0.1114841	-0.0234616	0.6657115	0.0168099	0.7266763	0.2673270	0.1318922	0.0519030	0.1120067	0.0897696	0.1933139	0.4513629
66	34.512	34.438	0.257	2.838	10.719	13.558	9.976	12.965	13.560	15.901	-8.617	4.451	0.1670896	0.1272495	0.1633781	0.1329463	0.1671745	0.1259226	0.1637456	0.1323011	-0.0595900	0.7535273	-0.0617346	0.7027368	0.1672233	0.1256434	0.0019895	0.0494833	0.0037417	0.1141901	0.7875021
67	13.780	10.387	1.627	2.967	5.427	5.578	5.329	4.767	1.397	2.927	-6.911	6.382	0.0453570	0.0274653	0.0462830	0.0279840	0.0456398	0.0273792	0.0465849	0.0278808	-0.0561996	0.8004271	-0.0561497	0.8348343	0.0778158	0.0403500	0.0319958	0.0362453	0.2438899	0.2434360	0.2378863
68	15.909	17.352	4.172	13.071	4.871	5.249	4.841	5.378	2.026	3.404	-6.089	9.055	0.0462416	0.0329983	0.0467191	0.0374004	0.0460123	0.0317170	0.0465362	0.0363445	-0.0148863	0.8769259	0.0103227	0.9030023	0.1051276	0.1206514	0.0586472	0.1210800	0.2290270	0.2903795	0.2205507
69	49.405	33.311	0.155	0.874	15.658	12.313	15.625	14.523	17.967	15.032	-8.730	2.209	0.2309531	0.0915965	0.2283152	0.0919328	0.2324960	0.0901085	0.2296962	0.0904599	-0.0823582	0.6057926	-0.0676961	0.6294778	0.2321547	0.0760362	0.0025205	0.0400628	0.0073622	0.0892927	0.4554651
70	68.610	47.738	21.673	20.155	23.795	19.747	19.616	17.257	3.527	10.322	22.102	23.876	0.1826787	0.0786871	0.1527775	0.0756393	0.1827264	0.0763512	0.1531549	0.0746753	-0.0250677	0.7323802	-0.0381477	0.7272273	0.5007687	0.1735009	0.3330410	0.1946606	0.4735826	0.2686428	0.0520089
71	59.994	41.152	1.277	4.217	19.076	15.113	20.211	18.505	19.431	19.115	-6.529	8.399	0.2605888	0.1002363	0.2631525	0.0912029	0.2629578	0.1016877	0.2643954	0.0911214	-0.0743042	0.6022398	-0.0283909	0.6099900	0.2871720	0.0923361	0.0253014	0.0850626	0.0430436	0.1524077	0.3827404
72	29.004	24.645	0.551	5.611	8.834	9.605	8.183	9.551	11.436	11.753	-8.564	4.204	0.1381385	0.0839377	0.1325428	0.0812106	0.1376635	0.0820752	0.1322737	0.0810167	0.0183759	0.7913774	0.0346131	0.8151991	0.1424588	0.0940143	0.0071182	0.0691147	0.0145764	0.1337066	0.6206536
73	35.466	30.617	1.170	6.514	11.606	12.341	9.691	10.688	12.998	14.483	-7.680	7.011	0.1668470	0.1089066	0.1539587	0.1075455	0.1668407	0.1075934	0.1543391	0.1073703	-0.0470006	0.6908929	-0.0063669	0.7420679	0.1818799	0.1219538	0.0214772	0.0900370	0.0472568	0.1779308	0.6740903
74	51.787	41.522	2.168	6.602	20.599	24.619	13.941	16.411	15.079	18.106	-5.684	9.438	0.2407802	0.1394242	0.2003390	0.1340143	0.2394866	0.1354038	0.1983999	0.1311268	0.0078008	0.8233498	0.0669742	0.9026050	0.2741877	0.1454394	0.0536280	0.1110137	0.0921215	0.1898110	0.2901815
75	63.952	44.731	1.741	9.533	19.414	16.927	19.272	18.083	23.525	19.863	-6.756	11.805	0.2893897	0.1154965	0.2861767	0.1103741	0.2913375	0.1140871	0.2884457	0.1106092	-0.0778684	0.5961525	-0.0732669	0.6025189	0.3068328	0.1138063	0.0190497	0.1091345	0.0262214	0.1559311	0.5047503
76	53.956	39.860	4.946	11.073	16.754	15.137	18.484	18.435	13.771	15.954	-0.318	17.566	0.2084266	0.0906790	0.2203989	0.0873555	0.2091368	0.0899299	0.2208183	0.0879133	-0.0445367	0.6529444	-0.0011187	0.6442909	0.2886977	0.1322466	0.0742850	0.1401406	0.1207104	0.2345399	0.4059477
77	63.397	50.677	12.213	19.133	14.397	14.482	25.262	24.443	11.525	20.310	8.109	22.877	0.1681764	0.1300630	0.2456466	0.1175511	0.1684013	0.1292830	0.2460051	0.1141813	-0.0328740	0.7492330	-0.0530355	0.6736813	0.3948267	0.2040318	0.1879153	0.2243964	0.2642737	0.3071859	0.4258556
78	13.168	10.367	0.440	1.858	4.214	4.945	4.081	4.620	4.433	5.823	-8.325	3.563	0.0593414	0.0419165	0.0583946	0.0429902	0.0592616	0.0407599	0.0581246	0.0420543	-0.0204784	0.8215073	-0.0018437	0.8414773	0.0674388	0.0430821	0.0085708	0.0301165	0.0618285	0.1961477	0.5805792
79	20.782	17.800	0.638	2.421	6.333	7.370	8.074	9.144	5.738	6.419	-7.843	5.453	0.0815105	0.0522663	0.0919968	0.0505987	0.0820410	0.0529863	0.0932067	0.0516873	-0.0268395	0.7984965	-0.0991346	0.6643111	0.0987633	0.0541233	0.0120097	0.0345934	0.0510150	0.1541625	0.4045967
80	25.353	21.518	0.262	2.482	6.793	8.049	7.786	9.431	10.512	12.008	-8.632	3.647	0.1202746	0.0837544	0.1238386	0.0821326	0.1184498	0.0821077	0.1232480	0.0801359	0.1474511	0.8998420	0.0029386	0.8136616	0.1261504	0.0774776	0.0040938	0.0422790	0.0221197	0.1492889	0.5853978
81	20.436	14.836	0.078	0.619	6.569	5.962	6.673	6.045	7.116	7.620	-8.900	1.160	0.0928568	0.0528061	0.0948526	0.0552682	0.0937118	0.0515464	0.0954283	0.0526392	-0.1320033	0.7008727	-0.1209149	0.6934054	0.0948687	0.0478695	0.0010140	0.0217620	0.0054227	0.0982327	0.6294203
