spA	spB	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1	pSIv2	pIMHomov1	pIMHomov2	pIMHeterov1	pIMHeterov2	pAMHomov1	pAMHomov2	pAMHeterov1	pAMHeterov2	pSCHomov1	pSCHomov2	pSCHeterov1	pSCHeterov2	pPanmixiav1	pPanmixiav2
Culex_pipiensTRO	Culex_torrentium	9.653	11.432	5.749	10.044	2.07	2.338	1.781	1.894	0.053	0.224	-5.656	7.392	0.0173231	0.0171154	0.0151258	0.0152917	0.0174431	0.0172461	0.0153699	0.0154404	-0.0121276	0.8036065	-0.0775241	0.7381653	0.1054969	0.0961273	0.0892726	0.096259	0.6986337	0.2154641	0.1269691	0.0205	0.04974	0.00002	0.00021	0.06403	0.03405	0.23006	0.0398	0.38534	0.10849	0.00039	0.00036	0.0363	0.03068	0.00002	0.00002
Echinocardium_mediterraneumEST	Echinocardium_mediterraneumWES	5.197	3.753	0.014	0.128	1.767	1.876	1.708	1.923	1.708	1.978	-9	0	0.0274026	0.0204684	0.0269411	0.0212151	0.0278237	0.0205284	0.0271429	0.020825	-0.1483171	0.7711492	-0.118635	0.7716751	0.0274613	0.0177011	0.0002895	0.0072972	0.0075962	0.1223378	0.497573	0.03165	0.00154	0.25655	0.11612	0.10257	0.01711	0.06222	0.00479	0.04113	0.00119	0.16942	0.0922	0.07353	0.01197	0.01491	0.00311
Eudyptes_filholi	Eudyptes_moseleyi	4.272	4.249	0.603	2.763	1.838	1.778	1.139	1.374	0.692	2.216	-8.921	0.978	0.0103706	0.0119452	0.007969	0.0126117	0.010575	0.0127285	0.0081268	0.0134263	-0.0799714	0.7653152	0.0227795	0.8448281	0.0156176	0.0220329	0.0064477	0.021312	0.2288458	0.2600834	0.6381313	0.0001	0.00398	0.00097	0.02325	0.0066	0.46616	0.00176	0.06213	0.00035	0.02888	0.00116	0.02149	0.00918	0.37396	0.00001	0.00001
Hippocampus_guttulatusCRO	Hippocampus_guttulatusTHA	2.385	0.733	0.015	0.121	0.644	0.815	0.933	0.857	0.793	0.955	-9	0	0.0055674	0.0055645	0.006729	0.0052174	0.0054835	0.0053251	0.0068901	0.0053206	0.0366737	0.9181688	-0.1532016	0.8199035	0.006839	0.0046575	0.0006909	0.0031735	0.0569875	0.1825814	0.2475157	0.0005	0.00005	0.42309	0.01865	0.00573	0.00122	0.00179	0.00012	0.00017	0.00006	0.30366	0.01674	0.00498	0.00106	0.21597	0.0062
Hippocampus_guttulatusPOR	Hippocampus_guttulatusCRO	2.755	1.35	0.011	0.103	1.516	1.663	0.537	0.79	0.691	1.019	-9	0	0.0089768	0.0087277	0.0045509	0.0056436	0.009268	0.0092629	0.0044525	0.0052485	-0.1150191	0.8640619	0.0664446	0.8511135	0.0108446	0.0109888	0.0040808	0.0079965	0.149524	0.2380037	-0.2091265	0.00003	0.00025	0.47111	0.03017	0.04423	0.00684	0.00144	0.00058	0.00013	0.00043	0.33695	0.03006	0.03295	0.00572	0.02658	0.01254
Hippocampus_guttulatusPOR	Hippocampus_guttulatusTHA	2.624	1.337	0	0	1.291	1.752	0.641	0.814	0.692	0.995	-9	0	0.0097584	0.0104132	0.0064924	0.0074373	0.009936	0.0109785	0.006573	0.0076532	0.0084467	0.9159865	-0.0763179	0.7234849	0.0119358	0.0123769	0.0038104	0.0090314	0.1274285	0.2349828	0.055974	0.00002	0.00011	0.38463	0.15519	0.0181	0.01171	0.00033	0.00038	0.00004	0.00019	0.27682	0.12643	0.01489	0.00973	0.00105	0.00039
Hippocampus_hippocampus	Hippocampus_guttulatusTHA	5.3	4.57	4.131	4.146	0.889	1.113	0.276	0.619	0.004	0.061	-8.676	2.295	0.0048182	0.0065234	0.0015342	0.0038439	0.0049123	0.0065441	0.0015652	0.0039648	-0.0975979	0.5919898	-0.0186038	0.4356032	0.0502982	0.0829875	0.047122	0.0831445	0.8563048	0.1689717	-0.0442767	0.00199	0.04206	0.00004	0.00003	0.00915	0.00838	0.33532	0.17195	0.27903	0.13266	0.00009	0.00015	0.00727	0.01184	0.00002	0.00002
Lepus_granatensisESP	Lepus_granatensisPOR	3.926	2.555	0.017	0.13	1.205	1.379	1.222	1.509	1.483	1.642	-9	0	0.0101269	0.0089643	0.0102944	0.0087635	0.0099969	0.0084145	0.0103769	0.0089653	0.0292015	0.8720544	-0.0462188	0.8025691	0.0103308	0.0082171	0.0001201	0.0030657	0.0009902	0.12129	0.5885581	0.00249	0.00047	0.05712	0.01097	0.00193	0.00048	0.00192	0.00036	0.00422	0.00068	0.04548	0.00835	0.00204	0.00042	0.76589	0.09717
Mytilus_galloprovincialis	Mytilus_edulis	8.201	6.575	0.804	2.367	2.918	3.039	2.98	3.16	1.5	2.282	-8.432	3.217	0.0364677	0.0291942	0.0359476	0.0278493	0.0370728	0.0293525	0.0367	0.0280719	-0.1459781	0.7093821	-0.1881567	0.6696153	0.0550759	0.0448786	0.0188683	0.0408005	0.1844009	0.2658886	0.346627	0.00003	0.0657	0.00022	0.00208	0.0494	0.32472	0.00068	0.00507	0.00064	0.01016	0.00044	0.03366	0.02423	0.48298	0	0
Mytilus_galloprovincialisATL	Mytilus_galloprovincialisMED	7.918	6.323	0.131	0.887	3.024	3.179	2.554	2.807	2.209	3.096	-8.898	1.311	0.0402216	0.0300645	0.0367833	0.0308333	0.040775	0.0298536	0.0368481	0.0308157	-0.1636385	0.7451901	-0.0047905	0.8518474	0.0426612	0.0287669	0.0041588	0.015133	0.0522019	0.1525796	0.4608499	0.00219	0.03588	0.00231	0.02316	0.08799	0.4035	0.00364	0.06684	0.00426	0.04919	0.00152	0.01584	0.04875	0.25474	0.00015	0.00004
