spA	spB	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1	pSIv2	pIMHomov1	pIMHomov2	pIMHeterov1	pIMHeterov2	pAMHomov1	pAMHomov2	pAMHeterov1	pAMHeterov2	pSCHomov1	pSCHomov2	pSCHeterov1	pSCHeterov2	pPanmixiav1	pPanmixiav2
Eunicella_cavolinii	Eunicella_verrucosa	4.052	3.211	0.86	2.803	1.194	1.215	1.78	1.586	0.218	0.538	-8.965	0.817	0.0113223	0.0113068	0.0159702	0.0137916	0.0114681	0.011388	0.0162058	0.0139624	-0.0584808	0.7880312	-0.085874	0.7621012	0.034817	0.0739619	0.0211708	0.0742526	0.3494966	0.2912994	0.0370602	0.00058	0.00445	0.001	0.00082	0.18551	0.02214	0.16514	0.04698	0.03001	0.01408	0.0031	0.00348	0.47877	0.04392	0	0
Gorilla_eastern	gorilla_western	5.769	1.423	0.154	0.555	1	1.528	4.077	2.499	0.538	0.877	-9	0	0.0009396	0.0011455	0.0014562	0.0009475	0.000846	0.0009141	0.0014236	0.0007384	0.0812982	0.9703292	0.0378124	0.9656348	0.0020249	0.001328	0.000827	0.001098	0.1659924	0.4091927	-0.4729266	0.00021	0.0014	0.05852	0.3569	0.02089	0.08411	0.00165	0.00453	0.0006	0.0025	0.05318	0.3216	0.01687	0.0743	0.00059	0.00216
Lineus_longissimus	Lineus_lacteus	41.0647635279	39.7212160254	33.2377503196	31.8933333537	3.6459309757	5.0475475227	4.0549637836	6.2740724707	0.1261184491	0.4591909464	5.7315722199	17.8226185892	0.0187543833	0.0185153391	0.0193383152	0.0206154863	0.0189300822	0.0185395191	0.0193669756	0.0202674988	-0.0846103092	0.6647137595	-0.0642683733	0.6822598507	0.3276742158	0.1040702249	0.3086278666	0.1017628435	0.9017127798	0.0732992578	0.1829400123	0.0243	0.10382	0	0	0.00007	0.00018	0.0731	0.28159	0.10982	0.40622	0.00001	0.00003	0.00018	0.00068	0	0
Necora_puberATL	Necora_puberMED	4.628	3.803	0.008	0.088	1.641	1.65	1.577	1.606	1.402	1.729	-9	0	0.011907	0.0106623	0.0118939	0.0106395	0.0121154	0.0107651	0.0120245	0.0104811	-0.1701223	0.7224216	-0.1140429	0.7387974	0.0120509	0.0096081	0.0001505	0.0028813	0.0082181	0.1091139	0.5655324	0.00589	0.02001	0.01011	0.41106	0.00907	0.05661	0.00749	0.054	0.00467	0.01979	0.01165	0.34421	0.00872	0.03672	0	0.00001
lissotriton_vulgaris_kosswigi	lissotriton_vulgaris_vulgaris	32.429	16.811	5.429	6.828	10.429	7.678	15	8.851	1.571	3.309	-0.143	11.697	0.0105114	0.0057858	0.0095032	0.0056298	0.0105966	0.005507	0.0108005	0.0042726	-0.0807965	0.8753456	-0.6819111	1.1873085	0.0308234	0.011306	0.0208161	0.0107679	0.4780788	0.1834738	0.7214426	0.00092	0.02499	0.00094	0.00333	0.03997	0.21025	0.04846	0.27076	0.02339	0.17583	0.00096	0.00359	0.03045	0.16612	0.00002	0.00003
Lutzomyia_intermedia	Lutzomyia_whitmani	11	10.176	0.1	0.316	4.5	3.472	4.6	3.921	1.8	3.393	-9	0	0.0171018	0.0099852	0.0193891	0.0182314	0.0245474	0.0137009	0.0270421	0.0156952	-0.8741465	0.7544408	-0.9480662	0.7199652	0.0313694	0.0216051	0.0131239	0.0118259	0.1880566	0.2430912	0.7787066	0.05629	0.12529	0.00005	0.0001	0.01085	0.03357	0.09174	0.24996	0.10288	0.26187	0.00068	0.00046	0.01852	0.04772	0.00001	0.00001
macaca_mulatta	macaca_fascicularis	25.375	28.069	0	0	6.438	7.402	11.062	11.162	7.875	13.129	-9	0	0.0092255	0.0132317	0.0121741	0.0144676	0.0089893	0.0125624	0.011491	0.0135252	0.2868198	0.99234	0.0795054	0.9339258	0.0127184	0.0139489	0.0020186	0.0017957	0.141453	0.1779794	0.9476858	0	0.00615	0	0.00614	0.00005	0.48447	0.00001	0.11232	0.00001	0.0457	0	0.00442	0.0001	0.34064	0	0
malurus_melanocephalus_TE	malurus_melanocephalus_CY	32.735	17.46	0	0	5.618	4.716	17.735	10.737	9.382	7.418	-9	0	0.0119024	0.0069166	0.0121757	0.0072742	0.0130724	0.0073319	0.0164936	0.0085654	-0.418618	0.7621757	-0.8772585	0.896928	0.0127898	0.0065406	0.0007508	0.0014282	0.0253959	0.1279273	0.7665069	0	0.00038	0	0.00167	0.00021	0.51226	0.00001	0.04276	0.00002	0.05498	0	0.00197	0.00019	0.38555	0	0
Melitaea_cinxiaEUR	Melitaea_cinxiaMAR	6.147	5.418	1.108	1.484	2.974	2.94	1.764	2.208	0.301	1.609	-8.662	2.405	0.0221254	0.0174149	0.0136499	0.0148978	0.0221613	0.0173146	0.0135372	0.0143232	-0.0103686	0.801824	-0.0205336	0.7879405	0.0393526	0.0232862	0.0214649	0.0203925	0.3898362	0.2669346	0.128743	0.03567	0.00617	0.00045	0.00026	0.01408	0.00769	0.36073	0.25744	0.21662	0.07713	0.0007	0.00069	0.01657	0.0058	0.00001	0.00001
Melitaea_cinxia	Mellicta_athalia	14.393	11.321	7.919	6.883	2.546	3.256	3.813	4.167	0.115	0.35	-1.049	10.45	0.0181773	0.01745	0.0262939	0.0215077	0.0182723	0.0173896	0.0265304	0.021491	-0.0357915	0.7457602	-0.0728351	0.7573562	0.1381606	0.0777765	0.115925	0.0759968	0.7399855	0.1615936	0.2385369	0.00562	0.00428	0	0	0.00001	0.00002	0.41362	0.26364	0.23875	0.07377	0.00022	0	0.00002	0.00004	0	0
Messor_barbarus	Messor_structor	10.908	11.588	6.376	9.003	1.99	2.53	2.507	2.776	0.035	0.198	-3.876	9.011	0.0070087	0.007761	0.0100174	0.0092325	0.0066898	0.0075026	0.0082638	0.007709	0.3497764	0.8976521	1.4911828	0.8022475	0.0539694	0.0766206	0.0454563	0.0765075	0.7034869	0.1835628	0.0185379	0.00775	0.00169	0	0	0.00009	0.0006	0.6759	0.06578	0.23487	0.0128	0	0.00001	0.00006	0.00044	0	0
Mus_domesticus	Mus_musculus	16.123	9.22	4.018	6.334	4.684	4.248	6.386	6.355	1.035	2.679	-5.421	7.826	0.0024636	0.0023488	0.0030896	0.0030328	0.0025623	0.0022182	0.0032748	0.0028128	-0.2619419	1.0163127	-0.3522151	1.1231743	0.0104545	0.0048646	0.0076779	0.005262	0.5596651	0.2787807	0.3891553	0.00001	0.0007	0.0002	0.00381	0.02155	0.22869	0.00004	0.00081	0.00004	0.00119	0.0088	0.11812	0.05214	0.5639	0	0
Oryctolagus_algirus	Oryctolagus_cuniculus	68.7	26.171	0	0	21.3	9.799	27.8	38.712	19.6	9.834	-9	0	0.0060855	0.0031916	0.0100665	0.0130074	0.0083596	0.00317	0.0103047	0.0092641	-0.790913	0.8636652	-0.4912178	0.9300386	0.0106698	0.0079017	0.0025938	0.0032554	0.1347283	0.1781657	-0.5126846	0.00002	0.00102	0	0.00601	0.00027	0.22453	0.00007	0.00172	0.00011	0.0031	0.00003	0.03646	0.00105	0.72561	0	0
Parus_caeruleusCOR	Parus_caeruleusCON	2.919	1.419	0.013	0.111	0.95	1.109	1.044	0.993	0.913	0.948	-9	0	0.013575	0.013989	0.0136032	0.0105354	0.0135047	0.0143583	0.0137523	0.0102377	0.0332495	0.8553033	-0.1351321	0.7726504	0.0143591	0.0091241	0.00077	0.0038202	0.0328714	0.1401008	0.1063693	0.0111	0.00059	0.46685	0.01946	0.04844	0.00314	0.01245	0.00071	0.00471	0.00046	0.32791	0.01439	0.03898	0.00204	0.04756	0.00119
Physa_acuta	Physa_gyrina	18.8769063181	19.3239921959	11.0860566449	12.6628197	5.0272331155	6.443472784	2.6002178649	3.8244293031	0.1633986928	0.4892410566	0.9455337691	12.9176266465	0.030557306	0.0297265623	0.0171778197	0.0210036012	0.0306920831	0.0298675142	0.0166252265	0.020532956	-0.0224611361	0.7314361196	0.289648599	0.8926317297	0.1486721294	0.0963061834	0.1248045676	0.0907310782	0.7508281699	0.1689618545	0.4065909211	0.00084	0.00746	0	0	0.00001	0.00004	0.02651	0.77613	0.0166	0.17231	0	0	0.00002	0.00009	0	0
Reticulitermes_grassei	Reticulitermes_flavipes	4.951	5.401	3.464	5.051	0.376	0.908	1.103	1.502	0.007	0.084	-8.491	2.87	0.0010708	0.0026674	0.0033282	0.0051993	0.0010717	0.002599	0.0032563	0.0049804	-0.0143948	0.4878474	0.0825294	0.7973125	0.027076	0.0815797	0.0248765	0.0816287	0.8140752	0.2071481	0.048305	0.00599	0.04082	0.00012	0.00017	0.04265	0.01362	0.43926	0.08728	0.19572	0.06094	0.00018	0.00043	0.08247	0.03026	0.00004	0.00004
Anas_crecca_Shemya	Anas_crecca_Adak	15.833	13.556	0	0	3.667	1.862	2.167	1.722	10	12.617	-9	0	0.0093392	0.0126168	0.0087122	0.0120364	0.0128961	0.0128919	0.0099212	0.0109116	-1.3520508	0.5989184	-0.6928613	0.8260794	0.0091003	0.0122023	0.0000746	0.0002558	-0.0071005	0.0688495	0.9954466	0.00008	0.01868	0.00016	0.03998	0.00006	0.01854	0.00006	0.01335	0.00019	0.01171	0.00011	0.04488	0.00007	0.01633	0.00416	0.83164
Anas_crecca_Shemya	Anas_crecca_Attu	15.667	13.095	0	0	4	2.366	2	1.265	9.667	12.193	-9	0	0.0094692	0.0129269	0.0076228	0.0101542	0.012894	0.0128919	0.0085677	0.009379	-1.337763	0.6304718	-0.6873857	0.6424107	0.0088948	0.012267	0.0003488	0.0007414	-0.0702091	0.1434048	0.9981594	0.00023	0.04126	0.00026	0.17062	0.00022	0.03411	0.00011	0.0443	0.00008	0.05569	0.00081	0.19199	0.00008	0.03283	0.00037	0.42705
Thymelicus_sylvestris	Thymelicus_lineola	30.541	24.472	19.259	16.456	4.685	5.353	6.371	6.634	0.226	0.588	8.839	15.024	0.0223674	0.0205162	0.0290023	0.0227924	0.0224252	0.0205365	0.0290842	0.0227829	-0.0210793	0.7347167	-0.0157978	0.7706476	0.1951819	0.0837778	0.1694972	0.0793857	0.78517	0.1227342	0.1893264	0.02856	0.0089	0	0	0.00001	0.00002	0.25166	0.25909	0.19749	0.25416	0.00001	0.00001	0.00002	0.00006	0	0
Abatus_cordatus	Abatus_agassizi	5.797	5.442	3.53	4.881	0.717	1.026	1.513	2.122	0.037	0.287	-8.303	3.472	0.00381	0.0065157	0.0074449	0.0109872	0.0038261	0.0066457	0.0075174	0.0111118	0.0332813	0.7103879	-0.0332006	0.7262031	0.0446001	0.0916118	0.0389727	0.0920055	0.6968597	0.284429	0.1933024	0.00236	0.04326	0.00083	0.00067	0.0629	0.04932	0.21477	0.12946	0.18441	0.13583	0.00006	0.00161	0.08821	0.08625	0.00003	0.00003
Abatus_cordatusHTE	Abatus_cordatusHAL	3.045	1.546	0.018	0.134	1.45	1.333	0.991	1.057	0.586	0.879	-9	0	0.0090008	0.0089092	0.0077402	0.0089667	0.0089444	0.0082815	0.0079283	0.0094725	-0.0981262	0.8255268	-0.008844	0.8794179	0.0093212	0.0072441	0.0009508	0.0029631	0.0657953	0.1496044	0.1909319	0.00699	0.01041	0.29343	0.10099	0.06002	0.05538	0.02494	0.018	0.00543	0.00916	0.23769	0.08218	0.05162	0.0437	0.00005	0.00001
Allolobophora_L2a	Allolobophora_L2bESP	10.258	8.552	2.522	2.832	4.24	4.841	3.04	3.888	0.455	1.103	-7.033	5.717	0.035243	0.0294372	0.0273098	0.0291814	0.0351146	0.0289686	0.0269597	0.0284455	0.0103329	0.7946423	0.0522482	0.8694367	0.0805042	0.0372652	0.0492278	0.0333476	0.4850508	0.2592537	0.2098794	0.00006	0.00029	0	0.00003	0	0.00056	0.0003	0.71852	0.00079	0.27899	0	0.0001	0.00001	0.00034	0	0
