spA	spB	status
Abatus_cordatus	Abatus_agassizi	1
Abatus_cordatusHTE	Abatus_cordatusHAL	0
Allolobophora_L2a	Allolobophora_L2bESP	0
Allolobophora_L2bESP	Allolobophora_L1	0
Anas_crecca_Adak	Anas_crecca_Attu	0.5
Anas_crecca_Shemya	Anas_crecca_Attu	0.5
Anas_crecca_Shemya	Anas_crecca_Adak	0.5
Armadillidium_vulgare	Armadillidium_nasatum	1
Armadillidium_vulgareAM	Armadillidium_vulgareEU	0
Artemia_franciscana	Artemia_sinica	1
Artemia_franciscanaCH	Artemia_franciscanaAMN	0
Artemia_franciscanaFR	Artemia_franciscanaCH	0
Artemia_franciscanaFR	Artemia_franciscanaAMN	0
Caenorhabditis_brenneri	Caenorhabditis_sp10	1
Caenorhabditis_brenneriIND	Caenorhabditis_brenneriGUY	0
Camponotus_ligniperdus	Camponotus_aethiops	1
cioneA	cioneB	1
CioneB_france	CioneB_canada	0
Crepidula_fornicata	Crepidula_plana	1
Culex_pipiensTRO	Culex_pipiensMED	0.5
Culex_pipiensTRO	Culex_torrentium	1
Cystodytes_dellechiajei_purple	Cystodytes_dellechiajei_blue	0
Echinocardium_mediterraneum	Echinocardium_cordatum_B2	1
Echinocardium_mediterraneumEST	Echinocardium_mediterraneumWES	0
Emys_orbicularis	Trachemys_scripta	1
Emys_orbicularisEUE	Emys_orbicularisEUW	0
Eudyptes_filholi	Eudyptes_moseleyi	1
Eudyptes_moseleyi	Aptenodytes_patagonicus	1
Eunicella_cavolinii	Eunicella_verrucosa	1
Gorilla_eastern	gorilla_western	0.5
Hippocampus_guttulatusCRO	Hippocampus_guttulatusTHA	0
Hippocampus_guttulatusPOR	Hippocampus_guttulatusCRO	0
Hippocampus_guttulatusPOR	Hippocampus_guttulatusTHA	0
Hippocampus_hippocampus	Hippocampus_guttulatusTHA	1
Lepus_granatensisESP	Lepus_granatensisPOR	0
Lineus_longissimus	Lineus_lacteus	1
lissotriton_vulgaris_kosswigi	lissotriton_vulgaris_vulgaris	0.5
Lutzomyia_intermedia	Lutzomyia_whitmani	1
macaca_mulatta	macaca_fascicularis	1
malurus_melanocephalus_TE	malurus_melanocephalus_CY	0.5
Melitaea_cinxia	Mellicta_athalia	1
Melitaea_cinxiaEUR	Melitaea_cinxiaMAR	0
Messor_barbarus	Messor_structor	1
Mus_domesticus	Mus_musculus	0.5
Mytilus_galloprovincialis	Mytilus_edulis	1
Mytilus_galloprovincialisATL	Mytilus_galloprovincialisMED	0
Necora_puberATL	Necora_puberMED	0
Necora_puberATL	Liocarcinus_depurator	1
Oryctolagus_algirus	Oryctolagus_cuniculus	1
Ostrea_edulisATL	Ostrea_edulisMED	0
Ostrea_edulisATLdan	Ostrea_edulisATLfr	0
Ostrea_edulisMED	Ostrea_chilensis	1
Parus_caeruleusCOR	Parus_caeruleusCON	0.5
Pectinaria_koreniSUD	Pectinaria_koreniNOR	0
Physa_acuta	Physa_gyrina	1
Reticulitermes_grassei	Reticulitermes_flavipes	1
rhomboidalis	rubrigularis	1
Sepia_officinalisBRE	Sepia_officinalisITA	0
Sepia_officinalisSET	Sepia_officinalisBRE	0
Sepia_officinalisSET	Sepia_officinalisITA	0
Thymelicus_sylvestris	Thymelicus_lineola	1
