spA,spB,species_status_NG,popphyl,taxonomy1,taxonomy2,habitat,propagule_size,longevity,sxB_avg,sxB_std,ss_avg,ss_std,Wald_avg,Wald_std,piA_avg,piA_std,piB_avg,piB_std,thetaA_avg,thetaA_std,thetaB_avg,thetaB_std,DtajA_avg,DtajA_std,DtajB_avg,DtajB_std,divAB_avg,divAB_std,netdivAB_avg,netdivAB_std,FST_avg,FST_std,corr_pi,pSIv1_MHetero_NHetero,pSIv2_Mhetero_Nhetero,pIMHomov1_Mhetero_Nhetero,pIMHomov2_Mhetero_Nhetero,pIMHeterov1_Mhetero_Nhetero,pIMHeterov2_Mhetero_Nhetero,pAMHomov1_Mhetero_Nhetero,pAMHomov2_Mhetero_Nhetero,pAMHeterov1_Mhetero_Nhetero,pAMHeterov2_Mhetero_Nhetero,pSCHomov1_Mhetero_Nhetero,pSCHomov2_Mhetero_Nhetero,pSCHeterov1_Mhetero_Nhetero,pSCHeterov2_Mhetero_Nhetero,pPanmixiav1_Mhetero_Nhetero,pPanmixiav2_Mhetero_Nhetero,Pongoing_migration_Mhetero_Nhetero,pSIv1_MHetero_NHomo,pIMHomov1_Mhetero_Nhomo,pIMHeterov1_Mhetero_Nhomo,pAMHomov1_Mhetero_Nhomo,pAMHeterov1_Mhetero_Nhomo,pSCHomov1_Mhetero_Nhomo,pSCHeterov1_Mhetero_Nhomo,pPanmixiav1_Mhetero_Nhomo,Pongoing_migration_Mhetero_Nhomo,pSIv1_MHomo_NHetero,pSIv2_Mhomo_Nhetero,pIMHomov1_Mhomo_Nhetero,pIMHomov2_Mhomo_Nhetero,pAMHomov1_Mhomo_Nhetero,pAMHomov2_Mhomo_Nhetero,pSCHomov1_Mhomo_Nhetero,pSCHomov2_Mhomo_Nhetero,pPanmixiav1_Mhomo_Nhetero,pPanmixiav2_Mhomo_Nhetero,Pongoing_migration_Mhomo_Nhetero,pSIv1_MHomo_NHomo,pIMHomov1_Mhomo_Nhomo,pAMHomov1_Mhomo_Nhomo,pSCHomov1_Mhomo_Nhomo,pPanmixiav1_Mhomo_Nhomo,Pongoing_migration_Mhomo_Nhomo
Artemia_franciscanaCH,Artemia_franciscanaAMN,0,1,invertebrate,crustacea,continental,0.051,4,1.900000,1.660000,0.463000,0.859000,-9.000000,0.000000,0.010751,0.011851,0.015573,0.014295,0.010516,0.011644,0.015458,0.013952,0.184014,0.953617,0.079905,0.930966,0.019066,0.013996,0.005904,0.010173,0.186131,0.217033,0.086395,0.02349,0.00212,0.01972,0.0016,0.28277,0.01698,0.41003,0.00641,0.0481,0.00583,0.0066,0.00101,0.16291,0.01189,8.00E-005,0.00046,0.50402,0.05933,0.01558,0.17438,0.45845,0.11762,0.01095,0.16366,3.00E-005,0.3646,0.02539,0.0051,0.02429,0.006,0.88399,0.01568,0.01078,0.02863,8.00E-005,8.00E-005,0.06986,0.24156,0.37648,0.35835,0.02341,2.00E-004,0.40009
Artemia_franciscanaFR,Artemia_franciscanaAMN,0,1,invertebrate,crustacea,continental,0.051,4,1.961000,1.621000,0.348000,0.759000,-8.975000,0.575000,0.009006,0.014468,0.018582,0.017084,0.009050,0.014568,0.018409,0.016419,-0.016382,0.749631,0.063046,0.947426,0.021686,0.017274,0.007892,0.012788,0.222738,0.252506,0.106743,0.01613,0.00649,0.02605,0.00689,0.27156,0.10459,0.25186,0.02583,0.0238,0.01582,0.01322,0.00574,0.16208,0.06962,0.00016,0.00016,0.66007,0.02595,0.02744,0.28821,0.32407,0.08672,0.02031,0.22719,1.00E-004,0.56325,0.00471,0.07358,0.02051,0.01615,0.60287,0.23298,0.0235,0.02523,0.00023,0.00023,0.08585,0.10674,0.06978,0.64383,0.17943,0.00022,0.24943
Artemia_franciscanaFR,Artemia_franciscanaCH,0,1,invertebrate,crustacea,continental,0.051,4,1.503000,1.432000,0.246000,0.592000,-9.000000,0.000000,0.009766,0.014711,0.013576,0.013295,0.009817,0.014755,0.013329,0.013071,-0.022675,0.780637,0.173142,0.993463,0.021756,0.018492,0.010086,0.015900,0.292286,0.277628,0.050106,0.00461,0.00117,0.01338,0.00485,0.48091,0.10386,0.03522,0.00621,0.00641,0.00424,0.0086,0.00401,0.26266,0.06382,0,6.00E-005,0.94215,0.01015,0.01342,0.40616,0.18234,0.06736,0.0129,0.30765,0,0.74013,0.02856,0.05652,0.18382,0.03798,0.27329,0.03718,0.34958,0.03168,7.00E-004,7.00E-004,0.60446,0.24754,0.14491,0.3548,0.25158,0.00117,0.39766
Caenorhabditis_brenneri,Caenorhabditis_sp10,1,1,invertebrate,nematoda,continental,0.0052,0.16,8.492000,8.840000,0.656000,1.291000,13.795000,18.523000,0.035724,0.030575,0.051199,0.042608,0.035882,0.030769,0.051347,0.041699,0.034330,0.880146,-0.120132,0.652609,0.348361,0.149897,0.304900,0.147164,0.785366,0.146037,0.562685,0.10055,0.22099,0.00012,3.00E-005,0.00581,0.00343,0.13694,0.08658,0.24901,0.13499,0.01452,0.00086,0.03352,0.0126,3.00E-005,3.00E-005,0.07095,0.22987,0.00025,0.01646,0.23392,0.49538,0.00015,0.02395,1.00E-005,0.04082,0.04043,0.82483,9.00E-005,9.00E-005,0.03591,0.09831,9.00E-005,9.00E-005,9.00E-005,9.00E-005,0.00054,0.16064,1.00E-004,0.83905,1.00E-004,1.00E-004,3.00E-004
Caenorhabditis_brenneriIND,Caenorhabditis_brenneriGUY,0,1,invertebrate,nematoda,continental,0.0052,0.16,4.521000,4.595000,2.803000,4.262000,-9.000000,0.000000,0.033128,0.032995,0.040350,0.033809,0.033038,0.032528,0.040918,0.033561,-0.053759,0.691467,-0.240140,0.713973,0.042786,0.033944,0.006047,0.011845,0.069305,0.119064,0.702906,0.00142,0.07078,0.00055,0.02284,0.00964,0.38581,0.00105,0.13472,0.00183,0.11381,0.00038,0.01458,0.00748,0.23398,0.00027,0.00085,0.67638,0.0431,0.01464,0.45852,0.06935,0.08598,0.00939,0.31734,0.00167,0.80156,0.01297,0.30942,0.00375,0.102,0.00557,0.45983,0.00278,0.10071,0.00027,0.0027,0.21221,0.5288,0.05259,0.34489,0.07284,0.00088,0.12631
Camponotus_ligniperdus,Camponotus_aethiops,1,1,invertebrate,insecta,continental,1.65,26,0.821000,1.748000,0.014000,0.227000,-8.171000,3.995000,0.001764,0.005514,0.003115,0.008293,0.001706,0.005232,0.003022,0.007512,0.040123,0.535348,-0.006173,0.612976,0.086882,0.070596,0.084442,0.070135,0.951596,0.086911,0.377081,0.0086,0.087,1.00E-005,1.00E-005,3.00E-005,0.00041,0.04911,0.48762,0.03624,0.33046,1.00E-005,1.00E-005,3.00E-005,0.00047,0,0,0.00098,0.00445,1.00E-005,0.00086,0.5202,0.47339,2.00E-005,0.00107,0,0.00196,0.09772,0.18737,0.00033,0.00033,0.58205,0.12999,0.00033,0.0012,0.00033,0.00033,0.00285,0.01153,5.00E-005,0.98809,0.00027,5.00E-005,0.00037
cioneA,cioneB,1,1,invertebrate,urochordata,marine,0.016,3,10.903756,7.853245,0.482394,0.840189,1.300469,10.743844,0.014273,0.012205,0.049344,0.030496,0.014319,0.010840,0.054010,0.031301,-0.018047,0.853093,-0.313438,0.662350,0.176220,0.075427,0.144412,0.072156,0.686663,0.155286,0.294371,0.02608,0.05301,1.00E-005,1.00E-005,0.00346,0.00857,0.04087,0.2406,0.0407,0.46299,0.00022,0.00066,0.07172,0.0511,1.00E-005,1.00E-005,0.13577,0.08677,1.00E-005,2.00E-005,0.02883,0.02575,0.03056,0.82804,1.00E-005,0.85864,0.84084,0.00429,0.00013,0.00013,0.08467,0.0664,0.00013,0.00315,0.00013,0.00013,0.0038,0.97247,3.00E-005,0.02743,3.00E-005,3.00E-005,9.00E-005
CioneB_france,CioneB_canada,0,1,invertebrate,urochordata,marine,0.016,3,1.776000,2.096000,1.689000,1.945000,-9.000000,0.000000,0.030262,0.025984,0.029131,0.025969,0.030478,0.026043,0.029161,0.026193,-0.060682,0.719229,0.011609,0.774828,0.031701,0.025419,0.002004,0.007633,0.034678,0.142174,0.696532,2.00E-005,0.00888,0.00098,0.30984,0.00103,0.30369,4.00E-005,0.0336,4.00E-005,0.01364,0.00083,0.15693,0.00079,0.16666,0.00048,0.00258,0.94381,0.00737,0.01184,0.5993,0.00726,0.0183,0.00961,0.34092,0.00539,0.96706,0.00037,0.03014,0.00233,0.44417,0.00016,0.11842,0.00156,0.40254,0.00016,0.00016,0.85092,0.01391,0.49382,0.13495,0.35697,0.00034,0.85113
Crepidula_fornicata,Crepidula_plana,1,1,invertebrate,mollusca,marine,0.0511,10,3.854595,4.879395,0.113855,0.415282,4.876543,15.268337,0.017648,0.017366,0.022056,0.021358,0.018070,0.017326,0.022132,0.021100,-0.197300,0.609148,-0.065285,0.702760,0.329355,0.108352,0.309503,0.107301,0.895151,0.083840,0.138305,0.27009,0.11111,1.00E-005,1.00E-005,3.00E-004,0.00023,0.18646,0.06625,0.26193,0.10152,2.00E-005,3.00E-005,0.00133,0.00071,1.00E-005,1.00E-005,0.00266,0.62917,0,0.00087,0.13217,0.23366,0.00028,0.00384,0,0.00499,0.226,0.4142,0.00025,0.00025,0.11639,0.24193,0.00025,0.00025,0.00025,0.00025,0.0015,0.9287,3.00E-005,0.07122,3.00E-005,3.00E-005,9.00E-005
Culex_pipiensTRO,Culex_pipiensMED,0.5,1,invertebrate,insecta,continental,0.08,0.205,6.458000,6.688000,0.348000,0.751000,-6.314000,6.999000,0.018055,0.016667,0.035336,0.023300,0.018140,0.016759,0.035692,0.023745,-0.010392,0.833591,-0.044838,0.748225,0.054264,0.027454,0.027568,0.021144,0.360649,0.230804,0.249066,0.00127,0.00925,1.00E-005,3.00E-005,0.00019,0.00216,0.02341,0.69891,0.01218,0.24985,3.00E-005,4.00E-005,0.00033,0.00234,0,0,0.00513,0.06433,0.00015,0.00656,0.53145,0.39217,0.00013,0.00522,0,0.01206,0.00141,0.02566,5.00E-005,5.00E-005,0.02061,0.95204,5.00E-005,5.00E-005,5.00E-005,5.00E-005,3.00E-004,0.04953,4.00E-005,0.94795,0.00245,4.00E-005,0.00253
Culex_pipiensTRO,Culex_torrentium,1,1,invertebrate,insecta,continental,0.08,0.205,1.781000,1.894000,0.053000,0.224000,-5.656000,7.392000,0.017323,0.017115,0.015126,0.015292,0.017443,0.017246,0.015370,0.015440,-0.012128,0.803607,-0.077524,0.738165,0.105497,0.096127,0.089273,0.096259,0.698634,0.215464,0.126969,0.0205,0.04974,2.00E-005,0.00021,0.06403,0.03405,0.23006,0.0398,0.38534,0.10849,0.00039,0.00036,0.0363,0.03068,2.00E-005,2.00E-005,0.16608,0.00562,3.00E-005,0.03839,0.22711,0.70881,0.00019,0.01984,1.00E-005,0.05846,0.00929,0.09885,0.00023,0.00023,0.76158,0.12892,0.00023,0.00023,0.00023,0.00023,0.00138,0.0039,2.00E-005,0.99594,0.00011,2.00E-005,0.00015
Cystodytes_dellechiajei_purple,Cystodytes_dellechiajei_blue,0,1,invertebrate,urochordata,marine,0.1,NA,5.322118,4.379044,0.239875,0.677237,-7.089512,5.607588,0.016875,0.018055,0.038534,0.022981,0.016540,0.017372,0.034921,0.021432,0.091174,0.870135,1.024626,0.916849,0.069291,0.079272,0.041587,0.078581,0.407444,0.216979,0.144891,0.07501,0.00288,0.01251,1.00E-005,0.00056,0.00166,0.57187,0.01794,0.30583,0.00993,1.00E-005,3.00E-005,0.00043,0.00134,0,0,0.01655,0.00404,0.00025,0.04452,0.14459,0.76219,0.00037,0.04406,0,0.0892,0.02182,0.01017,0.00013,0.00013,0.93502,0.03119,0.00112,0.00013,0.00013,0.00013,0.00177,0.0973,0.00011,0.89382,0.00866,0.00011,0.00888
Echinocardium_mediterraneum,Echinocardium_cordatum_B2,1,1,invertebrate,echinodermata,marine,0.0075,10,6.536104,6.417081,0.218324,0.565642,5.889986,13.108140,0.021574,0.021298,0.051085,0.035116,0.021886,0.021449,0.051786,0.035089,-0.101824,0.736112,-0.153458,0.622509,0.281881,0.126707,0.245551,0.126890,0.779806,0.135861,0.188163,0.0229,0.03722,0,0,0.00016,0.00012,0.42496,0.0326,0.44127,0.03502,3.00E-005,0.00418,0.00052,0.00102,0,0,0.00603,0.02592,0,0.00127,0.30816,0.66151,1.00E-004,0.00305,0,0.00442,0.16895,0.02499,8.00E-005,8.00E-005,0.78697,0.01859,8.00E-005,8.00E-005,8.00E-005,8.00E-005,0.00048,0.01233,3.00E-005,0.98758,3.00E-005,3.00E-005,9.00E-005
Echinocardium_mediterraneumEST,Echinocardium_mediterraneumWES,0,1,invertebrate,echinodermata,marine,0.0075,10,1.708000,1.923000,1.708000,1.978000,-9.000000,0.000000,0.027403,0.020468,0.026941,0.021215,0.027824,0.020528,0.027143,0.020825,-0.148317,0.771149,-0.118635,0.771675,0.027461,0.017701,0.000290,0.007297,0.007596,0.122338,0.497573,0.03165,0.00154,0.25655,0.11612,0.10257,0.01711,0.06222,0.00479,0.04113,0.00119,0.16942,0.0922,0.07353,0.01197,0.01491,0.00311,0.85749,0.04997,0.29594,0.14626,0.10766,0.06835,0.20023,0.10995,0.02163,0.77401,0.05243,0.00267,0.28603,0.07164,0.20147,0.00097,0.301,0.07491,0.00715,0.00173,0.74246,0.02841,0.41248,0.09887,0.45348,0.00676,0.87272
Emys_orbicularisEUE,Emys_orbicularisEUW,0,1,vertebrate,sauropsida,continental,2,120,1.531000,1.240000,0.204000,0.503000,-9.000000,0.000000,0.005862,0.007586,0.010129,0.008089,0.005799,0.007427,0.009671,0.007423,0.038391,0.773894,0.315663,1.041446,0.013206,0.008996,0.005211,0.007121,0.253984,0.247322,-0.019755,0.01045,0.00849,0.02557,0.00989,0.18144,0.13377,0.25469,0.05756,0.0369,0.02362,0.01581,0.00653,0.13557,0.09796,9.00E-004,0.00085,0.60829,0.01049,0.03863,0.36939,0.23286,0.06045,0.02732,0.2608,7.00E-005,0.69621,0.00653,0.06535,0.07998,0.07911,0.42446,0.20698,0.02662,0.09919,0.00048,0.0113,0.29668,0.01906,0.15287,0.79589,0.03195,0.00022,0.18504
Emys_orbicularis,Trachemys_scripta,1,1,vertebrate,sauropsida,continental,2.7,80.6,1.891262,2.174271,0.015534,0.123784,-8.066019,3.971140,0.004691,0.006488,0.011359,0.013380,0.004535,0.006229,0.011203,0.012486,0.147429,0.780291,-0.018603,0.741778,0.048540,0.070039,0.040515,0.070203,0.685713,0.247126,-0.023400,0.00857,0.01395,5.00E-005,1.00E-005,0.00391,0.00072,0.45652,0.13282,0.32647,0.05284,5.00E-005,2.00E-005,0.00322,0.00085,0,0,0.00883,0.00147,0.00012,0.01189,0.49033,0.48419,0.00015,0.01185,0,0.02401,0.00061,0.05387,0.00014,0.00014,0.02231,0.92238,0.00014,0.00014,0.00014,0.00014,0.00084,0.02558,2.00E-005,0.97435,2.00E-005,2.00E-005,6.00E-005
Eudyptes_filholi,Eudyptes_moseleyi,0.5,1,vertebrate,sauropsida,continental,55,29,1.139000,1.374000,0.692000,2.216000,-8.921000,0.978000,0.010371,0.011945,0.007969,0.012612,0.010575,0.012729,0.008127,0.013426,-0.079971,0.765315,0.022780,0.844828,0.015618,0.022033,0.006448,0.021312,0.228846,0.260083,0.638131,1.00E-004,0.00398,0.00097,0.02325,0.0066,0.46616,0.00176,0.06213,0.00035,0.02888,0.00116,0.02149,0.00918,0.37396,1.00E-005,1.00E-005,0.90279,0.00035,0.00877,0.47311,0.01941,0.01101,0.01077,0.47658,0,0.96923,3.00E-004,0.27272,0.06171,0.18573,0.01768,0.36243,0.04234,0.05648,3.00E-004,3.00E-004,0.34686,0.02431,0.17587,0.64113,0.14656,0.01214,0.33457
Eudyptes_moseleyi,Aptenodytes_patagonicus,1,1,vertebrate,sauropsida,continental,72.5,35,0.759000,1.139000,0.008000,0.089000,-7.958000,4.330000,0.004525,0.009829,0.003111,0.004939,0.004606,0.010391,0.003158,0.004960,0.002721,0.664353,-0.056630,0.578145,0.057938,0.108215,0.054120,0.108178,0.854153,0.170059,-0.033242,0.00223,0.01816,0.00086,0.00012,0.01676,0.01336,0.42006,0.1462,0.24883,0.08865,0.00016,9.00E-005,0.02223,0.02219,8.00E-005,1.00E-005,0.07586,0.00507,0.00026,0.00349,0.69401,0.2922,1.00E-004,0.00486,0,0.00871,0.02988,0.0737,0.00529,3.00E-004,0.75329,0.13636,3.00E-004,3.00E-004,3.00E-004,3.00E-004,0.00679,0.02858,0.04355,0.92303,0.00469,0.00015,0.04839
Eunicella_cavolinii,Eunicella_verrucosa,1,1,invertebrate,cnidaria,marine,0.25,100,1.780000,1.586000,0.218000,0.538000,-8.965000,0.817000,0.011322,0.011307,0.015970,0.013792,0.011468,0.011388,0.016206,0.013962,-0.058481,0.788031,-0.085874,0.762101,0.034817,0.073962,0.021171,0.074253,0.349497,0.291299,0.037060,0.00058,0.00445,0.001,0.00082,0.18551,0.02214,0.16514,0.04698,0.03001,0.01408,0.0031,0.00348,0.47877,0.04392,0,0,0.73874,0.00127,0.00571,0.39883,0.01721,0.01073,0.01037,0.55584,4.00E-005,0.97079,0.01807,0.06166,0.02597,0.00166,0.70117,0.14592,0.01162,0.03346,0.00023,0.00023,0.07317,0.04048,0.16061,0.61776,0.18047,0.00068,0.34176
